50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.940759,,,,,,,,,,,1ed1a07e-c502-41d6-9e8e-c98ca15b5548,17,,"[51.2, 16.1]",3888701,0,,,,-0.003649619,,Left Foot,,,"[78.6, 16.0]",,Low Pass,27.400183,Incomplete,Roberto Rivelino,397630.0,,,,,,1,From Kick Off,Everaldo Marques da Silva,397629.0,Left Back,2,Brazil,781,"['43f1d708-3cff-4092-a9fc-aaa227aeb581', 'a478fb2e-808a-44df-b88e-63580132b2ad']",10,,,,,,,,,,,,,,,,,Brazil,781,00:00:10.749,Pass,
,,,,,,,,,,,,,,,,,,1.354275,,,,,,,,,,,9b050fbf-d758-45c5-afe8-7e66bf700e74,21,,"[49.9, 68.3]",3888701,0,,,,0.7313967,,Left Foot,,,"[57.7, 75.3]",,Ground Pass,10.480458,,Ignacio Luis Ubiña,397643.0,,,,,,1,Regular Play,Atilio Genaro Ancheta Weigel,397641.0,Right Center Back,3,Uruguay,783,['8fc53f4c-e2d8-49dc-9c93-a2747c8e41a3'],15,,,,,,,,,,,,,,,,,Uruguay,783,00:00:15.700,Pass,
,,,,,,,,,,,,,,,,,,0.743996,,,,,,,,,,,ac1ff523-e32f-4446-b352-fe9a4c323f7f,24,,"[61.0, 76.1]",3888701,0,,,,0.009900667,,Right Foot,,,"[71.1, 76.2]",,Ground Pass,10.100495,,Luis Alberto Cubilla Almeida,397658.0,,,,,,1,Regular Play,Ignacio Luis Ubiña,397643.0,Right Back,3,Uruguay,783,['9a75540f-2096-4ce2-915f-bd3e8adefdee'],17,,,,,,,,,,,,,,,,,Uruguay,783,00:00:17.436,Pass,
,,,,,,,,,,,,,,,,,,0.902029,,,,,,,,,,,5a0e05fd-56cd-4a9a-a2ec-d99b0e71fbff,30,,"[67.6, 80.0]",3888701,0,,,,-1.1392232,,,,,"[71.1, 72.4]",,Low Pass,8.367198,,Luis Alberto Cubilla Almeida,397658.0,,,,,Throw-in,1,From Throw In,Ignacio Luis Ubiña,397643.0,Right Back,4,Uruguay,783,['53ad0e36-be33-4c42-8dd4-8a56cae521dd'],22,,,,,,,,,,,,,,,,,Uruguay,783,00:00:22.465,Pass,
,,,,,,,,,,,,,,,,,,1.826498,,,,,,,,,,,31ba5f91-ae34-4d2d-a74e-3dcfd88b8dd3,37,,"[40.6, 21.3]",3888701,0,,,,1.6641074,,Left Foot,,,"[37.1, 58.7]",,Ground Pass,37.56341,,Carlos Alberto Torres,39708.0,,,,,,1,Regular Play,Roberto Rivelino,397630.0,Left Midfield,5,Brazil,781,['b83bb90d-54f8-4b1e-9997-728795977328'],31,,,,,,,,,,,,,,,,,Brazil,781,00:00:31.080,Pass,
,,,,,,,,,,,,,,,,,,1.773426,,,,,,,,,,,ef81b88f-8509-49a3-a9a8-9377603cea32,39,,"[36.3, 60.9]",3888701,0,,,,1.1254953,,Right Foot,,,"[42.6, 74.1]",,Ground Pass,14.626346,,Jair Ventura Filho,397622.0,,,,,,1,Regular Play,Carlos Alberto Torres,39708.0,Right Back,5,Brazil,781,['1a98c672-4483-46f0-bfd3-70548f6bbe50'],32,,,,,,,,,,,,,,,,,Brazil,781,00:00:32.907,Pass,
,,,,,,,,,,,,,,,,,,1.00822,,,,,,,,,,,6a18501f-3f36-489f-8087-0ee822c863e0,49,,"[28.6, 0.1]",3888701,0,,,,1.1914555,,,,,"[34.5, 14.9]",,Low Pass,15.932671,,Ildo Enrique Maneiro Ghezzi,397660.0,,,,,Throw-in,1,From Throw In,Juan Martin Mujica,397644.0,Left Back,6,Uruguay,783,['1385f788-dbbf-401a-a8ed-af94d2861069'],47,,,,,,,,,,,,,,,,,Uruguay,783,00:00:47.586,Pass,
,,,,,,,,,,,,,,,,,,1.449039,,,,,,,,,,,592b650f-04f3-49ae-8187-6df9276c9413,51,,"[33.6, 14.6]",3888701,0,,,,-2.3888626,,Head,,,"[25.7, 7.2]",,Low Pass,10.82451,,Juan Martin Mujica,397644.0,,,,,,1,From Throw In,Ildo Enrique Maneiro Ghezzi,397660.0,Left Center Midfield,6,Uruguay,783,['06f5bdb5-17fe-486d-bb4f-8eedd2dcb780'],48,,,,,,,,,,,,,,,,,Uruguay,783,00:00:48.635,Pass,
,,,,,,,,,,,,,,,,,,1.300056,,,,,,,,,,,3a81a450-e7ad-4e58-bd00-590d2a2e8ae5,55,,"[25.1, 8.4]",3888701,0,,,,1.1583859,,Left Foot,,,"[30.7, 21.2]",,Ground Pass,13.971399,,Julio Walter Montero Castillo,397640.0,,,,,,1,From Throw In,Juan Martin Mujica,397644.0,Left Back,6,Uruguay,783,"['65c66d9f-a0f3-4416-99f0-f80013f16011', 'f4a0d806-b96a-4e64-9617-9529dff48d61']",50,,,,,,,,,,,,,,,,,Uruguay,783,00:00:50.596,Pass,True
,,,,,,,,,,,,,,,,,,1.276243,,,,,,,,,,,4eea3ff4-6db5-46d3-bb2f-748610c5f577,58,,"[30.4, 23.0]",3888701,0,,,,-0.62592477,,Right Foot,,,"[47.0, 11.0]",,Ground Pass,20.483164,,Ildo Enrique Maneiro Ghezzi,397660.0,,,,,,1,From Throw In,Julio Walter Montero Castillo,397640.0,Center Defensive Midfield,6,Uruguay,783,['12711896-f553-4359-abd6-a446b2a0cdd9'],53,,,,,,,,,,,,,,,,,Uruguay,783,00:00:53.065,Pass,
