50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,856112f9-72c7-41dc-8854-5a1e6cd90269,1,,,3888699,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 397626, 'name': 'Félix Miéli Venerando'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 39708, 'name': 'Carlos Alberto Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 397628, 'name': 'Hercules Brito Ruas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 397627, 'name': 'Wilson da Silva Piazza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 397629, 'name': 'Everaldo Marques da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 397620, 'name': 'Clodoaldo Tavares de Santana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 397621, 'name': 'Gérson de Oliveira Nunes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 397622, 'name': 'Jair Ventura Filho'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 397630, 'name': 'Roberto Rivelino'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 397637, 'name': 'Eduardo Gonçalves de Andrade'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b439768b-08c0-44e2-a047-3780f457bab5,2,,,3888699,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 397952, 'name': 'Ivo Viktor'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 397951, 'name': 'Karol Dobiaš'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 397965, 'name': 'Alexander Horvath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 397956, 'name': 'Vaclav Migas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 397946, 'name': 'Vladimir Hagara'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 397947, 'name': 'Ladislav Kuna'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 397960, 'name': 'Ivan Hrdlicka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 397961, 'name': 'František Veselý'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 397962, 'name': 'Karol Jokl'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 397966, 'name': 'Ladislav Petráš'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 397967, 'name': 'Jozef Adamec'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Czechoslovakia,17469,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c794e9cc-6903-4145-af21-bf18ac742f5d,3,,,3888699,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['f1899418-a096-4073-9720-6a52d49017a8'],0,,,,,,,,,,,,,,,,,,,,Czechoslovakia,17469,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f1899418-a096-4073-9720-6a52d49017a8,4,,,3888699,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['c794e9cc-6903-4145-af21-bf18ac742f5d'],0,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bcaa3483-f99b-4de8-a5e0-8cf7b3b00bda,1815,,,3888699,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,117,Czechoslovakia,17469,['f2a472df-76f3-47ba-8df4-fbf50993757f'],0,,,,,,,,,,,,,,,,,,,,Czechoslovakia,17469,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f2a472df-76f3-47ba-8df4-fbf50993757f,1816,,,3888699,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,117,Czechoslovakia,17469,['bcaa3483-f99b-4de8-a5e0-8cf7b3b00bda'],0,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.017146,,,,,,,,,,,,,,9a1355c9-e380-465b-9a7e-770cc9238e61,5,,"[60.0, 40.0]",3888699,0,,,,-0.4636476,,Left Foot,,,,"[62.4, 38.8]",,Ground Pass,2.6832817,,,Édson Arantes do Nascimento,39712.0,,,,,,Kick Off,1,From Kick Off,Eduardo Gonçalves de Andrade,397637.0,Left Center Forward,2,Brazil,781,['e9bcbc44-e3c1-4fe3-9652-865d83d4484f'],0,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.432,Pass,
,,,,,,,,,,,,,,,,,,,1.603138,,,,,,,,,,,,,,f7336a3d-53aa-4847-9f6d-b2b5fa60c2a6,8,,"[60.3, 39.0]",3888699,0,,,,2.7645051,,Right Foot,,,,"[50.2, 43.0]",,Ground Pass,10.863241,,,Clodoaldo Tavares de Santana,397620.0,,,,,,,1,From Kick Off,Édson Arantes do Nascimento,39712.0,Right Center Forward,2,Brazil,781,['90815e5a-ec02-4fa1-baa1-c982e78c6cb1'],2,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:02.535,Pass,
,,,,,,,,,,,,,,,,,,,1.07979,,,,,,,,,,,,,,5e23b480-71a7-4472-89bb-95dc79370252,11,,"[50.2, 43.0]",3888699,0,,,,-1.315614,,Right Foot,,,,"[52.0, 36.1]",,Ground Pass,7.1309185,,,Gérson de Oliveira Nunes,397621.0,,,,,,,1,From Kick Off,Clodoaldo Tavares de Santana,397620.0,Right Defensive Midfield,2,Brazil,781,['0a0d6fc6-f9ef-49c8-bea7-25dca991e12a'],4,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:04.258,Pass,
,,,,,,,,,,,,,,,,,,,1.092206,,,,,,,,,,,,,,e486d745-3596-4f5f-a237-c8dbe3167b1d,14,,"[52.0, 35.9]",3888699,0,,,,-2.918116,,Left Foot,,,,"[38.8, 32.9]",,Ground Pass,13.536617,,,Wilson da Silva Piazza,397627.0,,,,,,,1,From Kick Off,Gérson de Oliveira Nunes,397621.0,Left Defensive Midfield,2,Brazil,781,['84bdaf5a-ef1d-499e-a052-1fb0a7c944ea'],5,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:05.378,Pass,
