50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1ac8371-acd8-4cc3-bfbb-24597075f54d,1,,,3888700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 397626, 'name': 'Félix Miéli Venerando'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 39708, 'name': 'Carlos Alberto Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 397628, 'name': 'Hercules Brito Ruas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 397627, 'name': 'Wilson da Silva Piazza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 397629, 'name': 'Everaldo Marques da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 397620, 'name': 'Clodoaldo Tavares de Santana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 397630, 'name': 'Roberto Rivelino'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 397622, 'name': 'Jair Ventura Filho'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 397631, 'name': 'Paulo Cézar Lima'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 397637, 'name': 'Eduardo Gonçalves de Andrade'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a0ec10c6-b9fb-478d-8d28-199bf9a7c92f,2,,,3888700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 397881, 'name': 'Gordon Banks'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 397885, 'name': 'Tommy Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 397884, 'name': 'Brian Leslie Labone'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 397882, 'name': 'Bobby Moore'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 397883, 'name': 'Terence Cooper'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 397886, 'name': 'Alan Patrick Mullery'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 397887, 'name': 'Alan James Ball'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 397888, 'name': 'Martin Stanford Peters'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 397889, 'name': 'Bobby Charlton'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 397890, 'name': 'Francis Henry Lee'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 397891, 'name': 'Geoffrey Charles Hurst'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b053f591-2339-4dd2-99fc-cd69efb7570f,3,,,3888700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['2a83133a-a3f5-4124-9cf1-78838bce10be'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a83133a-a3f5-4124-9cf1-78838bce10be,4,,,3888700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['b053f591-2339-4dd2-99fc-cd69efb7570f'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b95dccd3-1bf7-4a41-8fc2-befed40b12d0,1830,,,3888700,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,England,768,['6052413d-ccad-4f07-a89c-d5e3c99dae86'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6052413d-ccad-4f07-a89c-d5e3c99dae86,1831,,,3888700,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,England,768,['b95dccd3-1bf7-4a41-8fc2-befed40b12d0'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.68918,,,,,,,,,,,,,0741fe06-9797-460b-a03c-1666925a5428,5,,"[61.0, 40.1]",3888700,0,,,,1.152572,,Right Foot,,,"[61.8, 41.9]",,Ground Pass,,1.9697715,,,,,Bobby Charlton,397889.0,,,,,,Kick Off,1,From Kick Off,Geoffrey Charles Hurst,397891.0,Left Center Forward,2,England,768,['0babc464-ec13-4d48-bb91-ffd77499398f'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.276,Pass,
,,,,,,,,,,,,,,,,1.455722,,,,,,,,,,,,,1c7803d6-141f-4679-915b-cb9d8e882fe2,8,,"[62.8, 43.2]",3888700,0,,,,1.605436,,Right Foot,,,"[62.1, 63.4]",,Ground Pass,,20.212126,,,,,Alan James Ball,397887.0,,,,,,,1,From Kick Off,Bobby Charlton,397889.0,Center Attacking Midfield,2,England,768,['bac3b9fc-0736-434d-83e7-f5d51276c312'],2,,,,,,,,,,,,,,,,,England,768,00:00:02.127,Pass,
,,,,,,,,,,,,,,,,0.971122,,,,,,,,,,,,,ff7e8d93-f80b-40c8-b9ce-b616ab453d41,12,,"[75.6, 61.1]",3888700,0,,,,-2.8530054,,Right Foot,,,"[62.8, 57.3]",,Ground Pass,,13.352154,,,,,Bobby Moore,397882.0,,,,,,,1,From Kick Off,Alan James Ball,397887.0,Right Center Midfield,2,England,768,"['b6880a8b-b475-4609-8c88-19ee4b0940f4', 'e0edbd06-ad50-484b-b06b-65f08c79e0c0']",7,,,,,,,,,,,,,,,,,England,768,00:00:07.121,Pass,True
,,,,,,,,,,,,,,,,1.36402,,,,,,,,,,,,,624593da-998c-44fe-a565-72504c33fd23,14,,"[62.6, 58.5]",3888700,0,,,,1.0497406,,Right Foot,,,"[72.3, 75.4]",,Ground Pass,,19.485893,,,,,Tommy Wright,397885.0,,,,,,,1,From Kick Off,Bobby Moore,397882.0,Left Center Back,2,England,768,['6e6e7ef3-0e64-4649-8184-85c9932f7cb3'],8,,,,,,,,,,,,,,,,,England,768,00:00:08.092,Pass,
