50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0ce2ef72-c3d9-4214-a0ae-58518bcb3326,1,,,3998850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 97854, 'name': 'Melween Ndongala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 159488, 'name': 'Thiniba Samoura'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 49583, 'name': 'Alice Sombath'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 15471, 'name': 'Selma Bacha'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 30971, 'name': 'Sandie Toletti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10137, 'name': 'Kadidiatou Diani'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 10272, 'name': 'Onema Grace Geyoro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15249, 'name': 'Amel Majri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 31614, 'name': 'Melvine Malard'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 31636, 'name': 'Clara Mateo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",France Women's,861,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,313532c0-d98c-4c04-a4ae-373da07db56b,2,,,3998850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 192256, 'name': 'Safia Middleton-Patel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 53440, 'name': 'Esther Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 482216, 'name': 'Kayleigh Anne Marie Barton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 322359, 'name': 'Ceri Holland'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 185543, 'name': 'Ffion Morgan'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Wales,2456,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,43dc6874-dd48-46e1-bedf-54c8a869673a,3,,,3998850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['f6b141c4-ad7d-42c3-9733-11e81aee332d'],0,,,,,,,,,,,,,,,,,,Wales,2456,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f6b141c4-ad7d-42c3-9733-11e81aee332d,4,,,3998850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['43dc6874-dd48-46e1-bedf-54c8a869673a'],0,,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5b856c0b-b2d5-40fa-b48b-6eb8ce60e200,1537,,,3998850,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,France Women's,861,['e593213e-913a-4839-9deb-b860d19dbbb7'],0,,,,,,,,,,,,,,,,,,Wales,2456,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e593213e-913a-4839-9deb-b860d19dbbb7,1538,,,3998850,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,France Women's,861,['5b856c0b-b2d5-40fa-b48b-6eb8ce60e200'],0,,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.29714,,,,,,,,,,,,,,b1cc33e3-bd9f-4e30-9b5c-c907111df091,5,,"[61.0, 40.1]",3998850,0,,,,,-3.0399039,,Right Foot,,,,"[41.4, 38.1]",,Ground Pass,,19.701777,,,Gemma Evans,16381.0,,,,,,Kick Off,1,From Kick Off,Jessica Fishlock,5016.0,Left Center Forward,2,Wales,2456,['20a97726-03ab-43e4-9287-2ba619384822'],0,,,,,,,,,,,,,,,,,,Wales,2456,00:00:00.443,Pass,
,,,,,,,,,,,,,,,,2.155015,,,,,,,,,,,,,,5b4abad2-408f-468e-a809-5f1e7f43a480,8,,"[42.0, 36.2]",3998850,0,,,,,0.72132325,,Left Foot,,,,"[76.0, 66.1]",,High Pass,,45.277035,,Incomplete,Jessica Fishlock,5016.0,,,,,,,1,From Kick Off,Gemma Evans,16381.0,Left Center Back,2,Wales,2456,"['62df76e9-80df-40af-934d-e20542c59f7a', '1b4c35f7-d291-4fe4-9a46-a847c47858dd']",3,,,,,,,,,,,,,,,,,,Wales,2456,00:00:03.155,Pass,
,,,,,,,,,,,,,,,,1.962736,,,,,,,,,,,,,,1b4c35f7-d291-4fe4-9a46-a847c47858dd,10,,"[44.1, 14.0]",3998850,0,,,,,0.95574284,,Head,,,,"[58.3, 34.1]",,Low Pass,,24.609957,,,Clara Mateo,31636.0,,,,,,Recovery,1,Regular Play,Melvine Malard,31614.0,Left Midfield,3,France Women's,861,"['5b4abad2-408f-468e-a809-5f1e7f43a480', 'edcb40fd-d693-4c41-908d-783f16c02513']",5,,,,,,,,,,,,,,,,,,France Women's,861,00:00:05.310,Pass,
,,,,,,,,,,,,,,,,0.59459,,,,,,,,,,,,,,76d30657-4a22-4dcb-a3f1-7c5b8aa0db51,15,,"[84.3, 17.3]",3998850,0,,,,,-1.0412067,,Right Foot,,,,"[91.5, 5.0]",,Ground Pass,,14.252368,,,Melvine Malard,31614.0,,,,,,,1,Regular Play,Clara Mateo,31636.0,Center Forward,3,France Women's,861,['026798e9-51b2-4d10-b598-9565bb311603'],12,,,,,,,,,,,,,,,,,,France Women's,861,00:00:12.895,Pass,
,,,,,,,,,,,,,,,,2.53067,,,,,,,,,,,,,,daf8a77d-c25f-492e-8556-9fee5625f387,18,,"[98.8, 7.4]",3998850,0,,,,,0.816638,f85797e6-0201-4718-ad8d-adfe0a542d48,Right Foot,,,,"[117.4, 27.2]",,Ground Pass,,27.166155,,,Clara Mateo,31636.0,True,,,,,,1,Regular Play,Melvine Malard,31614.0,Left Midfield,3,France Women's,861,['c3dd45fb-e8c6-4fc3-948e-239ae0d9e9d2'],14,,,,,,,,,,,,,,,,,,France Women's,861,00:00:14.560,Pass,
,,,,,,,,,,,,,,,,2.477809,,,,,,,,,,,,,,d5ca6f4c-3e79-4bec-8171-22c97af9a477,23,,"[120.0, 0.1]",3998850,0,,,,,1.6527293,,Left Foot,,,,"[115.5, 54.9]",,High Pass,,54.98445,,,Amel Majri,15249.0,,True,True,Straight,,Corner,1,From Corner,Selma Bacha,15471.0,Left Back,4,France Women's,861,['971ac749-3474-442d-8b5d-97e3de56440f'],42,,,,,,,,,,,,,,,,,,France Women's,861,00:00:42.182,Pass,
,,,,,,,,,,,,,,,,1.250075,,,,,,,,,,,,,,78f4bff8-8e67-42f8-a910-fd643cb1d068,25,,"[115.5, 55.4]",3998850,0,,,,,-1.9767463,,Head,True,,,"[110.6, 44.0]",,High Pass,,12.408464,,Incomplete,,,,,,,,,1,From Corner,Amel Majri,15249.0,Left Center Midfield,4,France Women's,861,['59c1751f-0fd0-4e86-89f5-bb366301b85d'],44,,,,,,,,,,,,,,,,,,France Women's,861,00:00:44.700,Pass,
,,,,,,,,,,,,,,,,1.373408,,,,,,,,,,,,,,146eba92-fb7f-457c-9724-7bf02106cb98,29,,"[32.5, 14.6]",3998850,0,,,,,0.04702413,,Left Foot,,,,"[49.5, 15.4]",,Ground Pass,,17.018812,,,Ffion Morgan,185543.0,,,,,,,1,From Corner,Lily Woodham,15704.0,Left Back,4,France Women's,861,['223ece1d-cd52-4b8a-99ee-d94219f995b2'],50,,,,,,,,,,,,,,,,,,Wales,2456,00:00:50.419,Pass,
