50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5794be82-26d9-4e9c-ab1d-e58b633d94a6,1,,,,3998842,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,2456,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 326619, 'name': 'Olivia Clarke'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19779, 'name': 'Rhiannon Roberts'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 53440, 'name': 'Esther Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 322359, 'name': 'Ceri Holland'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Wales,2456,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,362ad555-aa1e-470d-89c5-d9cf982bcd11,2,,,,3998842,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,2456,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32339, 'name': 'Daphne van Domselaar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 221888, 'name': 'Kerstin Yasmijn Casparij'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 402098, 'name': 'Veerle Buurman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 62962, 'name': 'Esmee Brugts'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 221887, 'name': 'Wieke Hendrikje Maria Kaptein'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 63788, 'name': 'Victoria Pelova'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Netherlands Women's,851,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,41ecb891-cf77-4caf-8c4b-ebc8009ec52b,3,,,,3998842,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,2456,['f8560f05-1792-4dbb-ba83-c59bd21cae5b'],0,,,,,,,,,,,,,,,,,,Wales,2456,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f8560f05-1792-4dbb-ba83-c59bd21cae5b,4,,,,3998842,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,2456,['41ecb891-cf77-4caf-8c4b-ebc8009ec52b'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,826caf2d-ed89-4238-b08b-096a01fca0ec,1570,,,,3998842,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Netherlands Women's,851,['5dc29310-0028-4773-8691-38ef9108c579'],0,,,,,,,,,,,,,,,,,,Wales,2456,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5dc29310-0028-4773-8691-38ef9108c579,1571,,,,3998842,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Netherlands Women's,851,['826caf2d-ed89-4238-b08b-096a01fca0ec'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.713815,,,,,,,,,,,f0a6821f-944f-4f18-8c86-0b9081486d0c,5,,,"[61.0, 40.1]",3998842,0,,,,,3.0437467,,Right Foot,,,,"[44.7, 41.7]",,Ground Pass,,16.37834,,,Gemma Evans,16381.0,,,,,Kick Off,1,From Kick Off,Jessica Fishlock,5016.0,Center Forward,2,Wales,2456,['0318d5c8-afe2-4357-9d09-b52d0c4e3993'],0,,,,,,,,,,,,,,,,,,Wales,2456,00:00:00.393,Pass,
,,,,,,,,,,,,,,,,0.216854,,,,,,,,,,,d3ac099a-66fc-4ea8-8f5b-2d083fd3ac0e,9,,,"[46.7, 41.7]",3998842,0,,,,,-0.07982998,,Left Foot,,,,"[49.2, 41.5]",,Low Pass,,2.5079873,Incomplete,,,,,,,,,1,From Kick Off,Gemma Evans,16381.0,Center Back,2,Wales,2456,"['fb7664d0-44a6-41c2-99b1-7207c9edae80', 'a7c95b4b-1472-4e4a-8727-047cbf7b6ba5']",3,,,,,,,,,,,,,,,,,,Wales,2456,00:00:03.006,Pass,True
,,,,,,,,,,,,,,,,1.566747,,,,,,,,,,,a0802263-ecf1-4b7a-bf8b-b99f7012802d,12,,,"[30.6, 43.4]",3998842,0,,,,,-2.8566353,,Left Foot,,,,"[10.8, 37.6]",,Ground Pass,,20.632013,,,Olivia Clarke,326619.0,,,,,Recovery,1,From Kick Off,Gemma Evans,16381.0,Center Back,2,Wales,2456,"['aa38b5c0-e075-4818-8e28-fee3336911d2', '4b65a300-c357-4309-8a3b-913dc460b8c9']",6,,,,,,,,,,,,,,,,,,Wales,2456,00:00:06.016,Pass,True
,,,,,,,,,,,,,,,,2.141581,,,,,,,,,,,3b602624-59aa-480c-a21b-1013934bb413,16,,,"[11.0, 36.8]",3998842,0,,,,,-0.8744988,,Right Foot,,,,"[26.8, 17.9]",,Ground Pass,,24.634325,,,Esther Morgan,53440.0,,,,,,1,From Kick Off,Olivia Clarke,326619.0,Goalkeeper,2,Wales,2456,"['261994ce-b0ad-46d4-a883-64a57c461fb9', '3a833b2d-624d-4300-aec2-71015929fb4e']",8,,,,,,,,,,,,,,,,,,Wales,2456,00:00:08.221,Pass,True
