50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8f6a4198-20c0-4d08-bb49-10918fd0e31e,1,,,3998841,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 402017, 'name': 'Maja Bay Østergaard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 142770, 'name': 'Emma Skou Færge'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 87185, 'name': 'Stine Ballisager Pedersen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 11}, {'player': {'id': 10097, 'name': 'Frederikke Thøgersen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 32229, 'name': 'Sara Holmgaard'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 32230, 'name': 'Karen Holmgaard'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 87195, 'name': 'Janni Thomsen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 32227, 'name': 'Emma Snerle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 224831, 'name': 'Amalie Jørgensen Vangsgaard'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Denmark Women's,853,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84905711-23b7-46f6-ac94-ad0c8b569648,2,,,3998841,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62667, 'name': 'Jennifer Miley Falk'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 182764, 'name': 'Hanna Lundkvist'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 10230, 'name': 'Linda Brigitta Sembrant'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 26094, 'name': 'Julia Zigiotti-Olme'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 25696, 'name': 'Madelen Fatimma Maria Janogy'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8780f47f-9b69-478d-89d8-d753f4099af5,3,,,3998841,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['858cc9b5-ae83-4837-ae1a-e41d2dba340c'],0,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,858cc9b5-ae83-4837-ae1a-e41d2dba340c,4,,,3998841,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['8780f47f-9b69-478d-89d8-d753f4099af5'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e120c252-bbef-4d73-b7db-8a8f09c84f59,1454,,,3998841,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Sweden Women's,858,['e25c3b6b-bb18-4468-a5f5-f50d317cfd18'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e25c3b6b-bb18-4468-a5f5-f50d317cfd18,1455,,,3998841,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Sweden Women's,858,['e120c252-bbef-4d73-b7db-8a8f09c84f59'],0,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.230382,,,,,,,,,,,,72bc2a7b-95b4-475d-8b2a-af9039b6b294,5,,"[60.0, 40.0]",3998841,0,,,,-2.9816794,,Right Foot,,,,"[44.5, 37.5]",,Ground Pass,,15.700318,,Gun Nathalie Björn,26093.0,,,,,Kick Off,1,From Kick Off,Emma Stina Blackstenius,10229.0,Center Forward,2,Sweden Women's,858,['2f07ff85-a24e-4e04-a814-5109b50abfdb'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.393,Pass,
,,,,,,,,,,,,,,,,,,1.657391,,,,,,,,,,,,e5818687-14d7-4aa7-9b9f-6a96d80da84f,8,,"[46.5, 41.2]",3998841,0,,,,1.2289912,,Right Foot,,,,"[57.6, 72.4]",,Ground Pass,,33.115707,,Hanna Lundkvist,182764.0,,,,,,1,From Kick Off,Gun Nathalie Björn,26093.0,Right Center Back,2,Sweden Women's,858,['10084e97-c672-432f-9e29-3cb74b5b4974'],2,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:02.980,Pass,
,,,,,,,,,,,,,,,,,,0.553017,,,,,,,,,,,,371cb03a-e533-4c12-a51f-fc81c1d00182,11,,"[77.4, 70.4]",3998841,0,,,,-0.23554498,,Right Foot,,,,"[87.4, 68.0]",,Ground Pass,,10.283968,,Ingrid Filippa Angeldal,62666.0,,,,,,1,From Kick Off,Hanna Lundkvist,182764.0,Right Back,2,Sweden Women's,858,['2c64b694-39be-4c5c-b7ce-214a15c455eb'],8,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:08.391,Pass,
,,,,,,,,,,,,,,,,,,1.234947,,,,,,,,,,,,c762bd74-6fdd-4f74-bbf3-c2cdf1275fc2,19,,"[46.5, 3.8]",3998841,0,,,,0.037717953,,Right Foot,,,True,"[51.8, 4.0]",,Ground Pass,,5.3037724,,Pernille Mosegaard Harder,10108.0,,,,,,1,From Kick Off,Emma Snerle,32227.0,Left Center Midfield,2,Sweden Women's,858,"['2a5ee063-df60-4618-b658-8ccf883cbfdc', 'f2681746-bde2-4596-8645-43b46a5592f5']",13,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:13.587,Pass,True
,,,,,,,,,,,,,,,,,,1.190615,,,,,,,,,,,,22305c0b-0bf3-4ffc-8043-fdb7a907809c,23,,"[57.0, 4.8]",3998841,0,,,,0.011363147,,Right Foot,,,,"[74.6, 5.0]",,Ground Pass,,17.601137,Incomplete,Amalie Jørgensen Vangsgaard,224831.0,,,,,,1,From Kick Off,Pernille Mosegaard Harder,10108.0,Left Center Forward,2,Sweden Women's,858,"['1bf139ce-9a81-4f77-abfb-7920fd78600f', '0a891a92-a40b-4ade-b23b-71d6d1a0ec7f']",16,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:16.304,Pass,
,,,,,,,,,,,,,,,,,,1.089899,,,,,,,,,,,,224184d1-2fd8-4da6-ade9-b1d5d70940ae,33,,"[53.8, 76.9]",3998841,0,,,,-0.5269432,,Right Foot,,,,"[59.3, 73.7]",,Ground Pass,,6.3631754,,Johanna Rytting-Kaneryd,62710.0,,,,,,1,From Kick Off,Hanna Lundkvist,182764.0,Right Back,2,Sweden Women's,858,"['21802e91-1f47-422f-8900-2f0bfdab7c13', '5a1f9dd6-9ea8-49c2-ac1d-20a1916928a2', 'f701643f-c899-4667-bb6d-03071ec85c94']",20,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:20.589,Pass,True
,,,,,,,,,,,,,,,,,,1.132811,,,,,,,,,,,,02a21bb2-2b71-4b92-a391-3a82604a27c4,36,,"[57.9, 72.1]",3998841,0,,,,-1.4157996,,Left Foot,,,,"[59.4, 62.5]",,Ground Pass,,9.716481,,Kosovare Asllani,10220.0,,,,,,1,From Kick Off,Johanna Rytting-Kaneryd,62710.0,Right Wing,2,Sweden Women's,858,['fa23bff7-9fb1-494d-83b4-369db3429c0e'],22,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:22.244,Pass,
,,,,,,,,,,,,,,,,,,1.090123,,,,,,,,,,,,acd66e42-d8df-4849-bb16-be9ffb47c385,42,,"[64.5, 59.0]",3998841,0,True,,,-2.1018836,,Right Foot,,,,"[52.4, 38.4]",,Ground Pass,,23.890793,,Gun Nathalie Björn,26093.0,,,,,Free Kick,1,From Free Kick,Ingrid Filippa Angeldal,62666.0,Right Defensive Midfield,3,Sweden Women's,858,['b67bdc26-a1b5-4125-90cb-f6ec9defb061'],46,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:46.181,Pass,
,,,,,,,,,,,,,,,,,,1.356595,,,,,,,,,,,,ca9f686e-e585-4710-bdce-c8512472f36b,44,,"[53.4, 40.5]",3998841,0,,,,1.2754946,,Right Foot,,,,"[62.1, 69.1]",,Ground Pass,,29.89398,,Hanna Lundkvist,182764.0,,,,,,1,From Free Kick,Gun Nathalie Björn,26093.0,Right Center Back,3,Sweden Women's,858,['8f587bb2-b9c4-47e3-81a7-963e8065cc18'],50,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:50.680,Pass,
,,,,,,,,,,,,,,,,,,0.674844,,,,,,,,,,,,2e947289-57c2-4bf3-860f-e45109538f77,47,,"[69.9, 72.1]",3998841,0,,,,-0.022896761,,Right Foot,,,,"[83.0, 71.8]",,Ground Pass,,13.103435,,Ingrid Filippa Angeldal,62666.0,,,,,,1,From Free Kick,Hanna Lundkvist,182764.0,Right Back,3,Sweden Women's,858,['3a24e661-4242-4958-ad74-db106155dd4d'],55,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:55.528,Pass,
,,,,,,,,,,,,,,,,,,0.989531,,,,,,,,,,,,1c51d641-29ce-4410-9287-b088ee812335,51,,"[87.4, 68.9]",3998841,0,,,,0.56730163,,Right Foot,,,,"[98.7, 76.1]",,Ground Pass,,13.398881,,Johanna Rytting-Kaneryd,62710.0,,,,,,1,From Free Kick,Ingrid Filippa Angeldal,62666.0,Right Defensive Midfield,3,Sweden Women's,858,"['9f5617bc-6a1f-4e53-acf0-2f2d97e45704', 'b9b344b7-1d44-4684-af88-db10fb647558']",58,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:58.132,Pass,True
,,,,,,,,,,,,,,,,,,0.702849,,,,,,,,,,,,56907595-a742-4394-8c6a-574bb6b7e021,55,,"[96.3, 75.3]",3998841,1,,,,3.125334,,Right Foot,,,,"[84.0, 75.5]",,Ground Pass,,12.301626,,Hanna Lundkvist,182764.0,,,,,,1,From Free Kick,Johanna Rytting-Kaneryd,62710.0,Right Wing,3,Sweden Women's,858,"['ab7e6da0-e7e7-4531-904f-36a878eefffa', '5b57f9c2-e0e7-41b4-a3e6-3ec2b572d202']",0,,,,,,,,,,,,,,,,Sweden Women's,858,00:01:00.897,Pass,True
