50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,67b295ff-3d29-4bf7-9ceb-898129eedfd6,1,,,,3998836,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Iceland Women's,862,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 193268, 'name': 'Cecilía Rán Rúnarsdóttir'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 66399, 'name': 'Guðný Árnadóttir'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10119, 'name': 'Glódís Perla Viggósdóttir'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10135, 'name': 'Ingibjörg Sigurðardóttir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 225394, 'name': 'Guðrún Arnardóttir'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 32456, 'name': 'Alexandra Jóhannsdóttir'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 32469, 'name': 'Hildur Antonsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 225105, 'name': 'Hlín Eiríksdóttir'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 190348, 'name': 'Sveindís Jane Jónsdóttir'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 32460, 'name': 'Karólína Lea Vilhjálmsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 10246, 'name': 'Sandra María Jessen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 3}]}",Iceland Women's,862,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c64d208e-ea08-476e-9d64-fd629a3983e8,2,,,,3998836,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Iceland Women's,862,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 224828, 'name': 'Anna Koivunen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 13865, 'name': 'Natalia Kuikka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 224144, 'name': 'Eva Nyström'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 392291, 'name': 'Joanna Tynnilä'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 191850, 'name': 'Eveliina Summanen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 392355, 'name': 'Oona Siren'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 224849, 'name': 'Saara Katariina Kosola'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 225383, 'name': 'Ria Öling'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 13713, 'name': 'Linda Sällström'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 32232, 'name': 'Sanni Maija Franssi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",WNT Finland,920,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2bee37ac-6931-4f11-b1c5-9293939d7892,3,,,,3998836,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Iceland Women's,862,['9c9e0844-b313-441b-a35e-17f6c97d8e38'],0,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9c9e0844-b313-441b-a35e-17f6c97d8e38,4,,,,3998836,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Iceland Women's,862,['2bee37ac-6931-4f11-b1c5-9293939d7892'],0,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7d6ab609-f8a5-4f0d-b228-c332ae308cd9,1410,,,,3998836,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Iceland Women's,862,['4a06a78b-70b7-41a4-b7b6-dda38597a0b6'],0,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4a06a78b-70b7-41a4-b7b6-dda38597a0b6,1411,,,,3998836,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,98,Iceland Women's,862,['7d6ab609-f8a5-4f0d-b228-c332ae308cd9'],0,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.846365,,,,,,,,,,,,,f83bbb5c-09b6-48b6-a046-e5a0a13d7913,5,,,"[61.0, 40.1]",3998836,0,,,,,3.044675,,Right Foot,,,"[46.6, 41.5]",,Ground Pass,,14.4678955,,,Eveliina Summanen,191850.0,,,,,,Kick Off,1,From Kick Off,Ria Öling,225383.0,Center Attacking Midfield,2,WNT Finland,920,['bdbb94cd-c462-40a6-ad90-ba924875c66c'],0,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.681,Pass,
,,,,,,,,,,,,,,,,5.998239,,,,,,,,,,,,,95b0fc9a-0206-4fea-b4af-a623c44f25c5,9,,,"[46.4, 41.6]",3998836,0,,,,,-0.52988,,Right Foot,,,"[115.2, 1.3]",,High Pass,,79.73412,Out,,,,,,True,,,,1,From Kick Off,Eveliina Summanen,191850.0,Center Defensive Midfield,2,WNT Finland,920,['cab06e8b-884a-4ea7-913a-7c7e29bb9462'],3,,,,,,,,,,,,,,,,WNT Finland,920,00:00:03.861,Pass,True
,,,,,,,,,,,,,,,,1.777037,,,,,,,,,,,,,95d157ee-e48e-42ea-a95a-4fba4c196791,10,,,"[16.9, 80.0]",3998836,0,,,,,-0.4771908,,,,,"[34.5, 70.9]",,High Pass,,19.81338,,,Hlín Eiríksdóttir,225105.0,,,,,,Throw-in,1,From Throw In,Guðný Árnadóttir,66399.0,Right Back,3,Iceland Women's,862,['9bcd4861-172d-489c-b07c-c209c18e4e41'],18,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:18.777,Pass,
,,,,,,,,,,,,,,,,0.094467,,,,,,,,,,,,,b87d7031-59b3-4c1e-9685-136fd9d6c188,14,,,"[32.9, 67.6]",3998836,0,,,,,0.7437556,,Right Foot,,,"[35.4, 69.9]",,Low Pass,,3.3970575,Incomplete,,,,,,,,,Recovery,1,From Throw In,Karólína Lea Vilhjálmsdóttir,32460.0,Center Attacking Midfield,3,Iceland Women's,862,['0bba638b-22ef-4c1d-a9ca-4705bed0e5fe'],21,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:21.618,Pass,
