50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,804c2fe1-c0a3-4e72-82da-119ccc373fac,1,,,,3998844,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 32099, 'name': 'Livia Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 10417, 'name': 'Viola Calligaris'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 32101, 'name': 'Julia Stierli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 460753, 'name': 'Iman Beney'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 276579, 'name': 'Nadine Riesen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10419, 'name': 'Géraldine Reuteler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 407639, 'name': 'Smilla Vallotto'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 135324, 'name': 'Svenja Fölmli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 443269, 'name': 'Sydney Schertenleib'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Switzerland Women's,860,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,71520e44-4eb0-4e41-8f89-1f4b9bb2b0ca,2,,,,3998844,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 193268, 'name': 'Cecilía Rán Rúnarsdóttir'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 66399, 'name': 'Guðný Árnadóttir'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10119, 'name': 'Glódís Perla Viggósdóttir'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10135, 'name': 'Ingibjörg Sigurðardóttir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 225394, 'name': 'Guðrún Arnardóttir'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 32456, 'name': 'Alexandra Jóhannsdóttir'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10134, 'name': 'Agla María Albertsdóttir'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 32460, 'name': 'Karólína Lea Vilhjálmsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 190348, 'name': 'Sveindís Jane Jónsdóttir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10246, 'name': 'Sandra María Jessen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 3}]}",Iceland Women's,862,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,38da17d9-d88c-4e37-9d30-689296b8666f,3,,,,3998844,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,['fee546e7-536d-474b-a12d-407d5303534e'],0,,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fee546e7-536d-474b-a12d-407d5303534e,4,,,,3998844,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,['38da17d9-d88c-4e37-9d30-689296b8666f'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8c11da22-75b9-42ef-98ab-48c06ea09ea4,1436,,,,3998844,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Switzerland Women's,860,['a56c5270-3443-4b10-b87f-8d7476a344f6'],0,,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a56c5270-3443-4b10-b87f-8d7476a344f6,1437,,,,3998844,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Switzerland Women's,860,['8c11da22-75b9-42ef-98ab-48c06ea09ea4'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.068974,,,,,,,,,,,,ea0af40a-9045-4b60-ad25-5390a8e65a69,5,,,"[61.0, 40.1]",3998844,0,,,,,2.809985,,Right Foot,,,"[33.7, 49.5]",,Ground Pass,,28.872997,,Glódís Perla Viggósdóttir,10119.0,,,,,Kick Off,1,From Kick Off,Sandra María Jessen,10246.0,Center Forward,2,Iceland Women's,862,['a07a441b-5816-4c13-97da-f316f89c6a3e'],0,,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:00.525,Pass,
,,,,,,,,,,,,,,,,,5.759454,,,,,,,,,,,,98488c02-18ca-4c1f-81b2-55955422a061,8,,,"[37.6, 48.5]",3998844,0,,,,,-0.65259665,,Right Foot,,,"[97.0, 3.1]",,High Pass,,74.76309,,Dagný Brynjarsdóttir,10124.0,,,True,,,1,From Kick Off,Glódís Perla Viggósdóttir,10119.0,Right Center Back,2,Iceland Women's,862,['c9f5e5bd-0e66-4783-98e7-aa8cb264cabf'],4,,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:04.610,Pass,
,,,,,,,,,,,,,,,,,1.933315,,,,,,,,,,,,1c1c60cf-e69a-4685-988f-74b7fe4fc334,14,,,"[16.7, 69.9]",3998844,0,,,,,1.7826239,,Head,,,"[14.7, 79.2]",,Low Pass,,9.512623,Out,,,,,,,Recovery,1,From Kick Off,Iman Beney,460753.0,Right Wing Back,2,Iceland Women's,862,,13,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:13.599,Pass,
,,,,,,,,,,,,,,,,,2.125221,,,,,,,,,,,,98300638-9d5a-43bd-92f2-688af28cd9ef,15,,,"[106.1, 0.1]",3998844,0,,,,,1.313754,,,True,,"[115.3, 35.1]",,High Pass,,36.18895,Incomplete,,,,,,,Throw-in,1,From Throw In,Sveindís Jane Jónsdóttir,190348.0,Left Wing,3,Iceland Women's,862,['dfc45dfc-b565-4cb3-a49e-c3d693715264'],40,,,,,,,,,,,,,,,,,Iceland Women's,862,00:00:40.572,Pass,
