50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,712f4a57-30fa-4d8d-9da5-6b00ce5bddb9,1,,,3998855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49972, 'name': 'Martina Lenzini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10370, 'name': 'Cecilia Salvai'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 46331, 'name': 'Elisabetta Oliviero'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 45638, 'name': 'Sofia Cantore'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 45737, 'name': 'Martina Piemonte'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,882c22e5-1f72-429b-967e-273543436496,2,,,3998855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 50371, 'name': 'Adriana Nanclares Romero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 45289, 'name': 'Jana Fernandez Velasco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 50375, 'name': 'María Méndez Fernández'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10163, 'name': 'Leila Ouahabi El Ouahabi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15287, 'name': 'Patricia Guijarro Gutiérrez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15284, 'name': 'Aitana Bonmati Conca'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10143, 'name': 'Alexia Putellas Segura'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 49913, 'name': 'Athenea del Castillo Belvide'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10161, 'name': 'María Francesca Caldentey Oliver'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 222682, 'name': 'Salma Paralluelo Ayingono'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ffe5b3f6-e11e-4b9d-a0d2-d1288f000d2e,3,,,3998855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['4f246e53-1ff9-423c-9e23-b7e93d0d0ed6'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,4f246e53-1ff9-423c-9e23-b7e93d0d0ed6,4,,,3998855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['ffe5b3f6-e11e-4b9d-a0d2-d1288f000d2e'],0,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,888834a6-a92f-4001-a817-3c8ac19888d8,1984,,,3998855,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,71,Spain Women's,863,['900216e4-88ec-4ec9-b972-851eecac7ec1'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,900216e4-88ec-4ec9-b972-851eecac7ec1,1985,,,3998855,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,71,Spain Women's,863,['888834a6-a92f-4001-a817-3c8ac19888d8'],0,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.301617,,,,,,,,,,1f72e7f1-edca-490c-a2e4-56247d2f9139,5,,"[61.0, 40.1]",3998855,0,,,,3.1415927,,Left Foot,,,,"[45.4, 40.1]",,Ground Pass,,15.6,,,,Patricia Guijarro Gutiérrez,15287.0,,,,,Kick Off,1,From Kick Off,Salma Paralluelo Ayingono,222682.0,Center Forward,2,Spain Women's,863,['d3b514f6-4b94-4af0-beeb-767bb792d3be'],0,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.571,Pass,
,,,,,,,,,,,,,,,,,0.777968,,,,,,,,,,d34a7397-e1a2-480d-a019-4f36d4d65cf2,8,,"[45.1, 39.7]",3998855,0,,,,1.5625998,,Left Foot,,,,"[45.2, 51.9]",,Ground Pass,,12.20041,,,,Aitana Bonmati Conca,15284.0,,,,,,1,From Kick Off,Patricia Guijarro Gutiérrez,15287.0,Center Defensive Midfield,2,Spain Women's,863,['3e62f545-8599-486d-85ed-890f25ea0e5f'],2,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:02.614,Pass,
,,,,,,,,,,,,,,,,,0.800606,,,,,,,,,,e4d1019f-5c09-4c48-bc8d-c5f27587d9a4,11,,"[45.4, 50.1]",3998855,0,,,,-1.3868529,,Right Foot,,,,"[47.0, 41.5]",,Ground Pass,,8.747571,,,,Patricia Guijarro Gutiérrez,15287.0,,,,,,1,From Kick Off,Aitana Bonmati Conca,15284.0,Right Center Midfield,2,Spain Women's,863,['fe4912ed-8948-4585-8959-bdfab17a2170'],4,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:04.003,Pass,
,,,,,,,,,,,,,,,,,1.122801,,,,,,,,,,175503e9-efd7-46e7-ace6-b200134cfc0a,14,,"[47.0, 41.5]",3998855,0,,,,3.0529368,,Right Foot,,,,"[33.5, 42.7]",,Ground Pass,,13.553228,,,,Irene Paredes Hernandez,10165.0,,,,,,1,From Kick Off,Patricia Guijarro Gutiérrez,15287.0,Center Defensive Midfield,2,Spain Women's,863,['4fe45dea-c713-443c-8ccf-24f61c46c608'],4,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:04.872,Pass,
