50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.620803,,,,,,,,,,,,,,d45e278d-6364-4691-b1d6-a69d295ee4af,23,,,"[112.0, 80.0]",3998846,1,,,,-1.4842782,,,,,,"[113.7, 60.4]",,High Pass,,19.673586,,,Emma Severini,49695.0,,,,,Throw-in,1,From Throw In,Lucia Di Guglielmo,46224.0,Right Wing Back,4,Italy Women's,855,['87b4a41d-0f32-40b3-bf3c-fbea83b50a4c'],37,,,,,,,,,,,,,,,,,Italy Women's,855,00:01:37.546,Pass,
,,,,,,,,,,,,,,,,,0.27002,,,,,,,,,,,,,,62f40bba-8623-45e6-8d47-2d7a69d47c31,28,,,"[118.5, 59.8]",3998846,1,,,,-1.5707964,,Right Foot,,,,"[118.5, 58.5]",,Ground Pass,,1.3,Incomplete,,,,,,,,,1,From Throw In,Emma Severini,49695.0,Left Center Midfield,4,Italy Women's,855,"['e7decf98-6a0d-4226-93cd-10e8a9253ad1', '765ab015-248b-4adb-a1ae-216d79dba155']",40,,,,,,,,,,,,,,,,,Italy Women's,855,00:01:40.571,Pass,True
,,,,,,,,,,,,,,,,,0.930634,,,,,,,,,,,,,,db62914a-96ac-4377-a0de-02b400428329,31,,,"[3.1, 37.5]",3998846,1,,,,1.4043506,,Right Foot,,,,"[5.2, 50.0]",,Ground Pass,,12.675173,,,Diana Catarina Ribeiro Gomes,32143.0,,,,,Goal Kick,1,From Goal Kick,Patricia Isabel Sousa Barros Morais,10145.0,Goalkeeper,5,Portugal Women's,864,['37503891-25fd-4cd3-9bd1-3d3ebb4c522a'],59,,,,,,,,,,,,,,,,,Portugal Women's,864,00:01:59.955,Pass,
,,,,,,,,,,,,,,,,,1.900787,,,,,,,,,,,,,,68161a91-31c4-4c93-b84f-151c8d816f69,34,,,"[6.9, 51.9]",3998846,2,,,,1.1214789,,Right Foot,,,,"[19.1, 77.2]",,Ground Pass,,28.087898,,,Ana Borges,10141.0,,,,,,1,From Goal Kick,Diana Catarina Ribeiro Gomes,32143.0,Right Center Back,5,Portugal Women's,864,['232a0149-0a24-40e0-b047-a21e4b0a0039'],1,,,,,,,,,,,,,,,,,Portugal Women's,864,00:02:01.715,Pass,
,,,,,,,,,,,,,,,,,1.781004,,,,,,,,,,,,,,c8544469-107a-4d61-bd70-cb0e435a4932,37,,,"[35.5, 77.4]",3998846,2,,,,-0.08268399,,Right Foot,,,,"[71.7, 74.4]",,Low Pass,,36.324097,Incomplete,,,,,,,,,1,From Goal Kick,Ana Borges,10141.0,Right Back,5,Portugal Women's,864,['35713dcf-6541-486b-a228-1fc95a4a05ed'],7,,,,,,,,,,,,,,,,,Portugal Women's,864,00:02:07.610,Pass,
,,,,,,,,,,,,,,,,,1.318809,,,,,,,,,,,,,,141c7807-e4c4-4182-bcd5-cd7fd905cb1f,41,,,"[40.3, 2.6]",3998846,2,,,,0.08070666,,Left Foot,,,,"[53.9, 3.7]",,Ground Pass,,13.644413,Incomplete,,Lisa Boattin,25770.0,,,,,,1,Regular Play,Elena Linari,10208.0,Left Center Back,6,Italy Women's,855,"['37826d28-a24a-46c9-b0b9-52eeabf9b0e8', '1482e5f3-1168-45fa-a458-089a36e1a044', 'e4a381b9-29ca-4f3a-b894-57a23538741b']",12,,,,,,,,,,,,,,,,,Italy Women's,855,00:02:12.525,Pass,True
,,,,,,,,,,,,,,,,,2.089311,,,,,,,,,,,,,,1932ac15-6a16-45f8-a03e-46c278521e40,44,,,"[62.7, 0.1]",3998846,2,,,,0.37690926,,,,,,"[81.9, 7.7]",,High Pass,,20.649456,Incomplete,,Cristiana Girelli,10203.0,,,,,Throw-in,1,From Throw In,Elena Linari,10208.0,Left Center Back,7,Italy Women's,855,"['842d1fa6-b0a6-4b9f-9aff-695d155e247e', '1304f45f-6c74-4956-bc51-7eccddd8b2f3']",39,,,,,,,,,,,,,,,,,Italy Women's,855,00:02:39.020,Pass,
,,,,,,,,,,,,,,,,,2.58617,,,,,,,,,,,,,,842d1fa6-b0a6-4b9f-9aff-695d155e247e,47,,,"[38.2, 72.4]",3998846,2,,,True,-0.3623472,,,,,,"[53.5, 66.6]",,High Pass,,16.362457,Incomplete,,,,,,,,Recovery,1,From Throw In,Diana Catarina Ribeiro Gomes,32143.0,Right Center Back,7,Italy Women's,855,"['1932ac15-6a16-45f8-a03e-46c278521e40', '0031fbb6-f0a5-4e31-881e-8fc28b4c6fb6', '7608ee37-be60-46a1-b5f7-87853e8b7aa1']",41,,,,,,,,,,,,,,,,,Portugal Women's,864,00:02:41.110,Pass,True
,,,,,,,,,,,,,,,,,1.128101,,,,,,,,,,,,,,22301bd5-ff39-43ab-ac5b-710379dda646,51,,,"[62.9, 12.7]",3998846,2,,,,-2.2929876,,Right Foot,,,,"[55.5, 4.3]",,High Pass,,11.194641,,,Elena Linari,10208.0,,,,,,1,From Throw In,Emma Severini,49695.0,Left Center Midfield,7,Italy Women's,855,"['f828cec6-5750-4ab9-8415-09205a12f8ab', '37e6bb7f-df84-4ae5-8ffc-8e42828da835']",44,,,,,,,,,,,,,,,,,Italy Women's,855,00:02:44.413,Pass,True
,,,,,,,,,,,,,,,,,0.144207,,,,,,,,,,,,,,4aab034e-951d-4f6c-92ba-c0d54a49d204,55,,,"[54.9, 3.5]",3998846,2,,,,0.5070985,,Right Foot,,,,"[56.7, 4.5]",,Low Pass,,2.0591261,Incomplete,,,,,,,,,1,From Throw In,Elena Linari,10208.0,Left Center Back,7,Italy Women's,855,"['7a0d43fb-ea73-4ed6-bf37-fe4c6662cc8f', 'd92b5e16-5da4-493d-a6da-402bb0036d5e']",46,,,,,,,,,,,,,,,,,Italy Women's,855,00:02:46.216,Pass,True
