50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9208412d-440b-4655-a981-15b3d66cfbf7,1,,,3998859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 32339, 'name': 'Daphne van Domselaar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 32333, 'name': 'Lynn Wilms'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 221888, 'name': 'Kerstin Yasmijn Casparij'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 63790, 'name': 'Chasity Grant'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 63788, 'name': 'Victoria Pelova'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 10656, 'name': 'Lineth Beerensteyn'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Netherlands Women's,851,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,729f49b8-2567-4ebe-a1c2-8d9eecdec744,2,,,3998859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 30969, 'name': 'Elisa De Almeida'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 159488, 'name': 'Thiniba Samoura'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 49583, 'name': 'Alice Sombath'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 15471, 'name': 'Selma Bacha'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 30971, 'name': 'Sandie Toletti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 31633, 'name': 'Oriane Jean-François'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10117, 'name': 'Sakina Karchaoui'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15470, 'name': 'Delphine Cascarino'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 24459, 'name': 'Sandy Baltimore'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 15419, 'name': 'Marie-Antoinette Katoto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",France Women's,861,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1d229bd7-2e9e-4aa6-8a2e-420ac54de5b7,3,,,3998859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['a22f81ba-d24c-401d-8e69-de9aa3596402'],0,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a22f81ba-d24c-401d-8e69-de9aa3596402,4,,,3998859,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['1d229bd7-2e9e-4aa6-8a2e-420ac54de5b7'],0,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,92551419-e558-4375-bda0-50797e834b73,1303,,,3998859,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,France Women's,861,['0c955061-d321-41a3-9eea-62229ff1f207'],0,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0c955061-d321-41a3-9eea-62229ff1f207,1304,,,3998859,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,France Women's,861,['92551419-e558-4375-bda0-50797e834b73'],0,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.495593,,,,,,,,,,,,53811dff-0d73-4d9c-acdc-7576f5784a57,5,,"[60.0, 40.0]",3998859,0,,,,-2.536534,,Right Foot,,,"[38.6, 25.2]",,Ground Pass,,26.019224,,,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,,,Kick Off,1,From Kick Off,Danielle van de Donk,10658.0,Right Center Midfield,2,Netherlands Women's,851,['e50be930-2cc6-4c7a-baf4-7d93ed3954a1'],0,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.212,Pass,
,,,,,,,,,,,,,,,,2.635257,,,,,,,,,,,,60acb078-64b9-4bf6-9b2f-2444337a0f74,8,,"[42.0, 23.5]",3998859,0,,,,-0.010438034,,Right Foot,,,"[89.9, 23.0]",,High Pass,,47.90261,,Incomplete,,,,,,,,,,1,From Kick Off,Dominique Johanna Anna Petrone Janssen,10666.0,Left Center Back,2,Netherlands Women's,851,['45c3189b-469f-4869-ab14-efb3c26d3287'],3,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:03.823,Pass,
,,,,,,,,,,,,,,,,0.995275,,,,,,,,,,,,45c3189b-469f-4869-ab14-efb3c26d3287,9,,"[30.2, 57.1]",3998859,0,,,,-0.7712147,,Head,,,"[44.5, 43.2]",,High Pass,,19.942417,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Thiniba Samoura,159488.0,Right Center Back,2,Netherlands Women's,851,"['60acb078-64b9-4bf6-9b2f-2444337a0f74', 'ea2c4996-b29a-477b-8c1b-ea11c9223256']",6,,,,,,,,,,,,,,,,France Women's,861,00:00:06.459,Pass,
,,,,,,,,,,,,,,,,1.060269,,,,,,,,,,,,587e9774-9c91-4d35-841c-97301634d923,12,,"[45.0, 49.6]",3998859,0,,,,-0.123766065,,Right Foot,,,"[65.9, 47.0]",,High Pass,,21.061102,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Oriane Jean-François,31633.0,Right Center Midfield,2,Netherlands Women's,851,"['be3ba9f1-d51b-45ea-ad7d-5e457094a994', '12cd300b-12bb-41b2-a6dc-67a6f65536d0']",8,,,,,,,,,,,,,,,,France Women's,861,00:00:08.557,Pass,True
