50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,64b135f9-4eae-4d95-afbb-152e4e8e34aa,1,,,,3998852,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,WNT Finland,920,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 224828, 'name': 'Anna Koivunen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 13865, 'name': 'Natalia Kuikka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 224144, 'name': 'Eva Nyström'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 392291, 'name': 'Joanna Tynnilä'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 225383, 'name': 'Ria Öling'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 191850, 'name': 'Eveliina Summanen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 392355, 'name': 'Oona Siren'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 224849, 'name': 'Saara Katariina Kosola'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 362827, 'name': 'Oona Sevenius'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 13713, 'name': 'Linda Sällström'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",WNT Finland,920,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,92656ad5-8a28-4339-87d5-fb593b4ce20c,2,,,,3998852,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,WNT Finland,920,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 32099, 'name': 'Livia Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 10417, 'name': 'Viola Calligaris'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 32101, 'name': 'Julia Stierli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 460753, 'name': 'Iman Beney'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 276579, 'name': 'Nadine Riesen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10419, 'name': 'Géraldine Reuteler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 407639, 'name': 'Smilla Vallotto'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 135324, 'name': 'Svenja Fölmli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 443269, 'name': 'Sydney Schertenleib'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Switzerland Women's,860,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3e2cb4f4-568a-488e-804a-55f4aa118b50,3,,,,3998852,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,WNT Finland,920,['05636145-e776-4560-8d97-859e9c80d8b5'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,05636145-e776-4560-8d97-859e9c80d8b5,4,,,,3998852,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,WNT Finland,920,['3e2cb4f4-568a-488e-804a-55f4aa118b50'],0,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,19d8ba28-09db-4ca0-b667-6622a26ac322,1900,,,,3998852,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Switzerland Women's,860,['6c9325e1-4739-43e6-b731-c430312ad9ef'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6c9325e1-4739-43e6-b731-c430312ad9ef,1901,,,,3998852,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Switzerland Women's,860,['19d8ba28-09db-4ca0-b667-6622a26ac322'],0,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.371995,,,,,,,,,,,,,,,0acb6294-a507-49e0-ab57-87cabe97a048,5,,,"[60.0, 40.0]",3998852,0,,,,,-2.9371176,,Right Foot,,,,"[38.3, 35.5]",Ground Pass,,22.161678,,,Eva Nyström,224144.0,,,,,,Kick Off,1,From Kick Off,Linda Sällström,13713.0,Center Forward,2,WNT Finland,920,['7534be25-382c-475e-a383-0b985a4b3f6f'],0,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.458,Pass,
,,,,,,,,,,,,,,,,,,,1.812664,,,,,,,,,,,,,,,4761c7fd-280c-4913-b926-608355380b7c,8,,,"[43.5, 32.2]",3998852,0,,,,,-1.479349,,Right Foot,,,,"[45.6, 9.3]",Ground Pass,,22.996086,,,Joanna Tynnilä,392291.0,,,,,,,1,From Kick Off,Eva Nyström,224144.0,Left Center Back,2,WNT Finland,920,['55f280ae-4aaa-4f96-b532-172b4c71e250'],3,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:03.351,Pass,
,,,,,,,,,,,,,,,,,,,1.375598,,,,,,,,,,,,,,,09bbe664-3681-4c86-b202-cbe540b091a9,11,,,"[45.2, 16.3]",3998852,0,,,,,2.2811477,,Left Foot,,,,"[32.9, 30.6]",Ground Pass,,18.862131,,,Eva Nyström,224144.0,,,,,,,1,From Kick Off,Joanna Tynnilä,392291.0,Left Back,2,WNT Finland,920,['a1023ddc-f1b5-4ce4-a618-17e6edcc1543'],6,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:06.480,Pass,
,,,,,,,,,,,,,,,,,,,1.133954,,,,,,,,,,,,,,,394c6188-307d-4f05-8b33-1bb10dfc3e2e,15,,,"[35.9, 36.2]",3998852,0,,,,,-0.19321148,,Right Foot,,,,"[49.7, 33.5]",Ground Pass,,14.06165,,,Eveliina Summanen,191850.0,,,,,,,1,From Kick Off,Eva Nyström,224144.0,Left Center Back,2,WNT Finland,920,"['ae66d42d-5649-444d-bae3-2dc821dfddbf', '4bba0155-95ed-4fc4-b2db-5e6c1b00254e']",10,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:10.470,Pass,True
