50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0410c42d-f854-4b12-8c51-a9c6fcde5d58,1,,,,3998856,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62667, 'name': 'Jennifer Miley Falk'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 237526, 'name': 'Smilla Holmberg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 34499, 'name': 'Hanna Ulrika Bennison'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ea38d09-e1b7-4c54-a1a1-4844968f2ccf,2,,,,3998856,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 46545, 'name': 'Carlotta Wamser'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 46881, 'name': 'Janina Minge'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 46885, 'name': 'Rebecca Knaak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 135326, 'name': 'Sarai Linder'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 47008, 'name': 'Sjoeke Nüsken'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 46546, 'name': 'Elisa Senß'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 46987, 'name': 'Jule Brand'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 47022, 'name': 'Laura Freigang'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 25476, 'name': 'Lea Schüller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Germany Women's,857,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81b3c31e-7788-4ba1-8ba0-1a48a75f52b1,3,,,,3998856,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['d0e038f9-08ce-45c7-92fe-ffb678839ce6'],0,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d0e038f9-08ce-45c7-92fe-ffb678839ce6,4,,,,3998856,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['81b3c31e-7788-4ba1-8ba0-1a48a75f52b1'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30c98513-799a-41a5-9e83-7235ec94b2cf,1633,,,,3998856,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Sweden Women's,858,['683d2ba4-915c-48d0-8b08-59fbb37c1687'],0,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,683d2ba4-915c-48d0-8b08-59fbb37c1687,1634,,,,3998856,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Sweden Women's,858,['30c98513-799a-41a5-9e83-7235ec94b2cf'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.39695,,,,,,,,,,,,,f0b647e9-49ee-4808-8131-a340a88ff112,5,,,"[61.0, 40.1]",3998856,0,,,,2.936646,,Right Foot,,"[43.2, 43.8]",,Ground Pass,,18.180485,,Sjoeke Nüsken,47008.0,,,,,,Kick Off,1,From Kick Off,Lea Schüller,25476.0,Center Forward,2,Germany Women's,857,['6753b804-fd42-4cc6-acef-4a06792f743c'],1,,,,,,,,,,,,,,,,Germany Women's,857,00:00:01.339,Pass,
,,,,,,,,,,,,,,,,,0.930983,,,,,,,,,,,,,f004124f-6a4e-41aa-bda3-09b783f73530,8,,,"[43.6, 44.3]",3998856,0,,,,2.5165699,,Left Foot,,"[35.7, 50.0]",,Ground Pass,,9.741663,,Janina Minge,46881.0,,,,,,,1,From Kick Off,Sjoeke Nüsken,47008.0,Right Defensive Midfield,2,Germany Women's,857,['5830b689-e3d2-49a6-95ae-b2404ef4bb2b'],3,,,,,,,,,,,,,,,,Germany Women's,857,00:00:03.467,Pass,
,,,,,,,,,,,,,,,,,2.395387,,,,,,,,,,,,,81a1ad71-7624-4699-a7eb-b858dc17e996,11,,,"[35.4, 49.9]",3998856,0,,,,-0.73910975,,Right Foot,,"[73.8, 14.9]",,High Pass,,51.95729,,Sarai Linder,135326.0,,,,,,,1,From Kick Off,Janina Minge,46881.0,Right Center Back,2,Germany Women's,857,['5a073b2b-93cb-414d-947f-a2c917db0909'],5,,,,,,,,,,,,,,,,Germany Women's,857,00:00:05.415,Pass,
,,,,,,,,,,,,,,,,,2.638734,,,,,,,,,,,,,e4544c05-d809-4cf3-8302-12f8b5bac133,13,,,"[73.8, 14.9]",3998856,0,,,,0.35994852,,Right Foot,,"[101.7, 25.4]",,High Pass,,29.8104,Incomplete,,,,,,,,,1,From Kick Off,Sarai Linder,135326.0,Left Back,2,Germany Women's,857,['61f7983c-e13d-4796-ac47-44b543511b98'],7,,,,,,,,,,,,,,,,Germany Women's,857,00:00:07.810,Pass,
