50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,223dc51f-9e8e-4648-8903-03544d3be76d,1,,,4018356,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 45295, 'name': 'Catalina Thomas Coll Lluch'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 32210, 'name': 'Laia Aleixandri López'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 49836, 'name': 'Olga  Carmona García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 15287, 'name': 'Patricia Guijarro Gutiérrez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15284, 'name': 'Aitana Bonmati Conca'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10143, 'name': 'Alexia Putellas Segura'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10161, 'name': 'María Francesca Caldentey Oliver'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 32838, 'name': 'Claudia Pina Medina'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 50146, 'name': 'Esther Gonzalez Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,da9013a9-060e-4c21-bd86-e4a90a6d4bf8,2,,,4018356,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 32099, 'name': 'Livia Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 9}, {'player': {'id': 10417, 'name': 'Viola Calligaris'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 276579, 'name': 'Nadine Riesen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 407639, 'name': 'Smilla Vallotto'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10419, 'name': 'Géraldine Reuteler'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 482017, 'name': 'Noemi Ivelj'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 443269, 'name': 'Sydney Schertenleib'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 460753, 'name': 'Iman Beney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Switzerland Women's,860,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,811c3890-7300-4299-a969-0416fb36d625,3,,,4018356,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['bf5f7626-cafa-48e6-a8b4-09914b9037c5'],0,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bf5f7626-cafa-48e6-a8b4-09914b9037c5,4,,,4018356,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['811c3890-7300-4299-a969-0416fb36d625'],0,,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ec2e96b-97f0-4ad6-bb1a-1a9f992a895c,1875,,,4018356,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Spain Women's,863,['79dea9cc-e229-4fdc-83e6-d1097aa351c3'],0,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79dea9cc-e229-4fdc-83e6-d1097aa351c3,1876,,,4018356,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Spain Women's,863,['1ec2e96b-97f0-4ad6-bb1a-1a9f992a895c'],0,,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.832733,,,,,,,,,,,,,e6907eb9-f767-4bc6-b6cb-ed69e649f712,5,,"[61.0, 40.1]",4018356,0,,,,,3.1042964,,Right Foot,,,"[47.6, 40.6]",,Ground Pass,,13.409325,,,Lia Wälti,10405.0,,,,,,Kick Off,1,From Kick Off,Sydney Schertenleib,443269.0,Center Attacking Midfield,2,Switzerland Women's,860,['8f26f74e-938c-44c4-81de-81445c615adf'],0,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.853,Pass,
,,,,,,,,,,,,,,,,,,,0.254248,,,,,,,,,,,,,edc2b3cf-c0c7-4e73-86e4-58e845002966,8,,"[51.4, 42.0]",4018356,0,,,,,0.50066775,,Left Foot,,,"[56.7, 44.9]",,Low Pass,,6.041523,Incomplete,,,,,,,,,,1,From Kick Off,Lia Wälti,10405.0,Right Defensive Midfield,2,Switzerland Women's,860,['7b100d63-e936-4abf-8e93-1a87df061306'],2,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:02.980,Pass,
,,,,,,,,,,,,,,,,,,,4.329261,,,,,,,,,,,,,95d4c32e-25ee-45c0-9d05-ecb05235eeba,10,,"[48.1, 64.0]",4018356,0,,,,,-0.056795042,,Right Foot,,,"[107.9, 60.6]",,High Pass,,59.896576,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Viola Calligaris,10417.0,Right Center Back,2,Switzerland Women's,860,['9e25701d-dc6c-4df2-82c5-042879253c42'],6,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:06.451,Pass,
,,,,,,,,,,,,,,,,,,,0.854927,,,,,,,,,,,,,e0b30c67-67eb-4d08-8eea-bfd0ebd36c7b,16,,"[110.1, 73.7]",4018356,0,,,,,-2.8295505,,Right Foot,,,"[100.8, 70.7]",,Ground Pass,,9.771898,,,Ana-Maria Crnogorčević,10408.0,,,,,,,1,From Kick Off,Iman Beney,460753.0,Center Forward,2,Switzerland Women's,860,['c8c3ba46-9ff6-4a30-bc6b-983acf3a5f2b'],13,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:13.346,Pass,
,,,,,,,,,,,,,,,,,,,0.463045,,,,,,,,,,,,,4d895a41-9846-4ef0-bbb8-99b7301be4a0,19,,"[101.1, 70.7]",4018356,0,,,,,0.8358603,,Left Foot,,,"[105.8, 75.9]",,Ground Pass,,7.0092797,,,Iman Beney,460753.0,,,,,,,1,From Kick Off,Ana-Maria Crnogorčević,10408.0,Right Back,2,Switzerland Women's,860,['27a60c10-73e9-4c31-bc09-33d9402588b8'],14,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:14.266,Pass,
