50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,60fa87fb-ac28-46fa-b764-e36367a55b26,1,,,3835335,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Northern Ireland,2457,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 224848, 'name': 'Jacqueline Burns'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 276298, 'name': 'Julie Nelson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 110841, 'name': 'Sarah Cathryn Ann Robson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 276299, 'name': 'Demi Vance'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 276292, 'name': 'Rebecca Mckenna'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 276300, 'name': 'Marissa Callaghan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 45371, 'name': 'Lauren Wade'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 276293, 'name': 'Kirsty McGuinness'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Northern Ireland,2457,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,84c38a02-6d0c-41bc-88d4-88603415d1b1,2,,,3835335,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Northern Ireland,2457,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0f28afdf-38bf-4faf-94f3-23c536da7dcc,3,,,3835335,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Northern Ireland,2457,['468d72fd-e598-4be4-864f-624df77ac22e'],0,,,,,,,,,,,,,,,,,Northern Ireland,2457,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,468d72fd-e598-4be4-864f-624df77ac22e,4,,,3835335,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Northern Ireland,2457,['0f28afdf-38bf-4faf-94f3-23c536da7dcc'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,95c09187-3fe4-4fdb-aae5-0bd9d4e96bb7,1344,,,3835335,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,78,Northern Ireland,2457,['d019ff72-7bdd-49fa-8b0a-1958a230fdee'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d019ff72-7bdd-49fa-8b0a-1958a230fdee,1345,,,3835335,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,78,Northern Ireland,2457,['95c09187-3fe4-4fdb-aae5-0bd9d4e96bb7'],0,,,,,,,,,,,,,,,,,Northern Ireland,2457,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.010688,,,,,,,,,,,359f9b4a-f856-4ce8-93cf-6d41d85a90ef,5,,"[60.0, 40.0]",3835335,0,,,,,3.131789,,Right Foot,,,,"[49.8, 40.1]",,Ground Pass,,10.20049,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Georgia Stanway,4643.0,Right Defensive Midfield,2,England Women's,865,['cc3c86cb-9c6e-46cf-80a0-ba0255716ac4'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.713,Pass,
,,,,,,,,,,,,,,,,,,1.897851,,,,,,,,,,,c0a50019-4d1a-4a9d-bd45-50d5ad14d385,8,,"[49.1, 40.3]",3835335,0,,,,,3.0111895,,Right Foot,,,,"[36.9, 41.9]",,Ground Pass,,12.304471,,,Millie Bright,4642.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Left Defensive Midfield,2,England Women's,865,['6e39f06a-373c-474e-aac0-ae1763635c8f'],2,,,,,,,,,,,,,,,,,England Women's,865,00:00:02.431,Pass,
,,,,,,,,,,,,,,,,,,3.563896,,,,,,,,,,,87ce65fe-058c-419d-be56-d78f8090ead8,10,,"[36.9, 41.9]",3835335,0,,,,,-0.6393197,,Right Foot,,,,"[86.8, 4.8]",,High Pass,,62.180542,,Incomplete,Ellen White,10180.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,England Women's,865,"['4a5d7d9c-426a-4b99-ac4a-7e8e03edbcef', 'ef9b29a1-fbae-412e-93a5-a3dbc67cfe30']",4,,,,,,,,,,,,,,,,,England Women's,865,00:00:04.329,Pass,
,,,,,,,,,,,,,,,,,,1.44505,,,,,,,,,,,57903c27-6b88-458f-a9dc-e88162b6ae9f,15,,"[76.2, 2.5]",3835335,0,,,,,-0.16628246,,Right Foot,,,,"[90.5, 0.1]",,High Pass,,14.5,,Out,,,,,,,,Recovery,1,From Kick Off,Rachel Daly,5058.0,Left Back,2,England Women's,865,['64d404bb-5fdd-42e6-98a7-ffe4051054ee'],10,,,,,,,,,,,,,,,,,England Women's,865,00:00:10.223,Pass,True
