50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b297656-f022-4fa3-be4c-6703dbe96875,1,,,3845506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,18d4dc4a-1ff8-41ed-b091-27dfa32b38c5,2,,,3845506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 10230, 'name': 'Linda Brigitta Sembrant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 24693, 'name': 'Hanna Erica Maria Glas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 13881, 'name': 'Eva Sofia Jakobsson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b2d9e43-7c7e-48c2-ac7c-94e7f46e1873,3,,,3845506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['ef4f6522-6a16-4478-b8d1-6f9101f09c01'],0,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ef4f6522-6a16-4478-b8d1-6f9101f09c01,4,,,3845506,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['4b2d9e43-7c7e-48c2-ac7c-94e7f46e1873'],0,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c2df450f-bbd5-4ff4-ac7f-3d17493e8705,1578,,,3845506,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Sweden Women's,858,['6eb507f8-8f39-4db5-9aee-448d993b2c73'],0,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6eb507f8-8f39-4db5-9aee-448d993b2c73,1579,,,3845506,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Sweden Women's,858,['c2df450f-bbd5-4ff4-ac7f-3d17493e8705'],0,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.071323,,,,,,,,,,,,f3b23711-b9d0-4737-b0db-c05f0e8381a3,5,,"[60.0, 40.0]",3845506,0,,,,,-2.748832,,Right Foot,,,"[53.0, 37.1]",,Ground Pass,,7.5769386,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Georgia Stanway,4643.0,Right Center Midfield,2,England Women's,865,['c3adf9d0-cd8d-4090-979b-c446ec8beeea'],0,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.789,Pass,
,,,,,,,,,,,,,,,,,1.474217,,,,,,,,,,,,b2140123-8193-4513-b6b3-4b0ae308f534,8,,"[48.4, 33.1]",3845506,0,,,,,2.3231876,,Right Foot,,,"[27.9, 55.0]",,Ground Pass,,29.997667,,,Millie Bright,4642.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Center Defensive Midfield,2,England Women's,865,['6ec491bf-e8ac-4502-b006-50193947112f'],2,,,,,,,,,,,,,,,,,,England Women's,865,00:00:02.796,Pass,
,,,,,,,,,,,,,,,,,3.13203,,,,,,,,,,,,b157508d-5808-4805-8783-dd19b176f2a1,12,,"[29.3, 57.4]",3845506,0,,,,,-0.041570492,,Right Foot,,,"[87.0, 55.0]",,High Pass,,57.749893,Incomplete,,,,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,England Women's,865,"['17fec4c0-f27d-40bf-922f-527e318b4e88', '2390de07-5b01-4413-9c99-3de2ecd3df7b']",5,,,,,,,,,,,,,,,,,,England Women's,865,00:00:05.773,Pass,True
,,,,,,,,,,,,,,,,,1.686147,,,,,,,,,,,,2390de07-5b01-4413-9c99-3de2ecd3df7b,13,,"[33.1, 25.1]",3845506,0,,,,True,-0.19612168,,,,,"[48.2, 22.1]",,High Pass,,15.395129,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,England Women's,865,"['5f440810-a57a-414e-b58f-d90db5f9b22d', 'a1f95278-27e6-4b54-a112-1097b9f83157', 'b157508d-5808-4805-8783-dd19b176f2a1']",8,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:08.905,Pass,True
,,,,,,,,,,,,,,,,,1.705326,,,,,,,,,,,,941680e6-a343-46ff-866a-5d2cd73c8412,21,,"[65.3, 22.1]",3845506,0,,,,,-0.15130116,,Left Foot,,,"[87.6, 18.7]",,Ground Pass,,22.557703,,,Emma Stina Blackstenius,10229.0,,,,,,,1,From Counter,Fridolina Rolfö,10215.0,Left Wing,3,Sweden Women's,858,['12ef57e9-93eb-468e-9c75-e1ebccab2e8c'],16,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:16.093,Pass,
,,,,,,,,,,,,,,,,,2.134091,,,,,,,,,,,,266c3e94-68db-4cf3-a4f8-5480a16090c5,24,,"[88.8, 22.9]",3845506,0,,,,,0.22011892,763f23cf-485c-48a8-973b-903fc6d407d0,Right Foot,,,"[110.7, 27.8]",,Ground Pass,,22.441479,,,Eva Sofia Jakobsson,13881.0,True,,,,,,1,From Counter,Emma Stina Blackstenius,10229.0,Center Forward,3,Sweden Women's,858,['87316213-2848-4eb1-b980-0ab139cf6667'],18,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:18.882,Pass,
,,,,,,,,,,,,,,,,,0.898337,,,,,,,,,,,,136727f7-6b0a-4918-994c-dc9e9ce7cf8b,29,,"[111.1, 0.1]",3845506,0,,,,,1.6396528,,,,,"[110.3, 11.7]",,Low Pass,,11.627554,,,Kosovare Asllani,10220.0,,,,,,Throw-in,1,From Throw In,Hanna Erica Maria Glas,24693.0,Left Back,4,Sweden Women's,858,['7d093c2e-c8b2-4afa-98c8-16b347b05283'],44,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:44.299,Pass,
,,,,,,,,,,,,,,,,,0.843978,,,,,,,,,,,,c0d06422-2b17-4905-aafc-018f7e251e9d,32,,"[109.1, 10.5]",3845506,0,,,,,-1.2578951,,Left Foot,,,"[111.3, 3.7]",,Low Pass,,7.1470275,,,Hanna Erica Maria Glas,24693.0,,,,,,,1,From Throw In,Kosovare Asllani,10220.0,Center Attacking Midfield,4,Sweden Women's,858,['44e78b50-f70a-4e29-80e3-5bb4f057fa1b'],45,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:45.197,Pass,
