ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,219204da-e612-43e4-8778-fd2a4322da14,1,,,,3835319,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,04b61421-15fe-4e29-a65d-8862b17ad333,2,,,,3835319,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 10235, 'name': 'Viktoria Schnaderbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 11}, {'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 10236, 'name': 'Sarah Zadrazil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 43046, 'name': 'Barbara Dunst'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 43039, 'name': 'Katharina Naschenweng'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 10233, 'name': 'Nicole Billa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Austria Women's,859,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,c8733c62-8e66-487d-bdcc-496fcce691ce,3,,,,3835319,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['f06d2ac1-4574-4b8f-bb01-6a388fc91790'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,f06d2ac1-4574-4b8f-bb01-6a388fc91790,4,,,,3835319,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['c8733c62-8e66-487d-bdcc-496fcce691ce'],0,,,,,,,,,,,,,,,,,Austria Women's,859,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,58484630-8afd-48ca-b04f-68b223adb30d,1767,,,,3835319,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,84,England Women's,865,['2323cd4e-9db5-48f2-a189-be84ca4a3c43'],0,,,,,,,,,,,,,,,,,Austria Women's,859,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,2323cd4e-9db5-48f2-a189-be84ca4a3c43,1768,,,,3835319,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,84,England Women's,865,['58484630-8afd-48ca-b04f-68b223adb30d'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.958975,,,,,,,,,,4df14347-74ec-441e-9261-41ee9d6c490d,5,,,"[61.0, 40.1]",3835319,0,,,,,2.8293204,,Right Foot,,,,"[48.3, 44.2]",,Ground Pass,,13.345411,,,Sarah Puntigam,10240.0,,,,,,Kick Off,1,From Kick Off,Nicole Billa,10233.0,Center Forward,2,Austria Women's,859,['767aa4e3-3b6f-4865-b51f-ad67a04ab31a'],0,,,,,,,,,,,,,,,,,Austria Women's,859,00:00:00.118,Pass,
,,,,,,,,,,,,,,1.363652,,,,,,,,,,7a72c37a-e05d-4a0d-b7b2-25075e1b18a9,8,,,"[43.5, 45.2]",3835319,0,,,,,-2.8009765,,Left Foot,,,,"[27.7, 39.6]",,Ground Pass,,16.763054,,,Viktoria Schnaderbeck,10235.0,,,,,,,1,From Kick Off,Sarah Puntigam,10240.0,Center Defensive Midfield,2,Austria Women's,859,['e77a70f5-0159-4f02-8617-dbbd68663568'],2,,,,,,,,,,,,,,,,,Austria Women's,859,00:00:02.115,Pass,
,,,,,,,,,,,,,,1.641443,,,,,,,,,,327f3e62-4cad-40fb-9181-b2d75bf5d515,11,,,"[26.9, 37.6]",3835319,0,,,,,1.665748,,Right Foot,,,,"[24.9, 58.6]",,Ground Pass,,21.095022,,,Carina Wenninger,10241.0,,,,,,,1,From Kick Off,Viktoria Schnaderbeck,10235.0,Left Center Back,2,Austria Women's,859,['d4d54207-549f-4cf4-80c7-f96c70f1882b'],4,,,,,,,,,,,,,,,,,Austria Women's,859,00:00:04.403,Pass,
,,,,,,,,,,,,,,1.93553,,,,,,,,,,309f94b2-ce74-45ba-b53d-2ca938722c99,14,,,"[37.6, 66.7]",3835319,0,,,,,-0.0056179184,,Right Foot,,,,"[73.2, 66.5]",,High Pass,,35.600563,,Incomplete,,,,,,,,,1,From Kick Off,Carina Wenninger,10241.0,Right Center Back,2,Austria Women's,859,['d998db3a-0867-4507-b44b-a89806a47178'],9,,,,,,,,,,,,,,,,,Austria Women's,859,00:00:09.827,Pass,
