50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4f4a21a-b75d-4ea9-b7e3-e31cfcbea7b4,8,,"[83.8, 75.7]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ana-Maria Crnogorčević,10408.0,Right Midfield,2,Switzerland Women's,860,['49ad9efd-92c4-4975-acdf-2db3470d5a8d'],4,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:04.386,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c58e067-bb2c-4282-8f01-3e3cf3ac93fe,10,,"[44.8, 2.8]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ana Borges,10141.0,Left Center Forward,2,Switzerland Women's,860,['fe2f07de-0021-474d-aa17-b7a910c77c59'],7,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:07.139,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8e37719-639f-4bf6-b65b-c1faa02c7370,12,,"[88.5, 75.0]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ramona Bachmann,4659.0,Center Forward,3,Switzerland Women's,860,['a05d4ca3-7d44-4582-b11a-a51f0de17832'],15,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:15.318,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9909f77c-6242-4397-a281-d1796403ec4a,16,,"[80.9, 79.0]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Noelle Maritz,10404.0,Right Back,3,Switzerland Women's,860,['9ba1def3-e787-498d-8289-28b3dc77f07e'],17,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:17.731,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c36c88f-899f-4957-9f59-4064ffc9efdb,18,,"[65.8, 7.3]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jéssica da Silva,32054.0,Right Center Forward,4,Portugal Women's,864,['80b77830-2872-4aa2-acc6-723ce7a997f1'],36,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:36.187,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a69c6ee-056b-4885-8cca-c0564bb5d1b5,20,,"[70.9, 74.6]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ramona Bachmann,4659.0,Center Forward,4,Portugal Women's,864,['05b74e46-4c44-481b-b0b7-7df817b41388'],37,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:37.859,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b416ec55-3172-4e54-9e6a-c9452610b946,22,,"[39.0, 9.6]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Carole da Silva Costa,10162.0,Left Center Back,4,Portugal Women's,864,['61926422-0cc7-44aa-8291-c2745c140731'],39,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:39.287,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77da90ee-6676-44dc-8c5d-c9329c98770d,25,,"[36.2, 33.1]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diana Catarina Ribeiro Gomes,32143.0,Right Center Back,4,Portugal Women's,864,['d215813b-2497-4160-b1e9-a7127e252d74'],43,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:43.190,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7530f9a-edcb-4a2a-bdb9-f85acbb1534f,28,,"[47.5, 73.5]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Catarina Amado,62905.0,Right Back,4,Portugal Women's,864,['69f04da0-28fe-45a1-b103-94225d902947'],47,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:47.108,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29e8084e-678b-436f-9862-238b8a6f1339,31,,"[36.9, 62.0]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diana Catarina Ribeiro Gomes,32143.0,Right Center Back,4,Portugal Women's,864,['21384318-969c-4606-b954-767f1003d264'],49,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:49.499,Ball Receipt*,
