50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,077168d4-e2ef-4145-aa3a-4af8b19068dd,1,,,,3835337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 276442, 'name': 'Lene Christensen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 87185, 'name': 'Stine Ballisager Pedersen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10111, 'name': 'Simone Boye-Sørensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 87195, 'name': 'Janni Thomsen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 32230, 'name': 'Karen Holmgaard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10275, 'name': 'Sofie Junge Pedersen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 87191, 'name': 'Rikke Marie Madsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 276443, 'name': 'Kathrine Møller Kühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Denmark Women's,853,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,d4987abe-a12b-43c5-8e9c-644a640ec320,2,,,,3835337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 10142, 'name': 'Sandra Paños García-Villamil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10155, 'name': 'María Pilar León Cebrián'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10163, 'name': 'Leila Ouahabi El Ouahabi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15287, 'name': 'Patricia Guijarro Gutiérrez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 51062, 'name': 'Sheila García Gómez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 15284, 'name': 'Aitana Bonmati Conca'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10161, 'name': 'María Francesca Caldentey Oliver'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 49913, 'name': 'Athenea del Castillo Belvide'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 25513, 'name': 'Lucía García Córdoba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,fdf0da49-b183-4d56-99e9-b5a7ab1f32b4,3,,,,3835337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['998e2ee8-c975-4b66-9ad2-be647f84932a'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,998e2ee8-c975-4b66-9ad2-be647f84932a,4,,,,3835337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['fdf0da49-b183-4d56-99e9-b5a7ab1f32b4'],0,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,92444fb2-c58a-4af6-bacb-249cae4c500c,2006,,,,3835337,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,90,Denmark Women's,853,['e6c0553c-b8db-4c90-9dca-aee7ed7a3d9b'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,e6c0553c-b8db-4c90-9dca-aee7ed7a3d9b,2007,,,,3835337,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,90,Denmark Women's,853,['92444fb2-c58a-4af6-bacb-249cae4c500c'],0,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.122765,,,,,,,,e37bcf0e-bf5c-4166-a8ae-57ab7be33fce,5,,,"[61.0, 40.1]",3835337,0,,,,-3.0343137,,Right Foot,,,"[48.0, 38.7]",,Ground Pass,,13.075168,,,Patricia Guijarro Gutiérrez,15287.0,,,,,Kick Off,1,From Kick Off,Lucía García Córdoba,25513.0,Center Forward,2,Spain Women's,863,['04c4230e-5d2a-4b0d-9b0a-121158005d3b'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.168,Pass,
,,,,,,,,,,,,,,,,,,1.2979,,,,,,,,f9df3382-c22d-4542-b285-6a53724b5e73,8,,,"[47.5, 40.8]",3835337,0,,,,1.3876855,,Right Foot,,,"[49.0, 48.9]",,Ground Pass,,8.237719,,,Aitana Bonmati Conca,15284.0,,,,,,1,From Kick Off,Patricia Guijarro Gutiérrez,15287.0,Center Defensive Midfield,2,Spain Women's,863,['c7403df5-50f4-4868-b79d-f0d15fe90bef'],2,,,,,,,,,,,,,,,,Spain Women's,863,00:00:02.594,Pass,
,,,,,,,,,,,,,,,,,,1.990122,,,,,,,,64d32ca2-9274-462d-a400-39e6d71b1fb6,11,,,"[48.2, 51.9]",3835337,0,,,,-1.7584361,,Right Foot,,,"[42.2, 20.3]",,Ground Pass,,32.164577,,,María Pilar León Cebrián,10155.0,,,,,,1,From Kick Off,Aitana Bonmati Conca,15284.0,Right Center Midfield,2,Spain Women's,863,['bedf35e4-3be9-4cb7-ac7c-c98084c4b367'],4,,,,,,,,,,,,,,,,Spain Women's,863,00:00:04.106,Pass,
,,,,,,,,,,,,,,,,,,1.55587,,,,,,,,c3bd8171-74b3-44a4-8265-c567d4e4688b,14,,,"[44.3, 17.7]",3835337,0,,,,-0.48885235,,Left Foot,,,"[63.1, 7.7]",,Ground Pass,,21.29413,,,Leila Ouahabi El Ouahabi,10163.0,,,,,,1,From Kick Off,María Pilar León Cebrián,10155.0,Left Center Back,2,Spain Women's,863,['ff31fadc-6da4-4b8b-b62f-79de6ef0ca6f'],7,,,,,,,,,,,,,,,,Spain Women's,863,00:00:07.241,Pass,
