50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5e11bcd-87cf-40c6-b99e-1838a8bf56e4,1,,,,3835327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d4135baa-6081-492b-8659-cd7e9809a28f,2,,,,3835327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 276302, 'name': 'Guro Pettersen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 276288, 'name': 'Tuva Hansen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 191851, 'name': 'Julie Blakstad'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 25466, 'name': 'Vilde Bøe Risa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 25728, 'name': 'Karina Sævik'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 10385, 'name': 'Ada Stolsmo Hegerberg'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d91c020a-efbc-4496-9157-c1415f541063,3,,,,3835327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['4b5a9721-d3f2-4992-a391-dfc18dd5bc5f'],0,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4b5a9721-d3f2-4992-a391-dfc18dd5bc5f,4,,,,3835327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['d91c020a-efbc-4496-9157-c1415f541063'],0,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,031160e7-35b5-43b1-91b2-39ef888751db,1448,,,,3835327,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,England Women's,865,['f7d04fa2-36eb-4ff0-8fa7-228eb02f96bb'],0,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f7d04fa2-36eb-4ff0-8fa7-228eb02f96bb,1449,,,,3835327,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,England Women's,865,['031160e7-35b5-43b1-91b2-39ef888751db'],0,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.223872,,,,,,,,,,,,,,cc205e6e-6915-4bc1-a2f4-09142c88ac38,5,,,"[61.0, 40.1]",3835327,0,,,,,-3.0945685,,Right Foot,,,"[44.0, 39.3]",,Ground Pass,,17.018812,,,Maria Thorisdottir,4636.0,,,,,Kick Off,1,From Kick Off,Ada Stolsmo Hegerberg,10385.0,Center Forward,2,Norway Women's,852,['4740de0b-0353-46cf-9bb4-7fedf6abc0cd'],0,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.387,Pass,
,,,,,,,,,,,,,,,,,,,2.340481,,,,,,,,,,,,,,35ed1e3d-353f-4c55-80f6-e8391982ad50,8,,,"[43.7, 39.8]",3835327,0,,,,,0.30053025,,Right Foot,,,"[92.1, 54.8]",,High Pass,,50.671097,,Incomplete,,,,,,,,1,From Kick Off,Maria Thorisdottir,4636.0,Left Center Back,2,Norway Women's,852,['965868d2-6957-43f2-bb54-d8ae6472beba'],3,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:03.295,Pass,
,,,,,,,,,,,,,,,,,,,1.256175,,,,,,,,,,,,,,001768d8-6d29-424e-8956-b1f061805e47,13,,,"[78.0, 70.5]",3835327,0,,,,,2.6836755,,Right Foot,,,"[64.0, 77.4]",,Ground Pass,,15.60801,,,Tuva Hansen,276288.0,,,,,,1,From Kick Off,Karina Sævik,25728.0,Right Midfield,2,Norway Women's,852,['ad60960f-9729-44ac-80f8-68e6978fc135'],10,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:10.337,Pass,
,,,,,,,,,,,,,,,,,,,2.050559,,,,,,,,,,,,,,f180e46b-1868-4f1d-86b3-5e081c363172,16,,,"[64.0, 77.4]",3835327,0,,,,,-0.47515604,,Left Foot,,,"[95.1, 61.4]",,High Pass,,34.97442,,Incomplete,Ada Stolsmo Hegerberg,10385.0,,,,,,1,From Kick Off,Tuva Hansen,276288.0,Right Back,2,Norway Women's,852,"['6d154f04-ba57-450c-baec-3880cd4981ce', 'dd828080-e54a-4f48-84ac-9cbb95da60ed']",12,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:12.916,Pass,
