ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.655153,,,,,,,,,,,,,33006755-2e84-4710-9fd5-dd6c1c8e1e12,17,,"[38.7, 12.7]",3835339,0,,,,,1.2200683,,Left Foot,,,,"[43.2, 25.0]",,Ground Pass,,13.097328,Incomplete,,Sandy Mändly,63073.0,,,,,,,1,Regular Play,Eseosa Aigbogun,10407.0,Left Back,3,Switzerland Women's,860,"['321d1b39-d453-4669-8eb0-c5c716a224e8', 'bf5fc919-c456-404a-ba3f-ad7c7d744603', 'd99e4743-a97b-4885-8c33-4de6a78e547f']",9,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:09.430,Pass,True
,,,,,,,,,,,,,,,,,0.677926,,,,,,,,,,,,,a8dc6975-a246-481e-86eb-e81c6088d123,21,,"[74.9, 54.6]",3835339,0,,,,,3.0051901,,Left Foot,,,,"[64.7, 56.0]",,Ground Pass,,10.29563,,,Jackie Groenen,10654.0,,,,,,,1,Regular Play,Danielle van de Donk,10658.0,Center Attacking Midfield,4,Netherlands Women's,851,['918a201e-ce86-4895-8523-611070397b7f'],11,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:11.352,Pass,
,,,,,,,,,,,,,,,,,1.377447,,,,,,,,,,,,,5800d317-65f5-437f-b43f-528283df8ae4,24,,"[62.2, 61.9]",3835339,0,,,,,1.9105397,,Right Foot,,,,"[58.1, 73.5]",,Ground Pass,,12.303251,,,Lynn Wilms,32333.0,,,,,,,1,Regular Play,Jackie Groenen,10654.0,Right Defensive Midfield,4,Netherlands Women's,851,['05a00825-231f-463d-bedc-142268e568d4'],13,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:13.518,Pass,
,,,,,,,,,,,,,,,,,2.211597,,,,,,,,,,,,,9661fb37-dc84-45dc-ac8b-b17ca690f478,27,,"[55.1, 67.0]",3835339,0,,,,,-2.6998851,,Right Foot,,,,"[42.2, 60.9]",,Ground Pass,,14.269548,,,Stephanie van der Gragt,10647.0,,,,,,,1,Regular Play,Lynn Wilms,32333.0,Right Back,4,Netherlands Women's,851,['1c6730bb-c735-494e-88da-77bf62ca7522'],15,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:15.646,Pass,
,,,,,,,,,,,,,,,,,1.886382,,,,,,,,,,,,,2e006117-efd8-4d2c-b2fb-50144ad54978,30,,"[39.5, 56.0]",3835339,0,,,,,-2.6487563,,Right Foot,,,,"[17.9, 44.4]",,Ground Pass,,24.517748,,,Daphne van Domselaar,32339.0,,,,,,,1,Regular Play,Stephanie van der Gragt,10647.0,Right Center Back,4,Netherlands Women's,851,['0df37978-8d69-4e74-8135-28afdbfb2f75'],18,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:18.438,Pass,
,,,,,,,,,,,,,,,,,1.143852,,,,,,,,,,,,,271eb3f2-f5f0-4252-984d-6a215c7384fd,33,,"[19.7, 38.9]",3835339,0,,,,,-1.0492425,,Right Foot,,,,"[27.4, 25.5]",,Ground Pass,,15.454773,,,Aniek Nouwen,62951.0,,,,,,,1,Regular Play,Daphne van Domselaar,32339.0,Goalkeeper,4,Netherlands Women's,851,['97cda782-a9ce-42ed-bb06-e448dbe1207c'],21,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:21.433,Pass,
,,,,,,,,,,,,,,,,,1.949324,,,,,,,,,,,,,a058627e-e309-419f-b349-061b6e1c0cbf,36,,"[36.1, 28.0]",3835339,0,,,,,1.4898051,,Left Foot,,,,"[38.6, 58.8]",,Ground Pass,,30.901295,,,Stephanie van der Gragt,10647.0,,,,,,,1,Regular Play,Aniek Nouwen,62951.0,Left Center Back,4,Netherlands Women's,851,['f7e7cee0-0f2d-4625-be9f-b19c9482e1e2'],25,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:25.696,Pass,
,,,,,,,,,,,,,,,,,5.033916,,,,,,,,,,,,,ee79dbdb-e162-438f-a029-27653b5d1e92,39,,"[45.4, 62.9]",3835339,0,,,,,0.009395696,,Right Foot,,,,"[119.9, 63.6]",,High Pass,,74.50329,Out,,Lineth Beerensteyn,10656.0,,,,,,,1,Regular Play,Stephanie van der Gragt,10647.0,Right Center Back,4,Netherlands Women's,851,['3e8549a8-d421-4339-99a9-7c04843b4029'],29,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:29.863,Pass,
,,,,,,,,,,,,,,,,,1.107924,,,,,,,,,,,,,c72b0ad5-23e0-4b2b-91cf-54086e9efb43,41,,"[6.0, 36.0]",3835339,0,,True,,,0.7853982,,Right Foot,,,,"[11.9, 41.9]",,Ground Pass,,8.34386,,,Luana Bühler,46972.0,,,,,,Goal Kick,1,From Goal Kick,Gaëlle Thalmann,10400.0,Goalkeeper,5,Switzerland Women's,860,['b42ab27c-72bf-45e2-8250-0c5c381959c6'],47,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:47.921,Pass,
,,,,,,,,,,,,,,,,,1.735316,,,,,,,,,,,,,33e478c3-a33f-45b7-8620-24f523938543,43,,"[9.5, 26.1]",3835339,0,,,,,-1.3023071,,Right Foot,,,,"[14.7, 7.2]",,Ground Pass,,19.602295,,,Eseosa Aigbogun,10407.0,,,,,,,1,From Goal Kick,Luana Bühler,46972.0,Left Center Back,5,Switzerland Women's,860,['c3af91c8-61d3-4f29-89b3-631948f9f6fe'],49,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:49.291,Pass,
