50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9d115c5d-d461-44e8-9dbe-6341a4a00c83,1,,,,3835329,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 276442, 'name': 'Lene Christensen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 87185, 'name': 'Stine Ballisager Pedersen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 11}, {'player': {'id': 32223, 'name': 'Sara Gedsted Thrige Andersen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 87195, 'name': 'Janni Thomsen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 19}, {'player': {'id': 10109, 'name': 'Sanne Troelsgaard-Nielsen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 10275, 'name': 'Sofie Junge Pedersen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 4650, 'name': 'Nadia Nadim'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 24460, 'name': 'Signe Kallesøe Bruun'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Denmark Women's,853,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,28887ef4-6258-44f1-bed8-21682cef0e6f,2,,,,3835329,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 13860, 'name': 'Anna Åsa Olivia Westerlund'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 13865, 'name': 'Natalia Kuikka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 225161, 'name': 'Elli Pikkujämsä'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 191850, 'name': 'Eveliina Summanen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 13862, 'name': 'Emmi Alanen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 13896, 'name': 'Essi Sainio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 225383, 'name': 'Ria Öling'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 32232, 'name': 'Sanni Maija Franssi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 13713, 'name': 'Linda Sällström'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",WNT Finland,920,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9d22a94c-d28f-47a9-b0ab-8e12ad4c19c5,3,,,,3835329,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['0c500132-6567-48f9-b317-51663178c8c1'],0,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0c500132-6567-48f9-b317-51663178c8c1,4,,,,3835329,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark Women's,853,['9d22a94c-d28f-47a9-b0ab-8e12ad4c19c5'],0,,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dd384ed0-4a2e-42e0-a81f-53e0882406cc,1998,,,,3835329,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,96,WNT Finland,920,['e9d0267e-a033-4f72-8820-302cbcc7ee29'],0,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e9d0267e-a033-4f72-8820-302cbcc7ee29,1999,,,,3835329,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,96,WNT Finland,920,['dd384ed0-4a2e-42e0-a81f-53e0882406cc'],0,,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.96645,,,,,,,,,,,01aeb1c2-9557-44d8-aeba-c32ea71015bf,5,,,"[60.0, 40.0]",3835329,0,,,,,-2.9120653,,Right Foot,,,,"[49.3, 37.5]",Ground Pass,,10.988175,,,,Sanne Troelsgaard-Nielsen,10109.0,,,,,,Kick Off,1,From Kick Off,Signe Kallesøe Bruun,24460.0,Center Forward,2,Denmark Women's,853,['e34afb0e-90b0-47a3-bc1c-69ec6161dce0'],0,,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:00.967,Pass,
,,,,,,,,,,,,,,,,3.435286,,,,,,,,,,,9dcf08e4-4478-449c-b1fd-43d9cb5d0a6f,7,,,"[48.9, 36.8]",3835329,0,,,,,-0.22936256,,Right Foot,,,,"[97.3, 25.5]",High Pass,,49.70161,,,Incomplete,Nadia Nadim,4650.0,,,,,,,1,From Kick Off,Sanne Troelsgaard-Nielsen,10109.0,Right Defensive Midfield,2,Denmark Women's,853,"['1cbab281-be8f-40a2-a9cc-bad50093547a', '37790283-daef-4d4b-8ba3-44526140adcd']",1,,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:01.934,Pass,
,,,,,,,,,,,,,,,,1.597069,,,,,,,,,,,1cbab281-be8f-40a2-a9cc-bad50093547a,9,,,"[22.8, 54.6]",3835329,0,,,,,-0.055192508,,Head,,,,"[40.9, 53.6]",High Pass,,18.127604,,,Incomplete,Emmi Alanen,13862.0,,,,,,Recovery,1,From Kick Off,Anna Åsa Olivia Westerlund,13860.0,Right Center Back,2,Denmark Women's,853,"['62b60e81-57cf-4830-a7a1-a8cced1c7a36', '9dcf08e4-4478-449c-b1fd-43d9cb5d0a6f', 'a342462d-2a0f-4970-b444-c96c60c8b612']",5,,,,,,,,,,,,,,,,,WNT Finland,920,00:00:05.369,Pass,
,,,,,,,,,,,,,,,,1.733885,,,,,,,,,,,a342462d-2a0f-4970-b444-c96c60c8b612,11,,,"[79.2, 26.5]",3835329,0,,,,,-0.05429441,,Head,,,,"[88.4, 26.0]",High Pass,,9.213577,,,Incomplete,Nadia Nadim,4650.0,,,,,,Recovery,1,From Kick Off,Signe Kallesøe Bruun,24460.0,Center Forward,2,Denmark Women's,853,"['0ba74629-81d5-44fe-a5c7-d7a832423411', '1cbab281-be8f-40a2-a9cc-bad50093547a', '6eae1c64-58fb-4c5c-a8d5-e4a0878c50da']",6,,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:06.966,Pass,
