50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fb6f8859-7891-4c42-b83f-1defed547df2,1,,,,3835331,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24693, 'name': 'Hanna Erica Maria Glas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10224, 'name': 'Sara Caroline Seger'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 25697, 'name': 'Lina Mona Andréa Hurtig'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b309332-fdc5-4290-8add-8e7fd505f7b8,2,,,,3835331,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 10400, 'name': 'Gaëlle Thalmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 10417, 'name': 'Viola Calligaris'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 46972, 'name': 'Luana Bühler'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 10407, 'name': 'Eseosa Aigbogun'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 63073, 'name': 'Sandy Mändly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10419, 'name': 'Géraldine Reuteler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 31630, 'name': 'Coumba Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Switzerland Women's,860,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b8724450-72f3-4e00-b552-4f3b2223adb1,3,,,,3835331,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['41138d8e-7dd2-49e0-b29a-e7cbebc6a26e'],0,,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41138d8e-7dd2-49e0-b29a-e7cbebc6a26e,4,,,,3835331,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['b8724450-72f3-4e00-b552-4f3b2223adb1'],0,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1460ae4d-58e6-4034-bdb4-6a8f6e7850fe,1747,,,,3835331,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,116,Sweden Women's,858,['0d177972-b377-4123-9197-1a79391b1552'],0,,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d177972-b377-4123-9197-1a79391b1552,1748,,,,3835331,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,116,Sweden Women's,858,['1460ae4d-58e6-4034-bdb4-6a8f6e7850fe'],0,,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.100779,,,,,,,,,,,,,5dfd9d3a-c20f-4ff6-8937-4013bca4a274,5,,,"[60.0, 40.0]",3835331,0,,,,,-2.953621,,Right Foot,,,"[41.6, 36.5]",,Ground Pass,,18.729923,,,Lia Wälti,10405.0,,,,,Kick Off,1,From Kick Off,Ramona Bachmann,4659.0,Center Forward,2,Switzerland Women's,860,['bf917523-0e15-4649-88da-10cb48c7a187'],0,,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.639,Pass,
,,,,,,,,,,,,,,,,,,,1.268818,,,,,,,,,,,,,d8fd933e-0d14-45b0-8d9d-e36ebad34596,8,,,"[41.8, 32.4]",3835331,0,,,,,-1.6791568,,Left Foot,,,"[39.2, 8.5]",,Ground Pass,,24.041006,,,Eseosa Aigbogun,10407.0,,,,,,1,From Kick Off,Lia Wälti,10405.0,Left Defensive Midfield,2,Switzerland Women's,860,['dbed1b26-5d3c-4bec-977a-1419971fe67c'],3,,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:03.545,Pass,
,,,,,,,,,,,,,,,,,,,1.268414,,,,,,,,,,,,,366996fa-849d-40ab-a0ec-d7a1c6f89b37,11,,,"[38.6, 8.1]",3835331,0,,,,,2.3906636,,Left Foot,,,"[25.1, 20.7]",,Ground Pass,,18.466455,,,Luana Bühler,46972.0,,,,,,1,From Kick Off,Eseosa Aigbogun,10407.0,Left Back,2,Switzerland Women's,860,['f00ce492-1fd6-4cb3-a334-dec73d2e2290'],6,,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:06.043,Pass,
,,,,,,,,,,,,,,,,,,,2.316991,,,,,,,,,,,,,af8049b0-7ecd-4bb2-af6a-b82cbb33b7ca,14,,,"[25.5, 22.4]",3835331,0,,,,,2.5207448,,Right Foot,,,"[9.7, 33.7]",,Ground Pass,,19.424984,,,Gaëlle Thalmann,10400.0,,,,,,1,From Kick Off,Luana Bühler,46972.0,Left Center Back,2,Switzerland Women's,860,['a3e1390f-4fad-4935-9cbb-330399182b0e'],8,,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:08.253,Pass,
