ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9c69b27a-ac48-4c94-8804-ad1ed38fc82b,1,,,3835341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10204, 'name': 'Martina Rosucci'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 45742, 'name': 'Flaminia Simonetti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a259a777-0d2b-4cda-8b43-a1e275047164,2,,,3835341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 276896, 'name': 'Nicky Evrard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 276908, 'name': 'Jody Vangheluwe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 276906, 'name': 'Sari Kees'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 10105, 'name': 'Davina Philtjens'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10103, 'name': 'Tinne De Caigny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 63308, 'name': 'Justine Vanhaevermaet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 257837, 'name': 'Elena Dhont'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10100, 'name': 'Janice Cayman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 276905, 'name': 'Hannah Eurlings'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Belgium Women's,854,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2b49fd5c-8060-4e0f-af53-034551e12bae,3,,,3835341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['853ffb67-dc27-4605-862a-5bf2087db8f6'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,853ffb67-dc27-4605-862a-5bf2087db8f6,4,,,3835341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['2b49fd5c-8060-4e0f-af53-034551e12bae'],0,,,,,,,,,,,,,,,,,Belgium Women's,854,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8b838ec5-e22e-4c7f-a253-0d6b6cfe8e97,2014,,,3835341,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Belgium Women's,854,['76f0a434-7b55-4856-a522-82cc880cb229'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,76f0a434-7b55-4856-a522-82cc880cb229,2015,,,3835341,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Belgium Women's,854,['8b838ec5-e22e-4c7f-a253-0d6b6cfe8e97'],0,,,,,,,,,,,,,,,,,Belgium Women's,854,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.988129,,,,,,,,,,,,65cc474e-3387-421a-aecc-a7277429eda3,5,,"[60.0, 40.0]",3835341,0,,,,,3.0146198,,Left Foot,,"[50.6, 41.2]",,Ground Pass,,9.476286,,,,Martina Rosucci,10204.0,,,,,,Kick Off,1,From Kick Off,Cristiana Girelli,10203.0,Center Forward,2,Italy Women's,855,['cfea4501-3ab9-435c-aee3-b796f797e531'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.637,Pass,
,,,,,,,,,,,,,,,,1.002232,,,,,,,,,,,,4e00c108-9220-41e3-a6c9-b3cd9bbca411,8,,"[42.7, 43.4]",3835341,0,,,,,2.8054545,,Right Foot,,"[34.4, 46.3]",,Ground Pass,,8.792042,,,,Elisa Bartoli,10371.0,,,,,,,1,From Kick Off,Martina Rosucci,10204.0,Center Defensive Midfield,2,Italy Women's,855,['af91ab14-aa52-48c5-9f3a-9eb95cd20be9'],2,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:02.779,Pass,
,,,,,,,,,,,,,,,,2.399998,,,,,,,,,,,,0f67efd6-07ac-422d-b22c-c036fc9579cb,11,,"[33.4, 45.8]",3835341,0,,,,,-1.5195591,,Right Foot,,"[34.8, 18.5]",,Ground Pass,,27.335875,,,,Elena Linari,10208.0,,,,,,,1,From Kick Off,Elisa Bartoli,10371.0,Right Center Back,2,Italy Women's,855,['353a9b02-6c80-4385-8e4d-73f09cc2746c'],4,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:04.182,Pass,
,,,,,,,,,,,,,,,,0.760537,,,,,,,,,,,,a5f8fa62-7697-47a9-b36d-c164ddd682c7,15,,"[49.9, 6.6]",3835341,0,,,,,-0.21165767,,Left Foot,,"[74.1, 1.4]",,Ground Pass,,24.752373,,,,Lisa Boattin,25770.0,,,,,,,1,From Kick Off,Elena Linari,10208.0,Left Center Back,2,Italy Women's,855,['0647392d-41c7-485b-9eff-af99a8465f71'],13,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:13.988,Pass,
