50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d42390c7-9e77-4487-9262-1a84592657e3,1,,,,3835340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24693, 'name': 'Hanna Erica Maria Glas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4a533369-16b1-4794-9d05-64bf1fab158c,2,,,,3835340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10145, 'name': 'Patricia Isabel Sousa Barros Morais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 62905, 'name': 'Catarina Amado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 32143, 'name': 'Diana Catarina Ribeiro Gomes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10162, 'name': 'Carole da Silva Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 10141, 'name': 'Ana Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 9}, {'player': {'id': 10140, 'name': 'Dolores Isabel Jacome Silva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10167, 'name': 'Tatiana Vanessa Ferreira Pinto'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 34875, 'name': 'Andreia Alexandra Norton'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 32054, 'name': 'Jéssica da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10159, 'name': 'Diana Micaela Abreu de Sousa e Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 62913, 'name': 'Francisca Ramos Ribeiro Nazareth Sousa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Portugal Women's,864,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,9aec1a4a-05e0-4dc1-9b6b-b86224463454,3,,,,3835340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['468d9a4f-735f-4433-b142-bf98000f0236'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,468d9a4f-735f-4433-b142-bf98000f0236,4,,,,3835340,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['9aec1a4a-05e0-4dc1-9b6b-b86224463454'],0,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,365f559b-3b63-4f55-a688-934734c07e6a,1278,,,,3835340,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,103,Portugal Women's,864,['b5ecf5f6-c433-467f-a812-1f00e4a77ee9'],0,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b5ecf5f6-c433-467f-a812-1f00e4a77ee9,1279,,,,3835340,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,103,Portugal Women's,864,['365f559b-3b63-4f55-a688-934734c07e6a'],0,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.66128,,,,,,,,,,,,,,a218d2de-9c13-41b2-902a-733fdc62354e,5,,,"[60.0, 40.0]",3835340,0,,True,,,-0.638575,,Right Foot,,,"[76.3, 27.9]",,Ground Pass,,20.300247,,Incomplete,,,,,,,,Kick Off,1,From Kick Off,Emma Stina Blackstenius,10229.0,Left Center Forward,2,Sweden Women's,858,['5447ccd1-d408-44cf-8db4-31cbf6b612c1'],1,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:01.079,Pass,
,,,,,,,,,,,,,,,,,2.192695,,,,,,,,,,,,,,5447ccd1-d408-44cf-8db4-31cbf6b612c1,6,,,"[43.8, 52.2]",3835340,0,,True,,,3.1415927,,Head,,,"[43.2, 52.2]",,High Pass,,0.6,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Tatiana Vanessa Ferreira Pinto,10167.0,Right Center Midfield,2,Sweden Women's,858,"['366e4a09-2520-4590-9b0a-831c6c93b9e0', 'a218d2de-9c13-41b2-902a-733fdc62354e']",1,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:01.741,Pass,
,,,,,,,,,,,,,,,,,0.433594,,,,,,,,,,,,,,366e4a09-2520-4590-9b0a-831c6c93b9e0,8,,,"[76.9, 27.9]",3835340,0,,,,,2.6395025,,Right Foot,,,"[71.8, 30.7]",,Ground Pass,,5.818075,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Gun Nathalie Björn,26093.0,Left Defensive Midfield,2,Sweden Women's,858,"['5447ccd1-d408-44cf-8db4-31cbf6b612c1', 'c38babe4-1c50-47d4-96e0-ba1c5a36fc0d', 'f39b7fcb-405f-4122-81cc-5db3a4483d39']",3,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:03.933,Pass,True
,,,,,,,,,,,,,,,,,1.865246,,,,,,,,,,,,,,9652d303-01b1-426d-b170-612d07fb3d85,14,,,"[46.4, 60.5]",3835340,0,,,,,-2.6926498,,Right Foot,,,"[32.7, 53.9]",,Ground Pass,,15.206906,,,,Diana Catarina Ribeiro Gomes,32143.0,,,,,Free Kick,1,From Free Kick,Dolores Isabel Jacome Silva,10140.0,Center Defensive Midfield,4,Portugal Women's,864,['8ad1e390-e1d6-4279-963d-f478061c5284'],19,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:19.038,Pass,
