50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ac5d18bc-f1e6-4acb-b5c0-07af89c0a539,1,,,,7570,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3314, 'name': 'Phil Jones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3664, 'name': 'Trent Alexander-Arnold'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 3}, {'player': {'id': 3504, 'name': 'Ruben Loftus-Cheek'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 4597, 'name': 'Fabian Delph'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ecd0477a-179e-4b3c-ab06-c4df78d9b3b2,2,,,,7570,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6331, 'name': 'Leander Dendoncker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 5639, 'name': 'Anga Dedryck Boyata'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 2954, 'name': 'Youri Tielemans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 6330, 'name': 'Adnan Januzaj'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,3df569ba-84e0-43c2-a078-6c559b330254,3,,,,7570,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['6857575c-9451-4798-987d-b647342b69e7'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,6857575c-9451-4798-987d-b647342b69e7,4,,,,7570,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['3df569ba-84e0-43c2-a078-6c559b330254'],0,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,9.173,,,,,,,,,,,,,9c003860-7d37-4469-9eb4-bcd2b0d2029b,1951,,,,7570,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Belgium,782,['507151b9-d977-4bcd-b1a8-4006c2b86d36'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,9.093,,,,,,,,,,,,,507151b9-d977-4bcd-b1a8-4006c2b86d36,1952,,,,7570,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Belgium,782,['9c003860-7d37-4469-9eb4-bcd2b0d2029b'],0,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.279,,,,,,,,,,,,,e280ecdf-1266-4825-a7a8-875ca823b28b,5,,,"[61.0, 41.0]",7570,0,,-2.70175,,,Right Foot,,,,"[44.0, 33.0]",,Ground Pass,18.788294,,John Stones,3244.0,,,,,Kick Off,1,From Kick Off,Marcus Rashford,3318.0,Left Center Forward,2,England,768,['2c8bac03-6fca-4a8b-b9fb-6daf274189c5'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.920,Pass,
,,,,,,,,,,,,,1.359,,,,,,,,,,,,,044c7b4c-1f77-4f55-b5dc-9c04077eb99b,9,,,"[45.0, 36.0]",7570,0,,1.1722739,,,Right Foot,,,,"[53.0, 55.0]",,Ground Pass,20.615528,,Phil Jones,3314.0,,,,,,1,From Kick Off,John Stones,3244.0,Center Back,2,England,768,"['013b969a-7442-4285-a547-91635a419b37', 'f34a4f55-c3d2-4201-9873-14d64b60b6a8']",4,,,,,,,,,,,,,,,,,England,768,00:00:04.360,Pass,True
,,,,,,,,,,,,,1.039,,,,,,,,,,,,,663cc10d-caff-491a-a279-478a5ff0dceb,12,,,"[56.0, 62.0]",7570,0,,0.8960554,,,Left Foot,,,,"[64.0, 72.0]",,Ground Pass,12.806249,,Trent Alexander-Arnold,3664.0,,,,,,1,From Kick Off,Phil Jones,3314.0,Right Center Back,2,England,768,['7cfa6b4e-fc02-4e65-afa7-4c887c3e2cc9'],7,,,,,,,,,,,,,,,,,England,768,00:00:07.160,Pass,
,,,,,,,,,,,,,1.439,,,,,,,,,,,,,75d4610a-45fc-48cc-a6c3-d710fb1ebbb7,15,,,"[65.0, 75.0]",7570,0,,-2.0005586,,,Right Foot,,,,"[54.0, 51.0]",,Ground Pass,26.400757,,John Stones,3244.0,,,,,,1,From Kick Off,Trent Alexander-Arnold,3664.0,Right Midfield,2,England,768,['f5af5c14-5ffc-47ef-a8a1-6b5bf5a478ac'],11,,,,,,,,,,,,,,,,,England,768,00:00:11.160,Pass,
,,,,,,,,,,,,,1.76,,,,,,,,,,,,,a02494d0-cd5a-4208-b4a5-7b913293a3b1,18,,,"[58.0, 44.0]",7570,0,,-1.6396528,,,Right Foot,,,,"[56.0, 15.0]",,Ground Pass,29.068884,,Gary Cahill,3645.0,,,,,,1,From Kick Off,John Stones,3244.0,Center Back,2,England,768,['c9ee2058-393d-4f2b-aa04-198cf5298c64'],14,,,,,,,,,,,,,,,,,England,768,00:00:14.400,Pass,
,,,,,,,,,,,,,1.56,,,,,,,,,,,,,68a7c71f-8232-4c5d-9eca-eff03fa1eee9,22,,,"[53.0, 7.0]",7570,0,,2.4592762,,,Right Foot,,,,"[37.0, 20.0]",,Ground Pass,20.615528,,John Stones,3244.0,,,,,,1,From Kick Off,Gary Cahill,3645.0,Left Center Back,2,England,768,['e306f200-826e-4eea-aea4-cd94a070fbf6'],18,,,,,,,,,,,,,,,,,England,768,00:00:18.200,Pass,
,,,,,,,,,,,,,2.279,,,,,,,,,,,,,e63a306f-2358-4eef-b562-b613d8f62bff,26,,,"[30.0, 23.0]",7570,0,,2.4558632,,,Right Foot,,,,"[8.0, 41.0]",,Ground Pass,28.42534,,Jordan Pickford,3468.0,,,,,,1,From Kick Off,John Stones,3244.0,Center Back,2,England,768,['3978e2ff-4082-4eeb-8627-4e658811d64a'],21,,,,,,,,,,,,,,,,,England,768,00:00:21.400,Pass,
,,,,,,,,,,,,,1.679,,,,,,,,,,,,,3622c6fb-c9c0-4af2-860b-9a7bab4b205a,29,,,"[10.0, 43.0]",7570,0,,1.315614,,,Left Foot,,,,"[16.0, 66.0]",,Ground Pass,23.769728,,Phil Jones,3314.0,,,,,,1,From Kick Off,Jordan Pickford,3468.0,Goalkeeper,2,England,768,['860181b1-e1cf-43f6-8a1c-74b78b133a09'],26,,,,,,,,,,,,,,,,,England,768,00:00:26.040,Pass,
,,,,,,,,,,,,,1.279,,,,,,,,,,,,,96880986-4c64-487f-8c79-b7f00138e579,33,,,"[15.0, 67.0]",7570,0,,-2.226492,,,Right Foot,,,,"[5.0, 54.0]",,Ground Pass,16.40122,,Jordan Pickford,3468.0,,,,,,1,From Kick Off,Phil Jones,3314.0,Right Center Back,2,England,768,"['211a4a59-e82c-4de6-a544-7ab442339309', 'bc957af2-821e-40a3-b462-a775d2fd38df']",28,,,,,,,,,,,,,,,,,England,768,00:00:28.880,Pass,True
,,,,,,,,,,,,,3.12,,,,,,,,,,,,,59346a38-1043-4557-a127-fa0452d8b026,37,,,"[5.0, 59.0]",7570,0,,-0.088007376,,,Right Foot,,,,"[73.0, 53.0]",,High Pass,68.26419,Incomplete,Jamie Vardy,10960.0,,,,,,1,From Kick Off,Jordan Pickford,3468.0,Goalkeeper,2,England,768,"['910d8015-0c87-4aa4-b38d-9a62e9f8459d', '99e93b9a-4dcf-49cb-8d38-c87c86e2f9c9']",31,,,,,,,,,,,,,,,,,England,768,00:00:31.480,Pass,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,910d8015-0c87-4aa4-b38d-9a62e9f8459d,40,,,"[49.0, 31.0]",7570,0,True,1.5707964,,,,,,,"[49.0, 34.0]",,Low Pass,3.0,Incomplete,Leander Dendoncker,6331.0,,,,,Recovery,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,England,768,"['40d04286-7781-4531-8818-aa16a4b11f5f', '4a1d3674-27a5-48ce-9dca-2d73cd159589', '59346a38-1043-4557-a127-fa0452d8b026', 'f41cd8d9-ca47-44e4-9a00-a9962a9b9eae']",34,,,,,,,,,,,,,,,,,Belgium,782,00:00:34.600,Pass,True
,,,,,,,,,,,,,3.399,,,,,,,,,,,,,0179d353-5734-4b87-bad9-ed608d7e0cdf,45,,,"[74.0, 47.0]",7570,0,,0.2812322,,,Right Foot,,,,"[119.0, 60.0]",,Ground Pass,46.840153,Out,Jamie Vardy,10960.0,,,,,,1,From Kick Off,Marcus Rashford,3318.0,Left Center Forward,2,England,768,"['4406077f-4e05-497f-b1ab-409fe49cf7a0', 'aeba74ac-f607-4d2f-a72e-e34f25b1aecb']",36,,,,,,,,,,,,,,,,,England,768,00:00:36.400,Pass,True
,,,,,,,,,,,,,0.28,,,,,,,,,,,,,05f7bd23-244f-44ca-899f-fde266e1b9aa,48,,,"[20.0, 12.0]",7570,0,,-0.32175055,,,Left Foot,,,,"[23.0, 11.0]",,High Pass,3.1622777,Incomplete,,,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,3,Belgium,782,['74755979-28ea-494a-8f38-d28dc5f6fcef'],55,,,,,,,,,,,,,,,,,Belgium,782,00:00:55.160,Pass,
,,,,,,,,,,,,,1.401,,,,,,,,,,,,,adc80a40-8928-4df1-a0ac-8e6619181376,50,,,"[21.0, 1.0]",7570,1,,0.08314123,,,,,,,"[45.0, 3.0]",,High Pass,24.083189,Incomplete,Marouane Fellaini-Bakkioui,3296.0,,,,,Throw-in,1,From Throw In,Thomas Vermaelen,6332.0,Left Center Back,4,Belgium,782,"['593bf761-fcfa-4984-bf5c-e47bdc3536fb', '9e10163b-0a66-4246-b1dd-4e2b8f5fc326']",6,,,,,,,,,,,,,,,,,Belgium,782,00:01:06.959,Pass,
,,,,,,,,,,,,,1.279,,,,,,,,,,,,,593bf761-fcfa-4984-bf5c-e47bdc3536fb,52,,,"[76.0, 78.0]",7570,1,,0.27829966,,,Head,,,,"[83.0, 80.0]",,High Pass,7.28011,Out,,,,,,,Recovery,1,From Throw In,Eric Dier,10956.0,Center Defensive Midfield,4,Belgium,782,['adc80a40-8928-4df1-a0ac-8e6619181376'],8,,,,,,,,,,,,,,,,,England,768,00:01:08.360,Pass,
,,,,,,,,,,,,,1.92,,,,,,,,,,,,,779396b9-c3bc-423e-8966-0e5855e1e3fa,53,,,"[38.0, 1.0]",7570,1,,0.07677189,,,,,,,"[64.0, 3.0]",,High Pass,26.076809,,Marouane Fellaini-Bakkioui,3296.0,,,,,Throw-in,1,From Throw In,Thomas Vermaelen,6332.0,Left Center Back,5,Belgium,782,['824d5ae6-bfb4-49d0-9b56-7a6b466707ec'],15,,,,,,,,,,,,,,,,,Belgium,782,00:01:15.920,Pass,
,,,,,,,,,,,,,1.64,,,,,,,,,,,,,168a7671-173a-45c8-a298-002a4adbdc8b,55,,,"[64.0, 5.0]",7570,1,,1.6332152,,,Head,,,,"[63.0, 21.0]",,Low Pass,16.03122,Incomplete,Youri Tielemans,2954.0,,,,,,1,From Throw In,Marouane Fellaini-Bakkioui,3296.0,Right Wing,5,Belgium,782,"['93fef11a-8052-445e-a22f-99e707ffcbf8', 'e3afe7dd-ec56-4915-baa4-cbb7b64ac717']",17,,,,,,,,,,,,,,,,,Belgium,782,00:01:17.920,Pass,
