50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,013184b1-a27f-466e-bcf8-453319595309,1,,,,7563,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4763, 'name': 'Henrik Dalsgaard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3027, 'name': 'Mathias Jattah-Njie Jørgensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 5524, 'name': 'Jens Stryger Larsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 5732, 'name': 'Andreas Evald Cornelius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Denmark,776,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,7d61e8d5-4e4e-44a2-9925-063169b4bfa0,2,,,,7563,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,43619142-c34e-471d-97f0-9cf2934674d1,3,,,,7563,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['e867b6d7-b22a-4431-be05-84fc3576dfeb'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,e867b6d7-b22a-4431-be05-84fc3576dfeb,4,,,,7563,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['43619142-c34e-471d-97f0-9cf2934674d1'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,76a6aba7-e96f-4b11-bb76-b59b54a96854,1884,,,,7563,45,,,,,,,,,,,,,,,,,,2,From Corner,,,,83,Denmark,776,['0e118d04-3953-4f3a-a4f8-72dfe7955521'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,0e118d04-3953-4f3a-a4f8-72dfe7955521,1885,,,,7563,45,,,,,,,,,,,,,,,,,,2,From Corner,,,,83,Denmark,776,['76a6aba7-e96f-4b11-bb76-b59b54a96854'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.6,,,,,,,,,,,,32e70583-614a-4c3e-8de3-0fcb0b62828e,5,,,"[61.0, 40.0]",7563,0,,-2.9562447,,,Left Foot,,,,"[45.0, 37.0]",Ground Pass,16.27882,,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,France,771,['41e47281-5bfc-4b7e-8d4c-ea05d697ee04'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.840,Pass,
,,,,,,,,,,,,,1.16,,,,,,,,,,,,fdb5ec93-3d7a-4a0e-b2b8-66b54ec0e96f,9,,,"[44.0, 38.0]",7563,0,,2.226492,,,Right Foot,,,,"[34.0, 51.0]",Ground Pass,16.40122,,Raphaël Varane,5485.0,,,,1,From Kick Off,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,Left Defensive Midfield,2,France,771,"['0d618249-2b00-4baf-b63c-fb6799062a32', 'ea1912c2-8f36-45e7-9a1a-976c0dd11062']",3,,,,,,,,,,,,,,,,,France,771,00:00:03.320,Pass,True
,,,,,,,,,,,,,1.279,,,,,,,,,,,,9cbd83a1-9858-463a-a75b-3c74c672aea0,12,,,"[33.0, 55.0]",7563,0,,1.3258177,,,Left Foot,,,,"[39.0, 79.0]",Ground Pass,24.738634,,Djibril Sidibé,3446.0,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,['45364e29-cd24-4cfd-a0c3-94418f4c1d28'],5,,,,,,,,,,,,,,,,,France,771,00:00:05.600,Pass,
,,,,,,,,,,,,,1.4,,,,,,,,,,,,ff29a79b-256c-486a-8e37-ae2007fa0e1e,15,,,"[38.0, 78.0]",7563,0,,-2.1112158,,,Right Foot,,,,"[32.0, 68.0]",Ground Pass,11.661903,,Raphaël Varane,5485.0,,,,1,From Kick Off,Djibril Sidibé,3446.0,Right Back,2,France,771,['5a873d51-a9b3-4a4e-b869-02c8d01ac97e'],6,,,,,,,,,,,,,,,,,France,771,00:00:06.960,Pass,
