50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,45953477-7535-42d4-a17b-0eac63ef97c3,1,,,7534,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,311a0fb2-86c3-445b-a316-27cf0369b7d9,2,,,7534,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5564, 'name': 'Carlos Joel Salcedo Hernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5561, 'name': 'Hugo Ayala Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5576, 'name': 'Jesús Daniel Gallardo Vasconcelos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5575, 'name': 'Héctor Miguel Herrera López'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 5556, 'name': 'Miguel Arturo Layún Prado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5571, 'name': 'Hirving Rodrigo Lozano Bahena'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3977261-9c17-480f-a83c-dda31cbd5b28,3,,,7534,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['69fb5a5d-617f-4b0a-a67a-328f8e18378a'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,69fb5a5d-617f-4b0a-a67a-328f8e18378a,4,,,7534,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['e3977261-9c17-480f-a83c-dda31cbd5b28'],0,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,e5d1c7c5-0a3b-45d0-94b4-3e814c3463ec,1814,,,7534,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Germany,770,['ef1cb199-94f1-4b89-b440-f1c49cfa7dd1'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef1cb199-94f1-4b89-b440-f1c49cfa7dd1,1815,,,7534,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Germany,770,['e5d1c7c5-0a3b-45d0-94b4-3e814c3463ec'],0,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,d0de18b3-5879-4b7e-8d2c-5b176f61d5e5,5,,"[61.0, 40.0]",7534,0,,,2.4980915,,,Left Foot,,,"[53.0, 46.0]",,Ground Pass,10.0,,,Héctor Miguel Herrera López,5575.0,,,,,Kick Off,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Center Attacking Midfield,2,Mexico,794,['5097fe08-47c1-41dd-99a7-dffd0e750477'],1,,,,,,,,,,,,,,,,,Mexico,794,00:00:01.533,Pass,
,,,,,,,,,,,,,,,2.293,,,,,,,,,,,,,d7368ac0-9c96-4eb5-b35e-d53369d3c94e,9,,"[56.0, 44.0]",7534,0,,,-1.8224863,,,Right Foot,,,"[47.0, 9.0]",,Ground Pass,36.138622,,,Jesús Daniel Gallardo Vasconcelos,5576.0,,,,,,1,From Kick Off,Héctor Miguel Herrera López,5575.0,Right Center Midfield,2,Mexico,794,"['7f6d5d36-f4d1-41a5-b0ae-40dbb8c670e9', 'c968d237-92fd-4ba2-83a4-5bc29a472fa7']",4,,,,,,,,,,,,,,,,,Mexico,794,00:00:04.040,Pass,True
,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,13844633-6031-41da-9d7b-02c3de22d3f8,13,,"[47.0, 9.0]",7534,0,,,2.5161076,,,Left Foot,,,"[29.0, 22.0]",,Ground Pass,22.203604,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,1,From Kick Off,Jesús Daniel Gallardo Vasconcelos,5576.0,Left Back,2,Mexico,794,"['866b7eb3-16cc-42b1-a1fe-7c412bf10447', 'cd9da6fe-e2ee-4550-9e51-d0a12692d735']",7,,,,,,,,,,,,,,,,,Mexico,794,00:00:07.213,Pass,True
,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,8e2593c6-4521-4668-8614-841220db7530,16,,"[32.0, 25.0]",7534,0,,,1.7894653,,,Left Foot,,,"[24.0, 61.0]",,Ground Pass,36.878178,,,Hugo Ayala Castro,5561.0,,,,,,1,From Kick Off,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,2,Mexico,794,['e17fe889-da89-4484-8ec1-66605379ef55'],11,,,,,,,,,,,,,,,,,Mexico,794,00:00:11.573,Pass,
,,,,,,,,,,,,,,,2.119,,,,,,,,,,,,,744ff6db-f6eb-4410-b14d-596e2c153268,20,,"[24.0, 62.0]",7534,0,,,-2.2706892,,,Right Foot,,,"[8.0, 43.0]",,Ground Pass,24.839485,,,Francisco Guillermo Ochoa Magaña,5577.0,,,,,,1,From Kick Off,Hugo Ayala Castro,5561.0,Right Center Back,2,Mexico,794,"['7aff7ca9-7c6c-4edc-be1e-a0a2ee0f06cd', 'c5443a07-f651-46be-8515-d40d726e225e']",15,,,,,,,,,,,,,,,,,Mexico,794,00:00:15.173,Pass,True
,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,3f13c77d-c8b4-47b1-bc72-d074ff9f47a9,23,,"[11.0, 42.0]",7534,0,,,-0.4808873,,,Right Foot,,,"[57.0, 18.0]",,High Pass,51.884487,,Incomplete,Jesús Daniel Gallardo Vasconcelos,5576.0,,,,,,1,From Kick Off,Francisco Guillermo Ochoa Magaña,5577.0,Goalkeeper,2,Mexico,794,"['977dfa66-9035-41e9-866e-12e6417c80a7', 'eda04d75-676a-47d4-b4b5-af7cf4d22149']",19,,,,,,,,,,,,,,,,,Mexico,794,00:00:19.680,Pass,
,,,,,,,,,,,,,,,1.533,,,,,,,,,,,,,977dfa66-9035-41e9-866e-12e6417c80a7,25,,"[64.0, 63.0]",7534,0,,,-0.65284663,,,Head,,,"[81.0, 50.0]",,High Pass,21.400934,,,Mesut Özil,3496.0,,,,,Recovery,1,Regular Play,Thomas Müller,5562.0,Right Wing,3,Germany,770,"['2227404b-5406-476d-932e-7874d3ddab85', '3f13c77d-c8b4-47b1-bc72-d074ff9f47a9']",22,,,,,,,,,,,,,,,,,Germany,770,00:00:22.520,Pass,
