bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,4bf5893e-d84c-4da5-8a65-c83b89e64bd9,1,,,7546,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,d9febbdc-0db8-465f-9103-481aae1f52a6,2,,,7546,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5528, 'name': 'Pedro David Gallese Quiróz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5521, 'name': 'Luis Jan Piers Advíncula Castrillón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 5530, 'name': 'Christian Guillermo Martín Ramos Garagay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5532, 'name': 'Alberto Junior Rodríguez Valdelomar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5518, 'name': 'Miguel Ángel Trauco Saavedra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5526, 'name': 'Pedro Jesús Aquino Sánchez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5529, 'name': 'Víctor Yoshimar Yotún Flores'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3632, 'name': 'André Martín Carrillo Díaz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 5525, 'name': 'Édison Michael Flores Peralta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 5519, 'name': 'Christian Alberto Cueva Bravo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5535, 'name': 'José Paolo Guerrero Gonzáles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Peru,784,00:00:00.000,Starting XI,
,,,,,,,,,,,,,5.733,,,,,,,,,,,8a6bec0a-0a35-4677-a054-4e63df3b9799,3,,,7546,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['d4d15300-bcfa-4a9b-8b67-546220cff523'],0,,,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,5.2,,,,,,,,,,,d4d15300-bcfa-4a9b-8b67-546220cff523,4,,,7546,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['8a6bec0a-0a35-4677-a054-4e63df3b9799'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,9.973,,,,,,,,,,,c5a2feb7-a9a8-4032-bf37-a2d9e40cbb9d,2021,,,7546,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Peru,784,['4bf8d7d5-8b71-4dcb-a71f-f5ed896ce8ad'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,7.6,,,,,,,,,,,4bf8d7d5-8b71-4dcb-a71f-f5ed896ce8ad,2022,,,7546,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Peru,784,['c5a2feb7-a9a8-4032-bf37-a2d9e40cbb9d'],0,,,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.8,,,,,,,,,,,83279aab-938e-483f-91e7-ec89473eec6c,5,,"[60.0, 41.0]",7546,0,,-3.048116,,,Right Foot,,,,"[28.0, 38.0]",Ground Pass,32.140316,,Raphaël Varane,5485.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,France,771,['8868cb9e-6199-442e-9b23-045327d9ce18'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.100,Pass,
,,,,,,,,,,,,,1.973,,,,,,,,,,,037a6786-4b49-47ac-8917-46338d29ad6e,7,,"[26.0, 38.0]",7546,0,,0.29611516,,,Right Foot,,,,"[85.0, 56.0]",High Pass,61.68468,,Olivier Giroud,3604.0,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,['604d96ef-10dc-4aa9-b776-c63b15d7d52d'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.900,Pass,
,,,,,,,,,,,,,0.827,,,,,,,,,,,5cdfd770-39da-4408-843a-b37e1b203745,9,,"[85.0, 56.0]",7546,0,,-1.3258177,,,Head,,,,"[86.0, 52.0]",Low Pass,4.1231055,Incomplete,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,France,771,"['5c0858ce-42a6-4d1f-bc46-08ff557485a4', 'f04f6394-f14e-4516-b897-d4b1a709f373']",2,,,,,,,,,,,,,,,,,,France,771,00:00:02.873,Pass,
,,,,,,,,,,,,,2.693,,,,,,,,,,,f04f6394-f14e-4516-b897-d4b1a709f373,11,,"[35.0, 29.0]",7546,0,,-0.7678561,,,Left Foot,,,,"[64.0, 1.0]",High Pass,40.311287,Out,,,,,,,Recovery,1,From Kick Off,Víctor Yoshimar Yotún Flores,5529.0,Left Defensive Midfield,2,France,771,['5cdfd770-39da-4408-843a-b37e1b203745'],3,,,,,,,,,,,,,,,,,,Peru,784,00:00:03.700,Pass,
