50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.0,,,,,,,,,,,,10a4a47d-9175-4b75-aa92-96e9b5a04213,1,,,8655,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,1.0,,,,,,,,,,,,1a23e6c2-b925-4bf8-9ddb-e1773696dc9a,2,,,8655,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,,,7.573,,,,,,,,,,,,8fcbbb6c-7ee9-4b45-82d9-e56c308e8b2b,3,,,8655,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['a3bd269b-0f1d-42a4-96a8-956605a3b935'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,7.81,,,,,,,,,,,,a3bd269b-0f1d-42a4-96a8-956605a3b935,4,,,8655,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['8fcbbb6c-7ee9-4b45-82d9-e56c308e8b2b'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,750c6246-5b01-46db-9276-a665b37684c8,1730,,,8655,45,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Belgium,782,['eb273b13-8345-4c48-9870-d85c01070c9f'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,8.72,,,,,,,,,,,,eb273b13-8345-4c48-9870-d85c01070c9f,1731,,,8655,45,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Belgium,782,['750c6246-5b01-46db-9276-a665b37684c8'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,1.5,,,,,,,,,,,,a5d12bb9-baad-4eb8-a9de-fcb8f30f3709,5,,"[60.0, 41.0]",8655,0,,2.9060476,,,Left Foot,,"[35.0, 47.0]",,Ground Pass,25.70992,,Raphaël Varane,5485.0,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,France,771,['4b2c04ed-35a0-43d2-8682-b22aae213acb'],0,,,,,,,,,,,,,,,,France,771,00:00:00.720,Pass,
,,,,,,,,,,,,1.44,,,,,,,,,,,,3d07378a-7a8f-4093-a828-fb9a6d7fc5bb,8,,"[38.0, 50.0]",8655,0,,1.1441689,,,Left Foot,,"[48.0, 72.0]",,Ground Pass,24.166092,,Benjamin Pavard,5476.0,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,['84542554-e3ee-408f-a981-5e38dfb1d8a3'],4,,,,,,,,,,,,,,,,France,771,00:00:04.160,Pass,
,,,,,,,,,,,,1.16,,,,,,,,,,,,6615dc8f-d9f8-4d7b-8bca-988b06e54290,12,,"[50.0, 72.0]",8655,0,,0.4636476,,,Right Foot,,"[62.0, 78.0]",,Ground Pass,13.416408,,Kylian Mbappé Lottin,3009.0,,,,1,From Kick Off,Benjamin Pavard,5476.0,Right Back,2,France,771,"['5bef17b0-9a4d-4833-8316-e37328d360e2', 'd577e040-1174-4fbf-b757-84bcf32755bd']",6,,,,,,,,,,,,,,,,France,771,00:00:06.360,Pass,True
,,,,,,,,,,,,1.333,,,,,,,,,,,,a35bec24-5478-4d4d-b6ce-158e5c2bccaf,19,,"[105.0, 74.0]",8655,0,,-1.487655,,,Right Foot,True,"[107.0, 50.0]",,Ground Pass,24.083189,,Antoine Griezmann,5487.0,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Right Wing,2,France,771,['0ee564ad-b9a9-4217-810f-d8a70129c033'],13,,,,,,,,,,,,,,,,France,771,00:00:13.560,Pass,
