50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,eae2da60-ad93-48cc-8129-9533f8c0053b,1,,,7564,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5830, 'name': 'Kenneth Josiah Omeruo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3708, 'name': 'Kelechi Promise Iheanacho'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 5473, 'name': 'Ahmed Musa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Nigeria,775,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,113d2273-f74f-4268-b7cb-f3b3bbd8481d,2,,,7564,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6312, 'name': 'Franco Armani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,7.32,,,,,,,,,,,,,,,5dc94099-b1c7-4448-94fb-6795823d2c1f,3,,,7564,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,['9d915503-2970-4ebe-84d3-77df3949f8e3'],0,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,9.16,,,,,,,,,,,,,,,9d915503-2970-4ebe-84d3-77df3949f8e3,4,,,7564,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,['5dc94099-b1c7-4448-94fb-6795823d2c1f'],0,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,9.893,,,,,,,,,,,,,,,afa4c6b4-0086-4d7e-a1a4-411f76328907,1826,,,7564,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Argentina,779,['d75bff4e-886a-4f63-8b00-89419dc1ae38'],0,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d75bff4e-886a-4f63-8b00-89419dc1ae38,1827,,,7564,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Argentina,779,['afa4c6b4-0086-4d7e-a1a4-411f76328907'],0,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.093,,,,,,,,,,,,,,,c2312c25-29ae-45a2-8b90-2e3337dbf98b,5,,"[61.0, 41.0]",7564,0,,,-2.9361973,,,Right Foot,,,,"[37.0, 36.0]",,Ground Pass,24.5153,,,William Troost-Ekong,5455.0,,,,,Kick Off,1,From Kick Off,John Michael Nchekwube Obinna,5475.0,Center Defensive Midfield,2,Nigeria,775,['7b5f066d-249e-4a91-a612-ea2e446f3239'],0,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.200,Pass,
,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,d31eed4d-d6ee-4d2d-b7b6-a6249ef48493,9,,"[38.0, 37.0]",7564,0,,,-0.6536359,,,Right Foot,,,,"[85.0, 1.0]",,High Pass,59.20304,,Out,Kelechi Promise Iheanacho,3708.0,,,,,,1,From Kick Off,William Troost-Ekong,5455.0,Center Back,2,Nigeria,775,['9f1fd204-da48-403e-a25d-957b9e59b1be'],2,,,,,,,,,,,,,,,,Nigeria,775,00:00:02.353,Pass,
,,,,,,,,,,,,,,1.733,,,,,,,,,,,,,,,d691af89-0f38-486c-93b1-989dbf4aa8ad,11,,"[34.0, 80.0]",7564,0,,,-2.7367008,,,,,,,"[13.0, 71.0]",,High Pass,22.847319,,,Nicolás Hernán Otamendi,3090.0,,,,,Throw-in,1,From Throw In,Gabriel Iván Mercado,5742.0,Right Back,3,Argentina,779,['0d460035-605f-4345-b5a1-abdc37789c02'],9,,,,,,,,,,,,,,,,Argentina,779,00:00:09.967,Pass,
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,48f10756-76e0-47bd-8252-5b1eeb7ce1c6,14,,"[20.0, 60.0]",7564,0,,,-1.359703,,,Right Foot,,,,"[26.0, 32.0]",,Ground Pass,28.635643,,,Faustino Marcos Alberto Rojo,3602.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Right Center Back,3,Argentina,779,['fb4732e3-2d09-4378-b55f-9d41b5c9f572'],14,,,,,,,,,,,,,,,,Argentina,779,00:00:14.447,Pass,
