ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,,a364ad37-a184-468e-bd69-5de3ddcf6ee1,1,,,,7577,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5233, 'name': 'Munir Mohand Mohamedi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 5244, 'name': 'Medhi Amine El Mouttaqi Benatia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5236, 'name': 'Karim El Ahmadi Al Aroos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5232, 'name': 'Mbark Boussoufa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5237, 'name': 'Hakim Ziyech'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5242, 'name': 'Younès Belhanda'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5243, 'name': 'Amine Harit'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 5229, 'name': 'Ayoub El Kaabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,9871ce2d-5c15-4d7f-8f75-9a3637fc997f,2,,,,7577,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5227, 'name': 'Alireza Safar Beiranvand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5235, 'name': 'Ramin Rezaeian'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5220, 'name': 'Morteza Pouraliganji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 5222, 'name': 'Roozbeh Cheshmi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5230, 'name': 'Ehsan Hajsafi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5225, 'name': 'Omid Ebrahimi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 5239, 'name': 'Alireza Jahanbakhsh'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 5238, 'name': 'Masoud Shojaei Soleimani'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5241, 'name': 'Vahid Amiri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5231, 'name': 'Karim Ansarifard'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5224, 'name': 'Sardar Azmoun'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Iran,797,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,1d0ece61-6169-4123-b6b6-dacef5fc0d88,3,,,,7577,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['048c8c68-38c9-4b79-9ab5-8c1a35dbb422'],0,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,048c8c68-38c9-4b79-9ab5-8c1a35dbb422,4,,,,7577,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['1d0ece61-6169-4123-b6b6-dacef5fc0d88'],0,,,,,,,,,,,,,,,Iran,797,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,70477a47-6630-4111-b7fa-3adf2cc57484,1561,,,,7577,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Morocco,788,['a6553514-40e0-4ffb-a819-40351609d967'],0,,,,,,,,,,,,,,,Iran,797,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,a6553514-40e0-4ffb-a819-40351609d967,1562,,,,7577,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Morocco,788,['70477a47-6630-4111-b7fa-3adf2cc57484'],0,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,1.973,,,,,,,,,,,,,850349ac-ff62-443d-a17d-d6a9b0564382,5,,,"[61.0, 41.0]",7577,0,,-2.6632402,,,Left Foot,,,"[34.0, 27.0]",Ground Pass,30.413813,,,Romain Saïss,5219.0,,,,,Kick Off,1,From Kick Off,Ayoub El Kaabi,5229.0,Center Forward,2,Morocco,788,['cb46e668-6a4b-4a9f-b471-33ef6a21c713'],0,,,,,,,,,,,,,,,Morocco,788,00:00:00.920,Pass,
,,,,,,,,,,3.293,,,,,,,,,,,,,d6f59009-135c-475d-9d1d-7ac6b35a3f39,8,,,"[34.0, 28.0]",7577,0,,0.54522717,,,Left Foot,,,"[95.0, 65.0]",High Pass,71.34424,,Unknown,,,,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,,4,,,,,,,,,,,,,,,Morocco,788,00:00:04.400,Pass,
,,,,,,,,,,3.2,,,,,,,,,,,,,231ef980-90da-409f-bb85-6678ac58777f,11,,,"[35.0, 15.0]",7577,0,,0.25307566,,,Right Foot,,,"[93.0, 30.0]",High Pass,59.908264,,Incomplete,Sardar Azmoun,5224.0,,,,,Free Kick,1,From Free Kick,Alireza Safar Beiranvand,5227.0,Goalkeeper,3,Iran,797,"['9213308d-244e-46f8-8ae5-e0e992a34e8d', 'c962c12d-e5ca-46e4-851a-98496b421c20']",37,,,,,,,,,,,,,,,Iran,797,00:00:37.640,Pass,
,,,,,,,,,,2.133,,,,,,,,,,,,,9213308d-244e-46f8-8ae5-e0e992a34e8d,14,,,"[28.0, 53.0]",7577,0,True,-0.32175055,,,,,,"[40.0, 49.0]",High Pass,12.649111,,,Mbark Boussoufa,5232.0,,,,,Recovery,1,Regular Play,Medhi Amine El Mouttaqi Benatia,5244.0,Right Center Back,4,Morocco,788,"['17c8e5c2-0f14-4a0d-a269-7932bd43435d', '231ef980-90da-409f-bb85-6678ac58777f', '60b4c15f-ff9b-4be4-ae38-7b4667b8549e']",40,,,,,,,,,,,,,,,Morocco,788,00:00:40.840,Pass,True
,,,,,,,,,,1.213,,,,,,,,,,,,,1a2ac493-da4f-4d70-838a-8eea1085bd47,19,,,"[37.0, 47.0]",7577,0,,-1.4711276,,,Right Foot,,,"[39.0, 27.0]",Ground Pass,20.09975,,,Amine Harit,5243.0,,,,,Free Kick,1,From Free Kick,Younès Belhanda,5242.0,Center Attacking Midfield,5,Morocco,788,['c3c32586-6b29-4b21-8825-30b5332719ec'],44,,,,,,,,,,,,,,,Morocco,788,00:00:44.640,Pass,
,,,,,,,,,,2.0,,,,,,,,,,,,,dc4d9897-0ea2-4e61-aa91-b836328996fd,23,,,"[45.0, 13.0]",7577,0,,-1.0714496,,,Right Foot,,,"[51.0, 2.0]",Ground Pass,12.529964,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Free Kick,Amine Harit,5243.0,Left Wing,5,Morocco,788,"['815ea4a3-8df3-45e7-b19c-3f55c605814c', '9163ae06-b504-4f2f-a595-747544fcee1d']",47,,,,,,,,,,,,,,,Morocco,788,00:00:47.320,Pass,True
,,,,,,,,,,1.173,,,,,,,,,,,,,f51cc46a-aa9e-45c5-9243-3e11d44c5d93,27,,,"[53.0, 3.0]",7577,0,,2.0607536,,,Right Foot,,,"[45.0, 18.0]",Ground Pass,17.0,,,Mbark Boussoufa,5232.0,,,,,,1,From Free Kick,Achraf Hakimi Mouh,5245.0,Left Back,5,Morocco,788,"['9c0673e0-acec-4e03-bde5-619caa6bbe2a', 'c52b169e-470c-4736-87fe-0c0b1f71e8ff']",51,,,,,,,,,,,,,,,Morocco,788,00:00:51.640,Pass,True
,,,,,,,,,,1.6,,,,,,,,,,,,,ec139b11-10e0-4109-94ac-e1c652aef078,31,,,"[42.0, 16.0]",7577,0,,1.849096,,,Right Foot,,,"[32.0, 51.0]",Ground Pass,36.40055,,,Medhi Amine El Mouttaqi Benatia,5244.0,,,,,,1,From Free Kick,Mbark Boussoufa,5232.0,Left Center Midfield,5,Morocco,788,"['6ffeaad4-1195-4d56-bc8e-a6d2568f9d5b', '96ac67f1-5e4c-4be9-8acc-fae2ab27e977']",55,,,,,,,,,,,,,,,Morocco,788,00:00:55.080,Pass,True
,,,,,,,,,,3.52,,,,,,,,,,,,,91ca8a4d-83b0-4317-8f4f-a9348199ae35,34,,,"[59.0, 58.0]",7577,1,,-0.7051113,,,Right Foot,,,"[106.0, 18.0]",High Pass,61.7171,,Incomplete,Achraf Hakimi Mouh,5245.0,,True,,,,1,From Free Kick,Medhi Amine El Mouttaqi Benatia,5244.0,Right Center Back,5,Morocco,788,"['0f21c463-7679-4116-8c69-e58feb0a94f6', '6855d64b-790b-4e40-adc4-9ed486f6df70']",2,,,,,,,,,,,,,,,Morocco,788,00:01:02.240,Pass,
,,,,,,,,,,2.12,,,,,,,,,,,,,6855d64b-790b-4e40-adc4-9ed486f6df70,36,,,"[15.0, 63.0]",7577,1,,-1.4940244,,,Head,,,"[17.0, 37.0]",High Pass,26.076809,,Incomplete,Roozbeh Cheshmi,5222.0,,,,,Recovery,1,From Free Kick,Alireza Jahanbakhsh,5239.0,Right Midfield,5,Morocco,788,"['571ee9e3-c20e-4550-b7b8-b77833d2020d', '91ca8a4d-83b0-4317-8f4f-a9348199ae35', 'ee4f24a3-22e3-44fd-8e0a-b8d149db6641']",5,,,,,,,,,,,,,,,Iran,797,00:01:05.760,Pass,
,,,,,,,,,,1.373,,,,,,,,,,,,,571ee9e3-c20e-4550-b7b8-b77833d2020d,39,,,"[105.0, 44.0]",7577,1,True,-1.3258177,,,,,,"[106.0, 40.0]",High Pass,4.1231055,,Incomplete,Achraf Hakimi Mouh,5245.0,,,,,Recovery,1,From Free Kick,Ayoub El Kaabi,5229.0,Center Forward,5,Morocco,788,"['6855d64b-790b-4e40-adc4-9ed486f6df70', '6d369b14-aacd-44f7-908b-f8c705ef63a2', 'b42e95dd-0921-4691-9c22-1fffe458f179', 'ccc92e50-f6a7-41fb-b82c-de86dbcc1421']",7,,,,,,,,,,,,,,,Morocco,788,00:01:07.880,Pass,True
,,,,,,,,,,1.627,,,,,,,,,,,,,6d369b14-aacd-44f7-908b-f8c705ef63a2,41,,,"[15.0, 41.0]",7577,1,,1.19029,,,Head,,,"[19.0, 51.0]",High Pass,10.770329,,Incomplete,Masoud Shojaei Soleimani,5238.0,,,,,Interception,1,From Free Kick,Morteza Pouraliganji,5220.0,Right Center Back,5,Morocco,788,"['571ee9e3-c20e-4550-b7b8-b77833d2020d', 'a4ef7400-908a-4a4e-afab-3d9dbd92cd0e', 'aa7f629e-cd9c-42c2-8aea-9f15d66b5f33']",9,,,,,,,,,,,,,,,Iran,797,00:01:09.253,Pass,
,,,,,,,,,,3.853,,,,,,,,,,,,,99a5e002-3055-4dfc-bad7-3e3f3909bcbe,46,,,"[7.0, 34.0]",7577,1,,-0.16743177,,,Right Foot,,,"[78.0, 22.0]",High Pass,72.00694,,,Sardar Azmoun,5224.0,,,,,Goal Kick,1,From Goal Kick,Alireza Safar Beiranvand,5227.0,Goalkeeper,6,Iran,797,['3ceb94c6-9a3a-4090-b75a-4e6700e8419a'],50,,,,,,,,,,,,,,,Iran,797,00:01:50.640,Pass,
,,,,,,,,,,2.72,,,,,,,,,,,,,98246ac8-fd32-4822-b92c-8a6adbf01bd5,48,,,"[78.0, 22.0]",7577,1,,0.09065989,,,Head,,,"[111.0, 25.0]",Low Pass,33.13608,,Incomplete,Alireza Jahanbakhsh,5239.0,,,,,,1,From Goal Kick,Sardar Azmoun,5224.0,Center Forward,6,Iran,797,"['1a0890c6-6c17-454d-9719-b452544af1e1', '6d81960b-73cd-4e2b-8068-8daffe52c52e']",54,,,,,,,,,,,,,,,Iran,797,00:01:54.773,Pass,
,,,,,,,,,,1.533,,,,,,,,,,,,,e7d09eb7-a2cf-4de2-bd2e-3687bc4547e5,52,,,"[11.0, 45.0]",7577,2,,0.32175055,,,Keeper Arm,,,"[26.0, 50.0]",Low Pass,15.811388,,,Karim El Ahmadi Al Aroos,5236.0,,,,,,1,Regular Play,Munir Mohand Mohamedi,5233.0,Goalkeeper,7,Morocco,788,['d7c201f0-433d-4cb9-81c5-f988f825b5ca'],1,,,,,,,,,,,,,,,Morocco,788,00:02:01.080,Pass,
,,,,,,,,,,2.32,,,,,,,,,,,,,939431a8-dbf4-4560-9dbc-d6ced10a2236,55,,,"[30.0, 45.0]",7577,2,,-1.5019399,,,Right Foot,,,"[32.0, 16.0]",Ground Pass,29.068884,,,Romain Saïss,5219.0,,,,,,1,Regular Play,Karim El Ahmadi Al Aroos,5236.0,Right Center Midfield,7,Morocco,788,['e927cb1c-80d4-4bb6-b300-215a4e3be425'],6,,,,,,,,,,,,,,,Morocco,788,00:02:06.560,Pass,
,,,,,,,,,,2.733,,,,,,,,,,,,,f82ac36c-a796-467e-90ee-e1a85eb1eb67,58,,,"[45.0, 13.0]",7577,2,,-0.019997334,,,Left Foot,,,"[95.0, 12.0]",High Pass,50.01,,,Ayoub El Kaabi,5229.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Left Center Back,7,Morocco,788,['dbdd80a1-5ce9-455a-b6a2-c7ac023ff43f'],10,,,,,,,,,,,,,,,Morocco,788,00:02:10.760,Pass,
