bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,c90167f0-31ba-41c4-b975-c5e75a4cfba4,1,,,7550,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5601, 'name': 'Vladimir Stojković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5603, 'name': 'Nikola Milenković'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5580, 'name': 'Duško Tošić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3455, 'name': 'Luka Milivojević'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Serbia,786,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,695db2d2-80a1-4802-9581-e1e7ea090d73,2,,,7550,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 5548, 'name': 'Steven Zuber'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'jersey_number': 9}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,7.56,,,,,,,,,,,,53161916-2fcf-4e89-b3f1-7028c3303dcc,3,,,7550,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['e52c5f0a-5183-470d-9ce8-76c5a83697af'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,9.96,,,,,,,,,,,,e52c5f0a-5183-470d-9ce8-76c5a83697af,4,,,7550,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['53161916-2fcf-4e89-b3f1-7028c3303dcc'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,5b8347a5-468a-4f88-9749-4d8214382523,1762,,,7550,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Serbia,786,['e3cd1415-f4dd-4958-834a-105c2aeb347f'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,e3cd1415-f4dd-4958-834a-105c2aeb347f,1763,,,7550,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Serbia,786,['5b8347a5-468a-4f88-9749-4d8214382523'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,1.88,,,,,,,,,,,,24a96cd0-bc40-4c44-a0e8-3f904b20bc4c,5,,"[60.0, 40.0]",7550,0,,2.976444,,,Left Foot,,,,"[36.0, 44.0]",,Ground Pass,24.33105,,,Fabian Lukas Schär,5537.0,,,Kick Off,1,From Kick Off,Xherdan Shaqiri,3533.0,Right Wing,2,Switzerland,773,['fa11888c-f8b5-41df-9eb5-79857f6b3a4c'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.440,Pass,
,,,,,,,,,,,,4.84,,,,,,,,,,,,7b1b650a-c7f0-4dde-8fd1-76b8473d7091,8,,"[38.0, 41.0]",7550,0,,-0.49555168,,,Right Foot,,,,"[112.0, 1.0]",,High Pass,84.118965,,Out,Haris Seferović,5543.0,,True,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Switzerland,773,['46691abc-ce6a-437c-9c16-400b9b7d6dea'],3,,,,,,,,,,,,,,,,,Switzerland,773,00:00:03.613,Pass,
,,,,,,,,,,,,3.28,,,,,,,,,,,,8cd49b97-6baf-4ab7-80ce-64fdeddd6a5d,11,,"[11.0, 80.0]",7550,0,,-0.38050637,,,,,,,"[56.0, 62.0]",,High Pass,48.466484,,Incomplete,Dušan Tadić,3831.0,,,Throw-in,1,From Throw In,Branislav Ivanović,5594.0,Right Back,3,Serbia,786,"['8681a2eb-d172-491f-9578-132a6bfa96ca', 'bc33ee7b-e294-427b-8880-0da3d5984dc3']",18,,,,,,,,,,,,,,,,,Serbia,786,00:00:18.920,Pass,
,,,,,,,,,,,,1.693,,,,,,,,,,,,bc33ee7b-e294-427b-8880-0da3d5984dc3,13,,"[65.0, 19.0]",7550,0,,0.41012734,,,Right Foot,,,,"[88.0, 29.0]",,High Pass,25.079872,,,Haris Seferović,5543.0,,,Recovery,1,From Throw In,Manuel Obafemi Akanji,5549.0,Left Center Back,3,Serbia,786,"['4eac3896-99df-42bc-9461-d89ed2780018', '8cd49b97-6baf-4ab7-80ce-64fdeddd6a5d']",22,,,,,,,,,,,,,,,,,Switzerland,773,00:00:22.200,Pass,
