50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.36,,,,,,,,,,,,,b58ae2fc-beec-425a-a4d7-4ad33aea5224,15,,"[23.0, 63.0]",7558,0,,0.8224183,,,Right Foot,,,"[36.0, 77.0]",Ground Pass,19.104973,,José Martín Cáceres Silva,5248.0,,,,1,From Goal Kick,Sebastián Coates Nión,6300.0,Right Center Back,3,Uruguay,783,['4a1c819c-e32a-489b-86ac-02de925f8adb'],21,,,,,,,,,,,,,,,,Uruguay,783,00:00:21.920,Pass,
,,,,,,,,,,,,2.16,,,,,,,,,,,,,8696e915-7fd0-4229-ad80-e7fc5913b598,18,,"[35.0, 76.0]",7558,0,,-1.9936502,,,Right Foot,,,"[26.0, 56.0]",Ground Pass,21.931713,,Sebastián Coates Nión,6300.0,,,,1,From Goal Kick,José Martín Cáceres Silva,5248.0,Right Back,3,Uruguay,783,['10161206-3369-4149-a653-d68e4ab0e46c'],24,,,,,,,,,,,,,,,,Uruguay,783,00:00:24.520,Pass,
,,,,,,,,,,,,1.36,,,,,,,,,,,,,bf759c3f-2ea7-4e73-82a3-304a214a553b,21,,"[27.0, 56.0]",7558,0,,-1.5323538,,,Right Foot,,,"[28.0, 30.0]",Ground Pass,26.019224,,Diego Roberto Godín Leal,5249.0,,,,1,From Goal Kick,Sebastián Coates Nión,6300.0,Right Center Back,3,Uruguay,783,['54991ceb-5e0f-43ce-943f-d43f1826fd8e'],26,,,,,,,,,,,,,,,,Uruguay,783,00:00:26.800,Pass,
,,,,,,,,,,,,2.12,,,,,,,,,,,,,3e558f84-9de8-4c61-9e49-23d14e9980ba,24,,"[33.0, 30.0]",7558,0,,-0.9652517,,,Right Foot,,,"[51.0, 4.0]",Ground Pass,31.622776,,Diego Sebastián Laxalt Suárez,5717.0,,,,1,From Goal Kick,Diego Roberto Godín Leal,5249.0,Left Center Back,3,Uruguay,783,['8f7a270e-9abe-45e1-9743-93dcaf49e024'],29,,,,,,,,,,,,,,,,Uruguay,783,00:00:29.760,Pass,
,,,,,,,,,,,,1.68,,,,,,,,,,,,,2d461344-72ea-4263-9a6a-bf97a68402ce,27,,"[51.0, 4.0]",7558,0,,2.2730532,,,Left Foot,,,"[40.0, 17.0]",Ground Pass,17.029387,,Diego Roberto Godín Leal,5249.0,,,,1,From Goal Kick,Diego Sebastián Laxalt Suárez,5717.0,Left Back,3,Uruguay,783,['df2b56c3-7920-41ba-a317-fa2c7bcc303a'],33,,,,,,,,,,,,,,,,Uruguay,783,00:00:33.040,Pass,
,,,,,,,,,,,,4.0,,,,,,,,,,,,,1270ef45-9a3a-4eb3-9a26-a408025c129c,31,,"[41.0, 29.0]",7558,0,,1.3009472,,,Right Foot,,,"[54.0, 76.0]",Ground Pass,48.76474,,José Martín Cáceres Silva,5248.0,,True,,1,From Goal Kick,Diego Roberto Godín Leal,5249.0,Left Center Back,3,Uruguay,783,"['ce94b2d0-e1f9-4ad3-9fa4-07420b3c1bc0', 'd8aed6f4-ea71-4e3e-a78f-6ff99f2a07c1']",36,,,,,,,,,,,,,,,,Uruguay,783,00:00:36.520,Pass,True
,,,,,,,,,,,,1.84,,,,,,,,,,,,,fddfef1c-47de-49fe-b392-0672f0ab486d,34,,"[54.0, 74.0]",7558,0,,-1.8993495,,,Right Foot,,,"[39.0, 30.0]",Ground Pass,46.486557,,Diego Roberto Godín Leal,5249.0,,True,,1,From Goal Kick,José Martín Cáceres Silva,5248.0,Right Back,3,Uruguay,783,['980cf91c-b4a3-46ff-b792-ad59362c6a91'],41,,,,,,,,,,,,,,,,Uruguay,783,00:00:41.680,Pass,
,,,,,,,,,,,,2.16,,,,,,,,,,,,,c93201ad-4547-4681-bc2e-0fc13d6b149f,37,,"[39.0, 30.0]",7558,0,,-0.957589,,,Right Foot,,,"[58.0, 3.0]",Ground Pass,33.01515,,Diego Sebastián Laxalt Suárez,5717.0,,,,1,From Goal Kick,Diego Roberto Godín Leal,5249.0,Left Center Back,3,Uruguay,783,['a3de7b0e-dd26-4fb8-bf9d-222031c3168c'],44,,,,,,,,,,,,,,,,Uruguay,783,00:00:44.440,Pass,
,,,,,,,,,,,,0.68,,,,,,,,,,,,,9398f07e-4e4b-4dc1-b293-2ce96890bf49,40,,"[63.0, 4.0]",7558,0,,0.9272952,,,Left Foot,,,"[66.0, 8.0]",Ground Pass,5.0,,Matías Vecino Falero,5255.0,,,,1,From Goal Kick,Diego Sebastián Laxalt Suárez,5717.0,Left Back,3,Uruguay,783,['6ee275f6-5169-4b25-8b04-18833b5b7d43'],48,,,,,,,,,,,,,,,,Uruguay,783,00:00:48.120,Pass,
,,,,,,,,,,,,1.36,,,,,,,,,,,,,9b2eb9df-7c11-4d92-8565-1cc0ae9e4c2b,44,,"[63.0, 8.0]",7558,0,,2.9996955,,,Right Foot,,,"[42.0, 11.0]",Ground Pass,21.213203,,Diego Roberto Godín Leal,5249.0,,,,1,From Goal Kick,Matías Vecino Falero,5255.0,Left Midfield,3,Uruguay,783,"['6697e530-959a-493f-9ec3-a407e520ded6', 'a1d90049-8434-4736-bf2f-db8ef8a3daac']",49,,,,,,,,,,,,,,,,Uruguay,783,00:00:49.920,Pass,True
