50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c45abdab-ea9c-4dfa-aeac-3f7c4627b499,1,,,7560,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Spain,772,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,06325bc4-1875-4160-b252-266a9d28a03b,2,,,7560,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5233, 'name': 'Munir Mohand Mohamedi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 5221, 'name': 'Manuel Marouan da Costa Trinidade'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5236, 'name': 'Karim El Ahmadi Al Aroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5232, 'name': 'Mbark Boussoufa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5242, 'name': 'Younès Belhanda'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5237, 'name': 'Hakim Ziyech'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,8.96,,,,,,,,,,,76c2c9ce-2b48-4836-9e20-8f8caf860e9a,3,,,7560,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['7cc4c14e-21f1-48e8-8469-926569b5f04f'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,9.893,,,,,,,,,,,7cc4c14e-21f1-48e8-8469-926569b5f04f,4,,,7560,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['76c2c9ce-2b48-4836-9e20-8f8caf860e9a'],0,,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,8.96,,,,,,,,,,,86700951-9d9c-4882-b4c5-5cdb2761536a,1819,,,7560,45,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,77,Morocco,788,['423d30c8-3103-480c-9d0d-dd41a68f7bc8'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,9.293,,,,,,,,,,,423d30c8-3103-480c-9d0d-dd41a68f7bc8,1820,,,7560,45,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,77,Morocco,788,['86700951-9d9c-4882-b4c5-5cdb2761536a'],0,,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,b08ec2a0-c6a4-4733-98f2-7ba990cce7f5,5,,"[61.0, 40.0]",7560,0,,-2.9147937,,,Right Foot,,,,"[48.0, 37.0]",,Ground Pass,13.341664,,Sergio Busquets i Burgos,5203.0,,,Kick Off,1,From Kick Off,Diego da Silva Costa,5198.0,Center Forward,2,Spain,772,['d7b18156-ea39-46fe-b451-5984197903e1'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.150,Pass,
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,275346ad-61b8-4710-a3a6-ba9334120eec,9,,"[54.0, 39.0]",7560,0,,1.7234457,,,Left Foot,,,,"[52.0, 52.0]",,Ground Pass,13.152946,,Thiago Alcântara do Nascimento,5208.0,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Midfield,2,Spain,772,"['07f0b5c1-8abb-4034-9f32-01e591b0ce32', '7dd4962d-c3fc-437e-94cc-2422f826773d']",2,,,,,,,,,,,,,,,,,,Spain,772,00:00:02.990,Pass,True
,,,,,,,,,,,,,,,0.76,,,,,,,,,,,ae8f4ed3-1d13-485d-9f3a-eef6c5e612ac,12,,"[55.0, 54.0]",7560,0,,1.3909428,,,Right Foot,,,,"[57.0, 65.0]",,Ground Pass,11.18034,,David Josué Jiménez Silva,3064.0,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Right Midfield,2,Spain,772,['d741e3d6-0068-4c79-a1a3-eea22f709d52'],5,,,,,,,,,,,,,,,,,,Spain,772,00:00:05.070,Pass,
,,,,,,,,,,,,,,,1.8,,,,,,,,,,,bff6027f-2a7d-4745-b8fe-a9f85df247ca,15,,"[54.0, 63.0]",7560,0,,-1.8533512,,,Left Foot,,,,"[45.0, 32.0]",,Ground Pass,32.280025,,Sergio Ramos García,5201.0,,,,1,From Kick Off,David Josué Jiménez Silva,3064.0,Right Wing,2,Spain,772,['f52a945f-0ff1-45f4-9d52-4cb7616b853a'],6,,,,,,,,,,,,,,,,,,Spain,772,00:00:06.910,Pass,
