50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,5cfb157a-ee03-47d7-aab5-2deadf6929dd,1,,,,7551,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd9d4df7-37c4-4921-b768-2a1ad0091f6c,2,,,,7551,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5612, 'name': 'Mikael Lustig'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Sweden,790,00:00:00.000,Starting XI,
,,,,,,,,,,,,7.293,,,,,,,,,,,,,ed05df7f-1910-4197-aa91-c88ec146a939,3,,,,7551,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['02fb71d9-888d-48ac-9c1c-8c0ecdab9692'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,7.4,,,,,,,,,,,,,02fb71d9-888d-48ac-9c1c-8c0ecdab9692,4,,,,7551,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['ed05df7f-1910-4197-aa91-c88ec146a939'],0,,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,238f7ce1-d2d0-4e0a-84ca-bf57270b26ee,1788,,,,7551,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,78,Sweden,790,['4b1fa0eb-aa82-4fca-97bb-c56a64fc0428'],0,,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,4b1fa0eb-aa82-4fca-97bb-c56a64fc0428,1789,,,,7551,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,78,Sweden,790,['238f7ce1-d2d0-4e0a-84ca-bf57270b26ee'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,0.94,,,,,,,,,,,,,0e97b47d-1744-44bd-b6aa-deaa807181a4,5,,,"[61.0, 41.0]",7551,0,,,-2.976444,,,Right Foot,,,,"[37.0, 37.0]",,Ground Pass,24.33105,,Andreas Granqvist,5607.0,,,,,Kick Off,1,From Kick Off,Emil Peter Forsberg,5625.0,Left Midfield,2,Sweden,790,['b3d9f711-0158-428b-ba21-4f83d6e32a6a'],0,,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.100,Pass,
,,,,,,,,,,,,2.953,,,,,,,,,,,,,4621dca4-9a89-4c89-9a24-a8df522a25b8,8,,,"[38.0, 41.0]",7551,0,,,0.39608145,,,Right Foot,,,,"[93.0, 64.0]",,High Pass,59.615433,Incomplete,Ola Toivonen,4417.0,,,,,,1,From Kick Off,Andreas Granqvist,5607.0,Left Center Back,2,Sweden,790,"['78d3dd18-2a79-4008-9c23-b91b2d2d50a3', 'a8139913-47f6-4651-886e-80494672988d', 'd1b13072-3664-4b1e-9789-9b7c628e11e1']",1,,,,,,,,,,,,,,,,,,Sweden,790,00:00:01.040,Pass,True
,,,,,,,,,,,,1.08,,,,,,,,,,,,,a8139913-47f6-4651-886e-80494672988d,11,,,"[29.0, 18.0]",7551,0,,True,-0.8960554,,,,,,,"[41.0, 3.0]",,High Pass,19.209373,,Julian Draxler,3186.0,,,,,Recovery,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,3,Germany,770,"['00510a90-4e16-42f3-a6b4-3b1eebcaf944', '0a82c5d8-c93c-4bf1-9530-c62474d175b8', '4621dca4-9a89-4c89-9a24-a8df522a25b8']",3,,,,,,,,,,,,,,,,,,Germany,770,00:00:03.993,Pass,True
,,,,,,,,,,,,0.88,,,,,,,,,,,,,9d6f1157-057a-42fd-995f-ee433be02769,15,,,"[40.0, 4.0]",7551,0,,,2.158799,,,Right Foot,,,,"[36.0, 10.0]",,Low Pass,7.2111025,,Toni Kroos,5574.0,,,,,,1,Regular Play,Julian Draxler,3186.0,Left Wing,3,Germany,770,['fb4f2c25-73bf-4532-8cfb-e8cfffc312bf'],5,,,,,,,,,,,,,,,,,,Germany,770,00:00:05.233,Pass,
