bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1282b72c-854f-470c-8d89-f9db5fd977d5,1,,,7568,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5834, 'name': 'Mario Gavranović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b0c4f97c-4990-4953-a9e4-28c66e7e8257,2,,,7568,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5590, 'name': 'Johnny Acosta Zamora'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 6328, 'name': 'Kendall Jamaal Waston Manley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 5602, 'name': 'Cristian Gamboa Luna'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5599, 'name': 'David Alberto Guzmán Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5592, 'name': 'Bryan Ruiz González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5585, 'name': 'Daniel Colindres Solera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,7.48,,,,,,,,,,,,,,27ec270b-de9b-4656-8c88-c00c85d8740b,3,,,7568,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['56d6bc1a-4318-427a-a923-0f240ff40950'],0,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,6.56,,,,,,,,,,,,,,56d6bc1a-4318-427a-a923-0f240ff40950,4,,,7568,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['27ec270b-de9b-4656-8c88-c00c85d8740b'],0,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,8.773,,,,,,,,,,,,,,16f7d82a-51bf-4c24-99ec-88524d6cf09d,1753,,,7568,45,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Costa Rica,795,['1eb14991-0176-476a-b7c2-df7af0a747ef'],0,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,9.36,,,,,,,,,,,,,,1eb14991-0176-476a-b7c2-df7af0a747ef,1754,,,7568,45,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Costa Rica,795,['16f7d82a-51bf-4c24-99ec-88524d6cf09d'],0,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,0.7,,,,,,,,,,,,,,a7c41ecf-476f-43b0-9862-62eabd28451d,5,,"[61.0, 40.0]",7568,0,,-3.041924,,,Right Foot,,,"[51.0, 39.0]",,Ground Pass,10.049875,,Granit Xhaka,3500.0,,,Kick Off,1,From Kick Off,Mario Gavranović,5834.0,Center Forward,2,Switzerland,773,['8d39b16b-5a33-45d0-abfa-f0fd3cad4578'],0,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.493,Pass,
,,,,,,,,,,,,1.4,,,,,,,,,,,,,,8b257809-fcab-4beb-93bc-91b5e2340d39,8,,"[55.0, 43.0]",7568,0,,1.4536875,,,Left Foot,,,"[59.0, 77.0]",,Ground Pass,34.234486,,Xherdan Shaqiri,3533.0,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Switzerland,773,"['30b5c60a-e756-40fe-a978-a024e302dce7', '56d20766-ec95-4766-a3a4-6a32dfa5cd37']",1,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:01.193,Pass,True
,,,,,,,,,,,,1.14,,,,,,,,,,,,,,eda54030-ce0b-4a39-a1d9-b0809e8e5cd8,10,,"[55.0, 69.0]",7568,0,,2.782822,,,Left Foot,,,"[47.0, 72.0]",,Ground Pass,8.5440035,,Stephan Lichtsteiner,5541.0,,,,1,From Kick Off,Xherdan Shaqiri,3533.0,Right Wing,2,Switzerland,773,"['30b5c60a-e756-40fe-a978-a024e302dce7', '4a5ff685-d907-44cd-a9e8-12a018e29d30']",2,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:02.593,Pass,True
,,,,,,,,,,,,1.76,,,,,,,,,,,,,,ef403a50-5676-408d-a5d8-8be6dc703ca6,13,,"[47.0, 72.0]",7568,0,,-2.5829933,,,Right Foot,,,"[31.0, 62.0]",,Ground Pass,18.867962,,Fabian Lukas Schär,5537.0,,,,1,From Kick Off,Stephan Lichtsteiner,5541.0,Right Back,2,Switzerland,773,['acd76aef-1203-4195-9dc6-43575641b2d1'],4,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:04.433,Pass,
