50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,365691bc-4918-4173-a3d4-42ba305b4934,1,,,,7571,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5659, 'name': ""Khadim N''Diaye""}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,56520a07-ecf9-4c4c-b44e-5de7e107c189,2,,,,7571,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6193, 'name': 'Andrés Mateus Uribe Villa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,f57f3487-c368-4419-bbed-1a11313900e5,3,,,,7571,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['62ae1df1-f3b2-40af-b6fd-9ac61a16c29f'],0,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,9.213,,,,,,,,,,,,62ae1df1-f3b2-40af-b6fd-9ac61a16c29f,4,,,,7571,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['f57f3487-c368-4419-bbed-1a11313900e5'],0,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,,15b9e8da-f1b7-4760-a4d5-e0e3fd8f2a4f,1500,,,,7571,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Colombia,769,['29bfaa67-dafb-4024-b1cc-734161177363'],0,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,6.093,,,,,,,,,,,,29bfaa67-dafb-4024-b1cc-734161177363,1501,,,,7571,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Colombia,769,['15b9e8da-f1b7-4760-a4d5-e0e3fd8f2a4f'],0,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,0.01,,,,,,,,,,,,06f561b5-579d-48cd-bb77-25fb3fe501e2,5,,,"[60.0, 40.0]",7571,0,,2.55359,,,Right Foot,,"[36.0, 56.0]",,Ground Pass,28.84441,,Kalidou Koulibaly,5675.0,,,,,Kick Off,1,From Kick Off,Sadio Mané,3629.0,Right Center Forward,2,Senegal,787,['17eb290f-7a21-445b-a3ed-367d367b0a93'],0,,,,,,,,,,,,,,,Senegal,787,00:00:00.060,Pass,
,,,,,,,,,,,3.44,,,,,,,,,,,,eb0d1810-fef5-43db-87c8-56c441216bcf,7,,,"[36.0, 56.0]",7571,0,,-0.52807444,,,Right Foot,,"[96.0, 21.0]",,High Pass,69.46222,,M''Baye Babacar Niang,5661.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Senegal,787,['5b4c74a7-41db-491e-aa11-f3b5b4bfe03d'],0,,,,,,,,,,,,,,,Senegal,787,00:00:00.070,Pass,
,,,,,,,,,,,2.12,,,,,,,,,,,,4bef6a84-63d7-4c4c-a86c-5bb8a646a698,9,,,"[101.0, 23.0]",7571,0,True,0.0,,,,,"[103.0, 23.0]",,High Pass,2.0,Incomplete,,,,,,,,1,From Kick Off,M''Baye Babacar Niang,5661.0,Left Center Forward,2,Senegal,787,"['30046ee1-63db-4f82-98bc-3e9e221b320f', 'cb25b713-24d8-4ab7-b9c6-2a50ec26b269']",4,,,,,,,,,,,,,,,Senegal,787,00:00:04.120,Pass,True
,,,,,,,,,,,2.08,,,,,,,,,,,,cb25b713-24d8-4ab7-b9c6-2a50ec26b269,11,,,"[18.0, 58.0]",7571,0,,-0.39479113,,,Head,,"[42.0, 48.0]",,High Pass,26.0,Incomplete,Radamel Falcao García Zárate,3445.0,,,,,Recovery,1,From Kick Off,Santiago Arias Naranjo,5696.0,Right Back,2,Senegal,787,"['4bef6a84-63d7-4c4c-a86c-5bb8a646a698', '8c3eca9c-5972-4f30-a878-4f53479608f0', 'b6360bf4-ebc9-4efa-b4e0-1ac6435ac520']",6,,,,,,,,,,,,,,,Colombia,769,00:00:06.240,Pass,
