50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,4.32,,,,,,,,,,,,668875cf-65da-4dc3-9481-3bd355d5c20b,1,,,,7556,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3175, 'name': 'Eiji Kawashima'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5682, 'name': 'Gen Shōji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5693, 'name': 'Gaku Shibasaki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,69bcce22-a798-4ebc-84c5-98463741fd02,2,,,,7556,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5659, 'name': ""Khadim N''Diaye""}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 5674, 'name': 'Moussa Wagué'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 4277, 'name': ""Papa Alioune N''Diaye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,9.52,,,,,,,,,,,,b7141a30-8fb7-45fc-8b60-0bd0932c1171,3,,,,7556,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['1fae382b-bc9b-42ca-ab0e-872b18605b07'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,9.253,,,,,,,,,,,,1fae382b-bc9b-42ca-ab0e-872b18605b07,4,,,,7556,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['b7141a30-8fb7-45fc-8b60-0bd0932c1171'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,7.52,,,,,,,,,,,,e888933e-2b78-408c-a9ad-ec989fb0406d,1476,,,,7556,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Senegal,787,['c547e5fa-376f-4630-8bc7-964ea5d58efa'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,7.532,,,,,,,,,,,,c547e5fa-376f-4630-8bc7-964ea5d58efa,1477,,,,7556,45,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Senegal,787,['e888933e-2b78-408c-a9ad-ec989fb0406d'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,0.893,,,,,,,,,,,,d4e3aa7a-f5a4-4d49-a0f3-7561010ba77e,5,,,"[61.0, 41.0]",7556,0,,-2.9996955,,,Right Foot,,,"[47.0, 39.0]",,Ground Pass,14.142136,,Makoto Hasebe,5681.0,,,,,Kick Off,1,From Kick Off,Shinji Kagawa,5684.0,Center Attacking Midfield,2,Japan,778,['d1276f34-bf8f-4841-ae58-db13b45014c4'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.094,Pass,
,,,,,,,,,,,,1.173,,,,,,,,,,,,ec4ba71c-f76a-4916-a992-13904791e238,8,,,"[45.0, 40.0]",7556,0,,2.0647378,,,Right Foot,,,"[38.0, 53.0]",,Ground Pass,14.764823,,Maya Yoshida,3300.0,,,,,,1,From Kick Off,Makoto Hasebe,5681.0,Right Defensive Midfield,2,Japan,778,['c727a079-68b7-4498-aacb-e45f9cc344bf'],2,,,,,,,,,,,,,,,,,Japan,778,00:00:02.354,Pass,
,,,,,,,,,,,,1.533,,,,,,,,,,,,6da077d3-8e08-440c-8e18-b7f93f9b496b,11,,,"[38.0, 59.0]",7556,0,,-1.5019399,,,Right Foot,,,"[40.0, 30.0]",,Ground Pass,29.068884,,Gen Shōji,5682.0,,,,,,1,From Kick Off,Maya Yoshida,3300.0,Right Center Back,2,Japan,778,['ca3988cd-b83d-4717-8fdb-90d6f3fd8989'],4,,,,,,,,,,,,,,,,,Japan,778,00:00:04.274,Pass,
,,,,,,,,,,,,2.053,,,,,,,,,,,,c4b87378-1f5f-4629-89c2-310b90f9be42,15,,,"[38.0, 32.0]",7556,0,,2.8295505,,,Left Foot,,,"[7.0, 42.0]",,Ground Pass,32.572994,,Eiji Kawashima,3175.0,,,,,,1,From Kick Off,Gen Shōji,5682.0,Left Center Back,2,Japan,778,"['50faa45b-aadc-4e3c-bf5e-1a5ef1d2eac9', 'e17c5f95-4e3c-4417-8aa8-66245e8a3d68']",6,,,,,,,,,,,,,,,,,Japan,778,00:00:06.434,Pass,True
