ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.004,,,,,,,,,,,96351602-c3e1-4578-81d3-11f96bc7d65d,1,,,7583,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,0.002,,,,,,,,,,,17042cdd-f46c-4616-ae0f-fa936bd2e5b1,2,,,7583,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5567, 'name': 'Edson Omar Álvarez Velázquez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5561, 'name': 'Hugo Ayala Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5564, 'name': 'Carlos Joel Salcedo Hernández'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5576, 'name': 'Jesús Daniel Gallardo Vasconcelos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5575, 'name': 'Héctor Miguel Herrera López'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 5571, 'name': 'Hirving Rodrigo Lozano Bahena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,fe45e97f-5cc5-47d6-95b2-c18f7e9e352d,3,,,7583,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['e9aa3cf3-bbed-4828-b5f6-6568a6053b91'],0,,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,e9aa3cf3-bbed-4828-b5f6-6568a6053b91,4,,,7583,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['fe45e97f-5cc5-47d6-95b2-c18f7e9e352d'],0,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,24164778-c3b2-49d7-bac3-6871695b27b0,1705,,,7583,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Mexico,794,['e693047d-88f5-4e19-a135-4673bcbe9a04'],0,,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,,,,e693047d-88f5-4e19-a135-4673bcbe9a04,1706,,,7583,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Mexico,794,['24164778-c3b2-49d7-bac3-6871695b27b0'],0,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,1.733,,,,,,,,,,,5502adbf-17d0-4ec1-8be9-1f0f38c8638b,5,,"[61.0, 40.0]",7583,0,,3.1415927,,,Right Foot,,,"[37.0, 40.0]",,Ground Pass,24.0,,Rafael Márquez Álvarez,5558.0,,,,,Kick Off,1,From Kick Off,Javier Hernández Balcázar,3058.0,Center Forward,2,Mexico,794,['936fe0f0-4d26-4abe-b0dc-7fb565e287a3'],0,,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.747,Pass,
,,,,,,,,,,,1.293,,,,,,,,,,,8bce4f00-4838-43ec-baba-c5f7bdd0d995,9,,"[42.0, 45.0]",7583,0,,2.4329665,,,Right Foot,,,"[28.0, 57.0]",,Ground Pass,18.439089,,Carlos Joel Salcedo Hernández,5564.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Center Midfield,2,Mexico,794,"['409c6d0f-7458-49f3-befb-bbb5f021ac31', '4bc80b60-01bc-4ab1-a440-28581f78e78b']",3,,,,,,,,,,,,,,,,,,,Mexico,794,00:00:03.747,Pass,True
,,,,,,,,,,,2.133,,,,,,,,,,,12eccd79-ce32-4b05-beed-5b2823add14f,12,,"[28.0, 55.0]",7583,0,,-1.5707964,,,Right Foot,,,"[28.0, 29.0]",,Ground Pass,26.0,,Hugo Ayala Castro,5561.0,,,,,,1,From Kick Off,Carlos Joel Salcedo Hernández,5564.0,Left Center Back,2,Mexico,794,['74335c66-1657-4f66-b66c-20a33fb818ee'],7,,,,,,,,,,,,,,,,,,,Mexico,794,00:00:07.307,Pass,
,,,,,,,,,,,1.373,,,,,,,,,,,b226d3ee-2b61-458e-9ca1-d8315296dbaf,16,,"[31.0, 28.0]",7583,0,,-1.7454685,,,Right Foot,,,"[28.0, 11.0]",,Ground Pass,17.262676,,Jesús Daniel Gallardo Vasconcelos,5576.0,,,,,,1,From Kick Off,Hugo Ayala Castro,5561.0,Right Center Back,2,Mexico,794,"['28e99ee1-cf6d-49ae-b4ce-0e5475f61330', 'ebd87343-78d7-4c3d-a82c-618dd28fd38c']",10,,,,,,,,,,,,,,,,,,,Mexico,794,00:00:10.707,Pass,True
