ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,4.8,,,,,,,,,,,bb288179-7b8f-4829-b44f-7b03a27d1829,1,,,7567,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5619, 'name': 'Hyeon-Woo Jo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5608, 'name': 'Yong Lee'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6323, 'name': 'Young-Sun Yun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5604, 'name': 'Young-Gwon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 5986, 'name': 'Chul Hong'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5623, 'name': 'Jae-Sung Lee'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5606, 'name': 'Hyun-Soo Jang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5618, 'name': 'Woo-Young Jung'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5989, 'name': 'Seon-Min Moon'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",South Korea,791,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,d36751cd-1ca9-4ff3-bf9d-919265e1ba2a,2,,,7567,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,3d3769ba-4db1-4442-8313-a8bcd8c2fb48,3,,,7567,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,['c3292f13-e898-4fab-9040-97a0981072aa'],0,,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,c3292f13-e898-4fab-9040-97a0981072aa,4,,,7567,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,['3d3769ba-4db1-4442-8313-a8bcd8c2fb48'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,9cb2ff1e-cbc0-4c8f-895f-dfc141d38f73,1797,,,7567,45,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,80,South Korea,791,['680cacd4-2d4e-47d8-8b4d-c0e1f43e6046'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,6.333,,,,,,,,,,,680cacd4-2d4e-47d8-8b4d-c0e1f43e6046,1798,,,7567,45,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,80,South Korea,791,['9cb2ff1e-cbc0-4c8f-895f-dfc141d38f73'],0,,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,0.973,,,,,,,,,,,4acb528a-81bc-4d0c-be71-b010e6d7b70f,5,,"[61.0, 41.0]",7567,0,,-2.6779451,,,Left Foot,,,,"[49.0, 35.0]",,Ground Pass,13.416408,,,Toni Kroos,5574.0,,,Kick Off,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Germany,770,['cdabee9c-a6da-46c4-b236-3e369e2b5070'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.187,Pass,
,,,,,,,,,,,,1.08,,,,,,,,,,,644ccb18-a840-4426-b2b1-e2564a1e1f7c,9,,"[49.0, 35.0]",7567,0,,0.66104317,,,Right Foot,,,,"[58.0, 42.0]",,Ground Pass,11.401754,,,Mesut Özil,3496.0,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Germany,770,"['83c02b2d-65a1-47e1-ab6c-12a30a0ca397', 'c68a0a38-2d72-42c4-aa8e-65032aeacb68']",1,,,,,,,,,,,,,,,,,,Germany,770,00:00:01.880,Pass,True
,,,,,,,,,,,,1.44,,,,,,,,,,,5b536b03-efc9-41d9-b3a4-5e11f18767e7,13,,"[55.0, 43.0]",7567,0,,2.4149504,,,Left Foot,,,,"[37.0, 59.0]",,Ground Pass,24.083189,,,Niklas Süle,6322.0,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Germany,770,"['3e1f7a1a-2834-4bc7-ba71-53885bedaf8e', 'e9d461a8-ae45-4fcc-abde-288d1b252315']",4,,,,,,,,,,,,,,,,,,Germany,770,00:00:04.200,Pass,True
,,,,,,,,,,,,1.32,,,,,,,,,,,8faf6dbc-9b5f-497b-bab8-cf721d0166b4,17,,"[37.0, 59.0]",7567,0,,-1.1441689,,,Right Foot,,,,"[47.0, 37.0]",,Ground Pass,24.166092,,,Toni Kroos,5574.0,,,,1,From Kick Off,Niklas Süle,6322.0,Right Center Back,2,Germany,770,"['530ce131-5e2b-4bb3-b0f4-57b7ceeb840e', 'd70108e7-6b82-4c77-bc59-209767b043c5']",7,,,,,,,,,,,,,,,,,,Germany,770,00:00:07.360,Pass,True
