ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[71.0, 28.0]",,,,,,2.267,,,,,,,,,,,,,ac6c610b-ca71-4676-b5cc-db3a757fe5c9,2789,,"[58.0, 32.0]",7539,73,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Youssouf Sabaly,3404.0,Left Back,135,Senegal,787,"['14054543-09cc-4a6e-990c-d415dc3d30ea', '7822e975-e975-42be-8d7a-fc965284bb1c', 'a8426369-a4ee-4afb-9254-9161c72540aa']",51,,,,,,,,,,,,,,,,,,Senegal,787,00:28:51.733,Carry,True
,,,,"[69.0, 31.0]",,,,,,1.813,,,,,,,,,,,,,f782069b-8037-44f3-8bbc-aee5d5b66b11,2793,,"[71.0, 28.0]",7539,73,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Youssouf Sabaly,3404.0,Left Back,135,Senegal,787,"['14054543-09cc-4a6e-990c-d415dc3d30ea', 'bf3edad5-032b-46f9-9ed6-de182998ad59', 'c15504e5-82e7-4e61-bc6a-c6f64b3bd2a1']",54,,,,,,,,,,,,,,,,,,Senegal,787,00:28:54.000,Carry,True
,,,,"[69.0, 29.0]",,,,,,0.507,,,,,,,,,,,,,481922ab-f175-4e38-8706-60c8400f0fd3,2795,,"[69.0, 31.0]",7539,73,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Idrissa Gana Gueye,3436.0,Right Center Midfield,135,Senegal,787,"['1033b84f-772f-4496-93be-55d6a52997cb', 'c15504e5-82e7-4e61-bc6a-c6f64b3bd2a1']",55,,,,,,,,,,,,,,,,,,Senegal,787,00:28:55.813,Carry,
,,,,"[56.0, 28.0]",,,,,,0.347,,,,,,,,,,,,,dfef6a7d-ebe7-4a40-bc45-87f077b3472c,2798,,"[55.0, 28.0]",7539,73,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kalidou Koulibaly,5675.0,Left Center Back,135,Senegal,787,"['41c0aa09-a5c3-49f6-9bdb-cfad8ced777a', 'a5b51ee7-35ee-4059-b9ae-adb0f5c3c004']",57,,,,,,,,,,,,,,,,,,Senegal,787,00:28:57.493,Carry,
,,,,"[65.0, 18.0]",,,,,,1.307,,,,,,,,,,,,,dbcfbdf3-de57-4bfc-86c7-f10840e1f6fd,2802,,"[67.0, 18.0]",7539,73,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Idrissa Gana Gueye,3436.0,Right Center Midfield,135,Senegal,787,"['1911d4b0-6252-4fc6-ae8e-bbdbfd08f34f', 'd1a5bc33-388c-4e08-84e5-b6197d180c37']",58,,,,,,,,,,,,,,,,,,Senegal,787,00:28:58.813,Carry,
,,,,"[82.0, 3.0]",,,,,,0.76,,,,,,,,,,,,,d706ffd9-e195-4be8-bad1-afa29cb26cd5,2805,,"[83.0, 3.0]",7539,74,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,M''Baye Babacar Niang,5661.0,Left Center Forward,135,Senegal,787,"['16601744-0613-4392-97b9-c50b436c797e', 'c93f8686-6571-4f6d-aae7-732dd42225d9']",1,,,,,,,,,,,,,,,,,,Senegal,787,00:29:01.373,Carry,
,,,,"[77.0, 3.0]",,,,,,0.947,,,,,,,,,,,,,de202ac9-6834-4377-b22a-38c2a16bb233,2811,,"[81.0, 3.0]",7539,74,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,M''Baye Babacar Niang,5661.0,Left Center Forward,135,Senegal,787,"['4ae2886e-5d92-46ff-b754-f5323d122392', '8b35de5e-98ba-4ae6-ac0d-f4655c659615', 'e3339966-9dbc-4406-8e1f-57796cd4d70b']",4,,,,,,,,,,,,,,,,,,Senegal,787,00:29:04.373,Carry,True
,,,,"[48.0, 2.0]",,,,,,1.76,,,,,,,,,,,,,675b2bc2-e706-4faf-bc97-57582536e3d2,2815,,"[58.0, 2.0]",7539,74,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Idrissa Gana Gueye,3436.0,Right Center Midfield,135,Senegal,787,"['181adb94-b291-403b-b368-f283542b8597', '30f23646-0b0f-414c-a17c-be3d80b4bccb', 'e68af3be-38af-40fc-8383-6048eda55e3b']",7,,,,,,,,,,,,,,,,,,Senegal,787,00:29:07.173,Carry,True
,,,,"[54.0, 42.0]",,,,,,0.16,,,,,,,,,,,,,2f0ec3f0-71db-468c-bdf4-018db037aa7d,2823,,"[53.0, 41.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan Bednarek,4626.0,Center Back,136,Poland,789,"['ae576671-f7ed-42a2-a609-9c93966aa485', 'f6a0d115-d1a0-49a2-a613-3668a744a25d']",10,,,,,,,,,,,,,,,,,,Poland,789,00:30:10.413,Carry,
,,,,"[68.0, 22.0]",,,,,,2.72,,,,,,,,,,,,,0266920e-1965-4c4f-86d7-f70db6d7965d,2826,,"[65.0, 17.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Michał Pazdan,5670.0,Left Center Back,136,Poland,789,"['4bc58afe-60cb-435e-aaa0-8107792f5d10', 'e963a1d7-9d7d-4ffd-8371-9c8afa9427ba']",11,,,,,,,,,,,,,,,,,,Poland,789,00:30:11.693,Carry,
