ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,2202688a-5e1d-49d8-a468-c9ba248cfced,1,,,7569,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama,798,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6344, 'name': 'Luis Carlos Ovalle Victoria'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6138, 'name': 'Ricardo Guardia Avila'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5629, 'name': 'Gabriel Arturo Torres Tejada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Panama,798,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,a59edd74-0a7a-44bc-851e-1a7225a1a262,2,,,7569,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama,798,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6342, 'name': 'Aymen Mathlouthi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6345, 'name': 'Rami Bedoui'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6347, 'name': 'Ghilane Chalali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tunisia,777,00:00:00.000,Starting XI,
,,,,,,,,,,,9.053,,,,,,,,,,,,4b564025-11c3-4d0b-b133-34536d7c60cc,3,,,7569,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama,798,['477ccfa7-79e7-4476-a16e-d0f4037ce367'],0,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,7.333,,,,,,,,,,,,477ccfa7-79e7-4476-a16e-d0f4037ce367,4,,,7569,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Panama,798,['4b564025-11c3-4d0b-b133-34536d7c60cc'],0,,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,baba1a73-f24f-48cb-9dc9-7fcbc6511b82,1845,,,7569,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Tunisia,777,['5920393e-b3f8-4c75-bf4c-8a7850dcc90d'],0,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,5920393e-b3f8-4c75-bf4c-8a7850dcc90d,1846,,,7569,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Tunisia,777,['baba1a73-f24f-48cb-9dc9-7fcbc6511b82'],0,,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,1.173,,,,,,,,,,,,d001e3c3-86f3-42c0-92ce-ba985657d163,5,,"[60.0, 40.0]",7569,0,,,-2.7201734,,,Left Foot,,,"[31.0, 27.0]",,Ground Pass,31.780497,,,Fidel Escobar Mendieta,5638.0,,,,,Kick Off,1,From Kick Off,Ricardo Guardia Avila,6138.0,Left Center Midfield,2,Panama,798,['0dc59209-f31e-47d4-8136-9dd8fb6610aa'],0,,,,,,,,,,,,,,,,,,Panama,798,00:00:00.067,Pass,
,,,,,,,,,,,2.933,,,,,,,,,,,,190e8102-8f88-4a16-9b10-3682c9c16cfd,9,,"[31.0, 28.0]",7569,0,,,0.5375866,,,Right Foot,,,"[83.0, 59.0]",,High Pass,60.53924,,Incomplete,Aníbal Cesis Godoy,5646.0,,,,,,1,From Kick Off,Fidel Escobar Mendieta,5638.0,Left Center Back,2,Panama,798,"['3c1ecc42-4e2d-4364-a673-f7b17b7d9aac', 'c6fdde94-2be4-4543-a5b3-c74d886a7c98', 'ff38a048-b83e-4827-84a4-3f0943b50df8']",1,,,,,,,,,,,,,,,,,,Panama,798,00:00:01.867,Pass,True
,,,,,,,,,,,2.267,,,,,,,,,,,,c6fdde94-2be4-4543-a5b3-c74d886a7c98,11,,"[38.0, 22.0]",7569,0,,,-0.22679885,,,Head,,,"[51.0, 19.0]",,High Pass,13.341664,,Incomplete,Naïm Sliti,3557.0,,,,,Recovery,1,From Kick Off,Oussama Haddadi,3252.0,Left Back,2,Panama,798,"['033456af-23e3-4f25-86cb-a25fddd5796d', '190e8102-8f88-4a16-9b10-3682c9c16cfd', '26708074-f999-4791-a32f-ed8e1d2ad6d4']",4,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:04.800,Pass,
,,,,,,,,,,,1.813,,,,,,,,,,,,033456af-23e3-4f25-86cb-a25fddd5796d,13,,"[70.0, 62.0]",7569,0,,,-1.1071488,,,Head,,,"[76.0, 50.0]",,High Pass,13.416408,,Incomplete,,,,,,,Recovery,1,From Kick Off,Adolfo Abdiel Machado,6346.0,Right Back,2,Panama,798,"['b047184a-41fa-4780-a61a-1ec23c9c8e84', 'c6fdde94-2be4-4543-a5b3-c74d886a7c98']",7,,,,,,,,,,,,,,,,,,Panama,798,00:00:07.067,Pass,
