ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,46b33c8d-8e83-4d1e-8549-acdb30daf2f0,1,,,7559,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6291, 'name': 'Yasser Abdullah Al Mosailem'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 5191, 'name': 'Mohammed Al Burayk'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5184, 'name': 'Osama Abdulrezag Hawsawi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6290, 'name': 'Motaz Ali Hassan Hawsawi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5183, 'name': 'Yasir Gharsan Al Shahrani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 5173, 'name': 'Abdullah Ibrahim Otayf'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5188, 'name': 'Hattan Babhir'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 5716, 'name': 'Hussain Al Mogahwi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5178, 'name': 'Salman Mohammed Al Faraj'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 5190, 'name': 'Fahad Mosaed Al Muwallad Al Harbi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Saudi Arabia,799,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5a23945a-c063-4fa9-88b9-aae9b330fc7a,2,,,7559,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6292, 'name': 'Essam Kamal Tawfik El Hadary'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5250, 'name': 'Ahmed Fathy Abdel Meneim Ibrahim'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 5254, 'name': 'Ali Gabr'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 4063, 'name': 'Ahmed Elsayed Ali Elsayed Hegazy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5263, 'name': 'Mohamed Abdul Shafy Sayed Abouezeid'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5262, 'name': 'Tarek Hamed'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5251, 'name': 'Abdalla Mahmoud El Said Bekhit'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5261, 'name': 'Mahmoud Ibrahim Hassan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5252, 'name': 'Marwan Mohsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Egypt,774,00:00:00.000,Starting XI,
,,,,,,,,,,,9.053,,,,,,,,,,,,,,,308ed484-e69c-47a9-8187-ff2cbaab23f4,3,,,7559,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,['c70095f4-cbf1-4c44-88be-fb260f405631'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,8.92,,,,,,,,,,,,,,,c70095f4-cbf1-4c44-88be-fb260f405631,4,,,7559,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,['308ed484-e69c-47a9-8187-ff2cbaab23f4'],0,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:00.000,Half Start,
,,,,,,,,,,,5.96,,,,,,,,,,,,,,,d8982cb4-b057-46a2-9ea0-9bd5a387cb79,1859,,,7559,45,,,,,,,,,,,,,,,,,,,2,Other,,,,77,Saudi Arabia,799,['c3a82e41-1758-4d47-a914-7a65946641d4'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,9.08,,,,,,,,,,,,,,,c3a82e41-1758-4d47-a914-7a65946641d4,1860,,,7559,45,,,,,,,,,,,,,,,,,,,2,Other,,,,77,Saudi Arabia,799,['d8982cb4-b057-46a2-9ea0-9bd5a387cb79'],0,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:00.000,Half Start,
,,,,,,,,,,,0.933,,,,,,,,,,,,,,,49d14d7d-f30d-4cc9-9782-a961b11cd858,5,,"[60.0, 40.0]",7559,0,,2.7291822,,,Right Foot,,,"[44.0, 47.0]",,Ground Pass,17.464249,,,Mohamed Naser Elsayed Elneny,3568.0,,,Kick Off,1,From Kick Off,Marwan Mohsen,5252.0,Center Forward,2,Egypt,774,['2fd09a99-c322-46e8-a957-4205530ed4c0'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.100,Pass,
,,,,,,,,,,,1.453,,,,,,,,,,,,,,,d667b55f-f937-4e59-9df8-d69b482b1c3b,8,,"[44.0, 45.0]",7559,0,,1.7818897,,,Right Foot,,,"[38.0, 73.0]",,Ground Pass,28.635643,,,Ahmed Fathy Abdel Meneim Ibrahim,5250.0,,,,1,From Kick Off,Mohamed Naser Elsayed Elneny,3568.0,Right Center Midfield,2,Egypt,774,['8219164e-1075-430c-b640-5dd7450ffbc8'],1,,,,,,,,,,,,,,,,,Egypt,774,00:00:01.200,Pass,
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,6679ad75-0833-4062-b4de-5367e262afa7,12,,"[38.0, 72.0]",7559,0,,-2.3932147,,,Right Foot,,,"[24.0, 59.0]",,Ground Pass,19.104973,,,Ali Gabr,5254.0,,,,1,From Kick Off,Ahmed Fathy Abdel Meneim Ibrahim,5250.0,Right Back,2,Egypt,774,"['91437d80-c15a-47de-972e-bc340c0fbcbe', 'e88dac8c-bbb7-406b-8c48-cc3fc093bd8e']",3,,,,,,,,,,,,,,,,,Egypt,774,00:00:03.800,Pass,True
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,6a8d8ee9-3819-468a-b86e-dbd73b8028b0,14,,"[24.0, 59.0]",7559,0,,-1.677532,,,Right Foot,,,"[21.0, 31.0]",,Ground Pass,28.160255,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,1,From Kick Off,Ali Gabr,5254.0,Right Center Back,2,Egypt,774,['65e61e60-cffb-447b-938b-afd75161357f'],5,,,,,,,,,,,,,,,,,Egypt,774,00:00:05.800,Pass,
