50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,37329f4c-e344-4bac-b0a3-5b42e9329d97,1,,,,7535,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5590, 'name': 'Johnny Acosta Zamora'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5602, 'name': 'Cristian Gamboa Luna'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 5600, 'name': 'Francisco Javier Calvo Quesada'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5599, 'name': 'David Alberto Guzmán Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5592, 'name': 'Bryan Ruiz González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5595, 'name': 'Johan Alberto Venegas Ulloa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5586, 'name': 'Marcos Danilo Ureña Porras'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,b3c40441-3f1e-4f9d-abca-5cb6ad5000f2,2,,,,7535,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 5601, 'name': 'Vladimir Stojković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5603, 'name': 'Nikola Milenković'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5580, 'name': 'Duško Tošić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 3455, 'name': 'Luka Milivojević'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Serbia,786,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,7c80f512-a0cb-4f63-b2e8-4952ad75591e,3,,,,7535,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,['c993509c-c09d-40fb-b124-7d39e541043f'],0,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,9.813,,,,,,,,,,,,,c993509c-c09d-40fb-b124-7d39e541043f,4,,,,7535,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,['7c80f512-a0cb-4f63-b2e8-4952ad75591e'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,9290608c-4f82-4f13-be9c-4b50b2adc9ad,1516,,,,7535,45,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Serbia,786,['3d29a318-1e3c-4ec5-9d55-e2bd5783c961'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,3d29a318-1e3c-4ec5-9d55-e2bd5783c961,1517,,,,7535,45,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Serbia,786,['9290608c-4f82-4f13-be9c-4b50b2adc9ad'],0,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,1.52,,,,,,,,,,,,,72f38cad-9479-4427-9c36-0299ba928f87,5,,,"[60.0, 40.0]",7535,0,,2.863293,,,Right Foot,,,"[39.0, 46.0]",Ground Pass,21.84033,,Nikola Milenković,5603.0,,,Kick Off,1,From Kick Off,Aleksandar Mitrović,4269.0,Center Forward,2,Serbia,786,['00aac54d-cea0-4d27-ad3e-38552fc3785b'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.208,Pass,
,,,,,,,,,,,,3.32,,,,,,,,,,,,,1d7f63c1-7b94-403d-bf72-0e9456b3e57e,8,,,"[40.0, 53.0]",7535,0,,-0.7531513,,,Right Foot,,,"[88.0, 8.0]",High Pass,65.795135,,Sergej Milinković-Savić,5589.0,,True,,1,From Kick Off,Nikola Milenković,5603.0,Right Center Back,2,Serbia,786,['375858d2-44a0-4454-b42d-d9721e7079ba'],3,,,,,,,,,,,,,,,,,Serbia,786,00:00:03.768,Pass,
,,,,,,,,,,,,1.027,,,,,,,,,,,,,63fd0ae6-db3c-45a8-bd27-32a968b99244,10,,,"[87.0, 8.0]",7535,0,,1.815775,,,Head,,,"[86.0, 12.0]",Low Pass,4.1231055,Incomplete,Adem Ljajić,5587.0,,,,1,From Kick Off,Sergej Milinković-Savić,5589.0,Center Attacking Midfield,2,Serbia,786,"['32a81956-c7cc-406e-bd40-fe1e7bf675d6', '7ac58a15-6f89-436c-a4d4-cf7599edcc4a']",7,,,,,,,,,,,,,,,,,Serbia,786,00:00:07.088,Pass,
,,,,,,,,,,,,0.8,,,,,,,,,,,,,5a900b3d-043c-47c5-8e32-512b0fe6b505,14,,,"[83.0, 13.0]",7535,0,,-2.2655346,,,Right Foot,,,"[78.0, 7.0]",Ground Pass,7.81025,,Aleksandar Kolarov,5596.0,,,Recovery,1,From Kick Off,Adem Ljajić,5587.0,Left Midfield,2,Serbia,786,"['1755e50c-2b4d-49a9-9d31-38adeb7192bc', 'd58d17ab-45d1-4cbc-9a1b-aae1ddbdcc14']",9,,,,,,,,,,,,,,,,,Serbia,786,00:00:09.328,Pass,True
