50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,14ca13b2-3490-4916-831d-d0b54aec1a8a,1,,,,7548,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,38.786,,,,,,,,,,,,a95529be-109f-476c-8bdb-a18376072dbf,2,,,,7548,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5590, 'name': 'Johnny Acosta Zamora'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5602, 'name': 'Cristian Gamboa Luna'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5599, 'name': 'David Alberto Guzmán Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5595, 'name': 'Johan Alberto Venegas Ulloa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5592, 'name': 'Bryan Ruiz González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5586, 'name': 'Marcos Danilo Ureña Porras'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,aa238766-3417-4871-8fe0-11485a47a37d,3,,,,7548,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['15480c9d-f4c8-4fef-911e-e5504c212e36'],0,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,15480c9d-f4c8-4fef-911e-e5504c212e36,4,,,,7548,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['aa238766-3417-4871-8fe0-11485a47a37d'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,6.613,,,,,,,,,,,,cba375c3-dcdc-4101-b0be-4871750f194d,1928,,,,7548,45,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Costa Rica,795,['d4fb2214-ab0c-4015-91a8-1a09a00e7a71'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,5.0,,,,,,,,,,,,d4fb2214-ab0c-4015-91a8-1a09a00e7a71,1929,,,,7548,45,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Costa Rica,795,['cba375c3-dcdc-4101-b0be-4871750f194d'],0,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.76,,,,,,,,,,,,c6758a85-e41e-430c-85f0-8646bfc26f31,5,,,"[61.0, 41.0]",7548,0,,-3.116598,,,Right Foot,,,"[21.0, 40.0]",,Ground Pass,40.012497,,Keylor Navas Gamboa,5597.0,,,Kick Off,1,From Kick Off,Marcos Danilo Ureña Porras,5586.0,Center Forward,2,Costa Rica,795,['8cec50ae-f21f-4c82-8a9b-1739640b78e1'],1,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:01.080,Pass,
,,,,,,,,,,,,,,3.72,,,,,,,,,,,,dc30de29-8e5a-43e3-9a14-176fe177b45f,9,,,"[24.0, 46.0]",7548,0,,0.22679885,,,Right Foot,,,"[89.0, 61.0]",,High Pass,66.70832,Incomplete,Johan Alberto Venegas Ulloa,5595.0,,,,1,From Kick Off,Keylor Navas Gamboa,5597.0,Goalkeeper,2,Costa Rica,795,"['90e2af19-d896-43dd-bbfb-ce321b77a6f2', 'd7d6cd97-98c0-495c-90ff-6b240e257e36', 'ed040a70-f7a2-41bf-a436-1ddcf5f49ba0']",5,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:05.200,Pass,True
,,,,,,,,,,,,,,0.24,,,,,,,,,,,,90e2af19-d896-43dd-bbfb-ce321b77a6f2,12,,,"[34.0, 22.0]",7548,0,True,0.0,,,,,,"[35.0, 22.0]",,High Pass,1.0,Incomplete,,,,,Recovery,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Costa Rica,795,"['1a9afaf3-d578-47c2-9435-13418cee4f4e', '2adcbaf9-c2b7-4d4f-8b35-9cd0840a9a91', 'dc30de29-8e5a-43e3-9a14-176fe177b45f']",8,,,,,,,,,,,,,,,,,Brazil,781,00:00:08.920,Pass,True
,,,,,,,,,,,,,,2.16,,,,,,,,,,,,f14ae668-d23f-4787-a6e4-155c5e9b17e6,14,,,"[36.0, 27.0]",7548,0,,0.7140907,,,Right Foot,,,"[51.0, 40.0]",,High Pass,19.849434,,Willian Borges da Silva,3472.0,,,Recovery,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Right Center Midfield,2,Costa Rica,795,['e985b16e-7354-4537-8863-3756334efbf8'],10,,,,,,,,,,,,,,,,,Brazil,781,00:00:10.720,Pass,
