50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,0e701420-5596-4791-a58a-18ae7974ad96,1,,,7541,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 5680, 'name': 'Oscar Fabián Murillo Murillo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5692, 'name': 'Juan Fernando Quintero Paniagua'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3279, 'name': 'José Heriberto Izquierdo Mena'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 3445, 'name': 'Radamel Falcao García Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,219b92da-bb61-4d4f-80ee-16cff938de6a,2,,,7541,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3175, 'name': 'Eiji Kawashima'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5682, 'name': 'Gen Shōji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5693, 'name': 'Gaku Shibasaki'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,2bac3ee3-7219-4f53-a36e-00985325c861,3,,,7541,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['56f57f34-b57f-47e7-8c60-257d3bf3343c'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,56f57f34-b57f-47e7-8c60-257d3bf3343c,4,,,7541,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Colombia,769,['2bac3ee3-7219-4f53-a36e-00985325c861'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,8.333,,,,,,,,,,,,,bde9b7cf-d953-4f62-b22d-0a67fdf51008,1741,,,7541,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Colombia,769,['0f9b31cc-fb75-40a0-9a27-3d240a1c59c4'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,0f9b31cc-fb75-40a0-9a27-3d240a1c59c4,1742,,,7541,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Colombia,769,['bde9b7cf-d953-4f62-b22d-0a67fdf51008'],0,,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,1.4,,,,,,,,,,,,,c8013a1c-a5b1-41c7-af3f-6d3df47d4edd,5,,"[60.0, 40.0]",7541,0,,3.1415927,,,Right Foot,,,"[45.0, 40.0]",,Ground Pass,15.0,,,Makoto Hasebe,5681.0,,,Kick Off,1,From Kick Off,Shinji Kagawa,5684.0,Center Attacking Midfield,2,Japan,778,['5020a089-fc2d-49a6-b61a-f3adcdd83a63'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.160,Pass,
,,,,,,,,,,,,1.039,,,,,,,,,,,,,6bdc1be0-7920-496d-adac-5e8d5de00212,8,,"[43.0, 43.0]",7541,0,,1.9756881,,,Right Foot,,,"[37.0, 57.0]",,Ground Pass,15.231546,,,Maya Yoshida,3300.0,,,,1,From Kick Off,Makoto Hasebe,5681.0,Left Center Midfield,2,Japan,778,['729627b5-53b5-406b-9e45-095fd338ae7d'],1,,,,,,,,,,,,,,,,,Japan,778,00:00:01.800,Pass,
,,,,,,,,,,,,3.027,,,,,,,,,,,,,0aed4f4e-08e4-478d-bd32-f7da1fda900b,12,,"[47.0, 61.0]",7541,0,,-0.16183743,,,Right Foot,,,"[96.0, 53.0]",,High Pass,49.648766,,Incomplete,Yūya Ōsako,5679.0,,,,1,From Kick Off,Maya Yoshida,3300.0,Right Center Back,2,Japan,778,"['bff84832-a3a0-410f-b4ff-e269338dd24c', 'e513159c-ce9c-466e-880c-ec27a92e0cd1']",6,,,,,,,,,,,,,,,,,Japan,778,00:00:06.840,Pass,
,,,,,,,,,,,,2.013,,,,,,,,,,,,,e513159c-ce9c-466e-880c-ec27a92e0cd1,14,,"[25.0, 28.0]",7541,0,,-0.124354996,,,Head,,,"[49.0, 25.0]",,High Pass,24.186773,,Incomplete,José Heriberto Izquierdo Mena,3279.0,,,Recovery,1,From Kick Off,Oscar Fabián Murillo Murillo,5680.0,Left Center Back,2,Japan,778,"['0aed4f4e-08e4-478d-bd32-f7da1fda900b', '308a5381-38d6-44e8-abe0-6fa116f29e94', '7e6acd2f-5aba-4912-b993-a1fe27867568']",9,,,,,,,,,,,,,,,,,Colombia,769,00:00:09.867,Pass,
