ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,2619c91e-36e3-432a-b91d-d3b46a5e3809,1,,,7544,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5267, 'name': 'Néstor Fernando Muslera Micol'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5264, 'name': 'Guillermo Varela Olivera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5260, 'name': 'Rodrigo Bentancur Colmán'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5268, 'name': 'Carlos Andrés Sánchez Arcosa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 5}, {'player': {'id': 5256, 'name': 'Cristian Gabriel Rodríguez Barrotti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,8c6924ed-e47e-4469-a517-538bee088fb0,2,,,7544,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5714, 'name': 'Mohammed Khalil Al Owais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 5191, 'name': 'Mohammed Al Burayk'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5184, 'name': 'Osama Abdulrezag Hawsawi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5715, 'name': 'Ali Albulayhi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5183, 'name': 'Yasir Gharsan Al Shahrani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 5185, 'name': 'Taisir Jabir Al Jassim'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5173, 'name': 'Abdullah Ibrahim Otayf'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5188, 'name': 'Hattan Babhir'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5178, 'name': 'Salman Mohammed Al Faraj'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 5190, 'name': 'Fahad Mosaed Al Muwallad Al Harbi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Saudi Arabia,799,00:00:00.000,Starting XI,
,,,,,,,,,,,,8.04,,,,,,,,,,,,e377bae0-78a2-45d7-a6c1-bd614bfd6339,3,,,7544,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['2636ba21-1373-4c93-97ea-f3610b949da9'],0,,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:00.000,Half Start,
,,,,,,,,,,,,9.053,,,,,,,,,,,,2636ba21-1373-4c93-97ea-f3610b949da9,4,,,7544,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['e377bae0-78a2-45d7-a6c1-bd614bfd6339'],0,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,9.8,,,,,,,,,,,,b5a80fb0-1f37-4e2b-811d-53b784c5b841,2067,,,7544,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Saudi Arabia,799,['0622485b-61fc-4852-952d-3cef38c361e8'],0,,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:00.000,Half Start,
,,,,,,,,,,,,7.213,,,,,,,,,,,,0622485b-61fc-4852-952d-3cef38c361e8,2068,,,7544,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Saudi Arabia,799,['b5a80fb0-1f37-4e2b-811d-53b784c5b841'],0,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,0.993,,,,,,,,,,,,2a31d142-43f8-4c80-9e1d-a36c46dc92f3,5,,"[61.0, 40.0]",7544,0,,3.0118902,,,Right Foot,,,,"[38.0, 43.0]",,Ground Pass,23.194826,,Abdullah Ibrahim Otayf,5173.0,,,,,Kick Off,1,From Kick Off,Fahad Mosaed Al Muwallad Al Harbi,5190.0,Center Forward,2,Saudi Arabia,799,['f8e26318-c09a-4a3c-bcce-7dc15ed658b3'],0,,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:00.001,Pass,
,,,,,,,,,,,,2.92,,,,,,,,,,,,b22dc4d1-aa54-497e-a079-dc66e191564b,9,,"[39.0, 43.0]",7544,0,,-0.5431896,,,Right Foot,,,,"[92.0, 11.0]",,High Pass,61.91123,,Yasir Gharsan Al Shahrani,5183.0,,,,,,1,From Kick Off,Abdullah Ibrahim Otayf,5173.0,Left Center Midfield,2,Saudi Arabia,799,"['5acbc2d4-1796-4ab0-9b0b-46026769c1da', 'c9bbe1c4-2b17-4996-8640-1c13d57215aa']",2,,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:02.101,Pass,True
,,,,,,,,,,,,3.04,,,,,,,,,,,,1f5f2839-b6e9-43f2-af76-8a3dedd48d88,11,,"[92.0, 11.0]",7544,0,,-0.14189705,,,Head,,,,"[120.0, 7.0]",,Low Pass,28.284271,Out,Salem Mohammed Al Dawsari,5187.0,,,,,,1,From Kick Off,Yasir Gharsan Al Shahrani,5183.0,Left Back,2,Saudi Arabia,799,['c17472d8-4285-49f2-893e-5a02218d7d18'],5,,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:05.021,Pass,
,,,,,,,,,,,,2.44,,,,,,,,,,,,0210fef2-ef91-4d8b-bcd9-52394a3633f1,13,,"[7.0, 33.0]",7544,0,,1.3415644,,,Right Foot,,,,"[14.0, 63.0]",,Ground Pass,30.805843,,José María Giménez de Vargas,5259.0,,,,,Goal Kick,1,From Goal Kick,Néstor Fernando Muslera Micol,5267.0,Goalkeeper,3,Uruguay,783,['c5b7e6ef-e29b-402a-a8b8-2be0e5cbdd6a'],22,,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:22.421,Pass,
