ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,2.652,,,,,,,,,,6d2a40a2-209d-415e-ad01-9fba94d79cf0,1,,,7562,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5493, 'name': 'Tomi Jurić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Australia,792,00:00:00.000,Starting XI,
,,,,,,,,,,,2.119,,,,,,,,,,9ce81ff7-f7da-43b6-ab8f-b789a3ac8809,2,,,7562,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5528, 'name': 'Pedro David Gallese Quiróz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5521, 'name': 'Luis Jan Piers Advíncula Castrillón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 5530, 'name': 'Christian Guillermo Martín Ramos Garagay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5738, 'name': 'Anderson Santamaría Bardales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5518, 'name': 'Miguel Ángel Trauco Saavedra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5523, 'name': 'Renato Fabrizio Tapia Cortijo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5529, 'name': 'Víctor Yoshimar Yotún Flores'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3632, 'name': 'André Martín Carrillo Díaz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 5525, 'name': 'Édison Michael Flores Peralta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 5519, 'name': 'Christian Alberto Cueva Bravo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5535, 'name': 'José Paolo Guerrero Gonzáles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Peru,784,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,8eaae8c9-cc35-4c73-be46-544140072e9d,3,,,7562,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,['fc854cae-a1b5-4eaa-91c0-577ff1414d76'],0,,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,fc854cae-a1b5-4eaa-91c0-577ff1414d76,4,,,7562,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,['8eaae8c9-cc35-4c73-be46-544140072e9d'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,23bd19cd-918c-49a9-adef-8dc16c252004,1868,,,7562,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Australia,792,['1ac8f9c2-93d9-4f09-8f13-e5ae5790d916'],0,,,,,,,,,,,,,,,,,Peru,784,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,1ac8f9c2-93d9-4f09-8f13-e5ae5790d916,1869,,,7562,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Australia,792,['23bd19cd-918c-49a9-adef-8dc16c252004'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,1.013,,,,,,,,,,e3b4ec29-6aa2-4391-a1a4-1ba4bf30fe74,5,,"[60.0, 41.0]",7562,0,,-3.0791738,,,Right Foot,,,,"[44.0, 40.0]",,Ground Pass,16.03122,,Renato Fabrizio Tapia Cortijo,5523.0,,,Kick Off,1,From Kick Off,José Paolo Guerrero Gonzáles,5535.0,Center Forward,2,Peru,784,['faaa2ae8-eba1-4f29-b2bf-70bfcec171f0'],1,,,,,,,,,,,,,,,,,Peru,784,00:00:01.307,Pass,
,,,,,,,,,,,1.32,,,,,,,,,,57316421-d1f3-4511-97d3-ecb0348de7f6,8,,"[46.0, 41.0]",7562,0,,-2.0344439,,,Right Foot,,,,"[39.0, 27.0]",,Ground Pass,15.652476,,Víctor Yoshimar Yotún Flores,5529.0,,,,1,From Kick Off,Renato Fabrizio Tapia Cortijo,5523.0,Right Defensive Midfield,2,Peru,784,['5328e966-2d9a-41dc-b84b-49b9f4b846b7'],3,,,,,,,,,,,,,,,,,Peru,784,00:00:03.520,Pass,
,,,,,,,,,,,2.773,,,,,,,,,,8ba8268f-5472-49ef-9e1e-8ddb1eab728c,12,,"[40.0, 28.0]",7562,0,,1.549523,,,Left Foot,,,,"[41.0, 75.0]",,Ground Pass,47.010635,,Luis Jan Piers Advíncula Castrillón,5521.0,,True,,1,From Kick Off,Víctor Yoshimar Yotún Flores,5529.0,Left Defensive Midfield,2,Peru,784,['8b541eca-e592-40ef-9011-fbc0d2c8d1df'],5,,,,,,,,,,,,,,,,,Peru,784,00:00:05.867,Pass,
,,,,,,,,,,,1.973,,,,,,,,,,69c7c2c9-6c5c-45c1-81cd-19de7f9e2054,15,,"[43.0, 76.0]",7562,0,,-1.7126933,,,Right Foot,,,,"[38.0, 41.0]",,Ground Pass,35.35534,,Anderson Santamaría Bardales,5738.0,,,,1,From Kick Off,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,2,Peru,784,['9b26ee25-28a8-45e7-a3c4-45178fe9ee5a'],11,,,,,,,,,,,,,,,,,Peru,784,00:00:11.107,Pass,
