ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,1.96,,,,,,,,,,,,,94f17320-af22-43ab-82ca-962453104f54,17,,"[24.0, 54.0]",7584,0,,,-1.9237868,,,Right Foot,,"[17.0, 35.0]",,Ground Pass,20.248457,,Vincent Kompany,3101.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Belgium,782,['22f975f0-bb1f-4f44-a745-b2a2c554f494'],11,,,,,,,,,,,,,,,,,,Belgium,782,00:00:11.440,Pass,
,,,,,,,,,,2.36,,,,,,,,,,,,,3beadbee-6008-42c0-973f-48c8e54af912,20,,"[17.0, 35.0]",7584,0,,,-1.5707964,,,Right Foot,,"[17.0, 6.0]",,Ground Pass,29.0,,Jan Vertonghen,3077.0,,,,,,1,From Kick Off,Vincent Kompany,3101.0,Center Back,2,Belgium,782,"['01bdf6a2-68b4-4b1c-835a-23dfd3ae76d9', 'a5ec50d2-7aa6-4cfe-afc8-49720479db29']",13,,,,,,,,,,,,,,,,,,Belgium,782,00:00:13.400,Pass,True
,,,,,,,,,,1.213,,,,,,,,,,,,,a17adbc0-0095-48f5-8464-5a92301bbb6a,24,,"[18.0, 5.0]",7584,0,,,-0.20749623,,,Left Foot,,"[37.0, 1.0]",,Low Pass,19.416489,Out,Yannick Ferreira Carrasco,5633.0,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['3a82c4d8-f462-4386-9e7f-5ee161a3dc7f'],16,,,,,,,,,,,,,,,,,,Belgium,782,00:00:16.200,Pass,
,,,,,,,,,,0.813,,,,,,,,,,,,,025a7328-aef2-4802-a1e4-18ae08bc1cc8,27,,"[88.0, 80.0]",7584,0,,,-0.27829966,,,,,"[95.0, 78.0]",,Low Pass,7.28011,,Gaku Shibasaki,5693.0,,,,,Throw-in,1,From Throw In,Hiroki Sakai,3530.0,Right Back,3,Japan,778,['175c49a6-99da-403e-ae4a-b0aa7199f7ec'],34,,,,,,,,,,,,,,,,,,Japan,778,00:00:34.280,Pass,
,,,,,,,,,,0.24,,,,,,,,,,,,,6b4c24f0-dfe6-46a8-9548-6ae10a1d8174,31,,"[98.0, 78.0]",7584,0,,,-0.7853982,,,Right Foot,,"[99.0, 77.0]",,Ground Pass,1.4142135,Incomplete,Yūya Ōsako,5679.0,,,,,,1,From Throw In,Gaku Shibasaki,5693.0,Left Defensive Midfield,3,Japan,778,"['55f3843b-e362-45a3-bef0-abfc44a9d470', 'b46dd8e8-0957-4478-a0a0-72142e75f5da', 'b4fde13c-c641-4d19-bcd5-0708c88f0749']",36,,,,,,,,,,,,,,,,,,Japan,778,00:00:36.440,Pass,True
,,,,,,,,,,1.32,,,,,,,,,,,,,bb40110e-1ced-4966-bca7-554077463808,34,,"[100.0, 70.0]",7584,0,,,-2.4393358,,,Right Foot,,"[87.0, 59.0]",,Ground Pass,17.029387,,Makoto Hasebe,5681.0,,,,,Recovery,1,From Throw In,Yūya Ōsako,5679.0,Center Forward,3,Japan,778,['251b4521-ec62-40d8-aa85-3ae3ae1b5f0b'],38,,,,,,,,,,,,,,,,,,Japan,778,00:00:38.360,Pass,
,,,,,,,,,,2.28,,,,,,,,,,,,,11b288f1-4c08-4d96-a03f-34a702f083b7,38,,"[87.0, 57.0]",7584,0,,,-1.6724852,,,Right Foot,,"[82.0, 8.0]",,High Pass,49.25444,,Yuto Nagatomo,5690.0,,True,,,,1,From Throw In,Makoto Hasebe,5681.0,Right Defensive Midfield,3,Japan,778,"['83c244ea-84c1-4aa9-a0fa-7ed65fe0d1f0', 'c2d46db3-62e2-4456-b6f5-d117a91ffa0e']",40,,,,,,,,,,,,,,,,,,Japan,778,00:00:40.640,Pass,True
,,,,,,,,,,1.48,,,,,,,,,,,,,653a319c-e6e1-45cb-83e9-8d8c63cbf437,41,,"[82.0, 8.0]",7584,0,,,2.4668517,,,Left Foot,,"[72.0, 16.0]",,Ground Pass,12.806249,,Gen Shōji,5682.0,,,,,,1,From Throw In,Yuto Nagatomo,5690.0,Left Back,3,Japan,778,['d2c3ac02-5123-418b-b3bf-3d3c0525565b'],45,,,,,,,,,,,,,,,,,,Japan,778,00:00:45.520,Pass,
,,,,,,,,,,2.6,,,,,,,,,,,,,d66e8e9c-dd95-43db-8623-44a3004462a9,44,,"[72.0, 16.0]",7584,0,,,0.9526521,,,Right Foot,,"[104.0, 61.0]",,High Pass,55.21775,Incomplete,,,,True,,,,1,From Throw In,Gen Shōji,5682.0,Left Center Back,3,Japan,778,['4b28621e-c3b5-4d24-9c84-0d4450611255'],48,,,,,,,,,,,,,,,,,,Japan,778,00:00:48.280,Pass,
,,,,,,,,,,1.6,,,,,,,,,,,,,4b28621e-c3b5-4d24-9c84-0d4450611255,45,,"[17.0, 20.0]",7584,0,,,0.7086263,,,Head,,"[24.0, 26.0]",,High Pass,9.219544,Incomplete,,,,,,,Recovery,1,From Throw In,Yannick Ferreira Carrasco,5633.0,Left Wing Back,3,Japan,778,"['d2ad9613-c3d0-46ad-9511-56b17198e281', 'd66e8e9c-dd95-43db-8623-44a3004462a9']",50,,,,,,,,,,,,,,,,,,Belgium,782,00:00:50.880,Pass,
,,,,,,,,,,1.653,,,,,,,,,,,,,f0c59b6e-53d2-42e1-a428-703adcac9c7b,50,,"[5.0, 39.0]",7584,1,,,-1.4968573,,,Right Foot,,"[7.0, 12.0]",,Ground Pass,27.073973,,Jan Vertonghen,3077.0,,,,,Goal Kick,1,From Goal Kick,Thibaut Courtois,3509.0,Goalkeeper,4,Belgium,782,['423635c4-659a-4b91-ab6c-ddb423b848b4'],11,,,,,,,,,,,,,,,,,,Belgium,782,00:01:11.080,Pass,
,,,,,,,,,,3.04,,,,,,,,,,,,,db845e69-d123-49b8-93e4-a2664d751010,53,,"[15.0, 6.0]",7584,1,,,0.4266275,,,Left Foot,,"[70.0, 31.0]",,High Pass,60.41523,Incomplete,Romelu Lukaku Menama,3289.0,,,,,,1,From Goal Kick,Jan Vertonghen,3077.0,Left Center Back,4,Belgium,782,"['065c7370-667e-4102-8458-c5f22c4e1364', 'baf0864a-b90b-4908-9a19-79916c9f5926']",16,,,,,,,,,,,,,,,,,,Belgium,782,00:01:16.960,Pass,
,,,,,,,,,,2.08,,,,,,,,,,,,,065c7370-667e-4102-8458-c5f22c4e1364,55,,"[51.0, 50.0]",7584,1,,,0.06241881,,,Head,,"[67.0, 51.0]",,High Pass,16.03122,Incomplete,,,,,,,Recovery,1,From Goal Kick,Maya Yoshida,3300.0,Right Center Back,4,Belgium,782,"['0c32c050-33d6-46cd-ac43-e1fa1f4fa29f', 'db845e69-d123-49b8-93e4-a2664d751010']",20,,,,,,,,,,,,,,,,,,Japan,778,00:01:20.000,Pass,
,,,,,,,,,,1.48,,,,,,,,,,,,,0c32c050-33d6-46cd-ac43-e1fa1f4fa29f,57,,"[59.0, 28.0]",7584,1,,True,-0.32175055,,,,,"[65.0, 26.0]",,High Pass,6.3245554,Incomplete,Romelu Lukaku Menama,3289.0,,,,,Recovery,1,From Goal Kick,Kevin De Bruyne,3089.0,Right Center Midfield,4,Belgium,782,"['065c7370-667e-4102-8458-c5f22c4e1364', '6283139c-d84c-4d97-8dd4-96e3c1257301', 'bda9406a-af66-4d50-90bc-cef6eabbf747', 'e7a1e784-0378-40ee-a0ff-a6fdaa7c9903']",22,,,,,,,,,,,,,,,,,,Belgium,782,00:01:22.080,Pass,True
,,,,,,,,,,1.24,,,,,,,,,,,,,6283139c-d84c-4d97-8dd4-96e3c1257301,59,,"[56.0, 55.0]",7584,1,,,-0.09065989,,,Right Foot,,"[78.0, 53.0]",,High Pass,22.090721,Pass Offside,Yūya Ōsako,5679.0,,,,,Recovery,1,From Goal Kick,Gaku Shibasaki,5693.0,Left Defensive Midfield,4,Belgium,782,"['0c32c050-33d6-46cd-ac43-e1fa1f4fa29f', 'd5311fd5-55b8-45e3-aa79-ad8f321c05fc']",23,,,,,,,,,,,,,,,,,,Japan,778,00:01:23.560,Pass,
,,,,,,,,,,0.84,,,,,,,,,,,,,1d79cdb2-244d-4ccd-9799-f53e8d8018b0,61,,"[24.0, 22.0]",7584,1,,,-0.41822433,,,Right Foot,,"[33.0, 18.0]",,Ground Pass,9.848858,,Jan Vertonghen,3077.0,,,,,Free Kick,1,From Free Kick,Vincent Kompany,3101.0,Center Back,5,Belgium,782,['baf7656b-7744-4434-8285-df61a4d07541'],35,,,,,,,,,,,,,,,,,,Belgium,782,00:01:35.160,Pass,
,,,,,,,,,,1.133,,,,,,,,,,,,,ac741c0a-b3a1-4aed-bede-c5b48e799b58,63,,"[34.0, 22.0]",7584,1,,,-3.041924,,,Right Foot,,"[24.0, 21.0]",,Ground Pass,10.049875,,Vincent Kompany,3101.0,,,,,,1,From Free Kick,Jan Vertonghen,3077.0,Left Center Back,5,Belgium,782,['e76b4652-a1b0-4bc3-9f69-8da3a5291a82'],36,,,,,,,,,,,,,,,,,,Belgium,782,00:01:36.000,Pass,
,,,,,,,,,,2.36,,,,,,,,,,,,,95487e8a-e8a2-47fa-9efc-7edc3b66bbd5,66,,"[22.0, 22.0]",7584,1,,,1.5707964,,,Right Foot,,"[22.0, 46.0]",,Ground Pass,24.0,,Toby Alderweireld,20005.0,,,,,,1,From Free Kick,Vincent Kompany,3101.0,Center Back,5,Belgium,782,['222f852b-0ee0-4cae-a910-21783d4b455d'],37,,,,,,,,,,,,,,,,,,Belgium,782,00:01:37.960,Pass,
