ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,2.587,,,,,,,,,,,,,,,feef5739-ea29-4a87-80ea-d72e69f91c7d,21,,"[31.0, 8.0]",7529,0,,0.48603192,,,Left Foot,,,,"[84.0, 36.0]",High Pass,59.94164,,Incomplete,Ante Rebić,5465.0,,,,,,1,Regular Play,Ivan Strinić,5457.0,Left Back,4,Croatia,785,"['56ab7bb5-c9c1-4972-bc1e-02c245027e81', 'ce732a3d-a025-4407-a8e2-baa39f8393d9']",52,,,,,,,,,,,,,,,Croatia,785,00:00:52.960,Pass,
,,,,,,,,,,,,3.213,,,,,,,,,,,,,,,56ab7bb5-c9c1-4972-bc1e-02c245027e81,23,,"[37.0, 45.0]",7529,0,,0.69473827,,,Head,,,,"[43.0, 50.0]",High Pass,7.81025,,Incomplete,Onyinye Wilfred Ndidi,3338.0,,,,,Recovery,1,Regular Play,Brian Oladapo Idowu,5462.0,Left Back,4,Croatia,785,"['b8b11805-2087-43b6-a400-1d2242f13953', 'bcce2f1f-38d6-4058-abe7-71de8189a930', 'feef5739-ea29-4a87-80ea-d72e69f91c7d']",55,,,,,,,,,,,,,,,Nigeria,775,00:00:55.547,Pass,
,,,,,,,,,,,,0.799,,,,,,,,,,,,,,,bcce2f1f-38d6-4058-abe7-71de8189a930,25,,"[78.0, 31.0]",7529,0,,-2.634494,,,Head,,,,"[69.0, 26.0]",High Pass,10.29563,,,Luka Modrić,5463.0,,,,,Recovery,1,Regular Play,Ante Rebić,5465.0,Left Wing,4,Croatia,785,"['56ab7bb5-c9c1-4972-bc1e-02c245027e81', '6d7d014e-3a8d-4032-87ad-e67fcbf420dd']",58,,,,,,,,,,,,,,,Croatia,785,00:00:58.760,Pass,
,,,,,,,,,,,,0.679,,,,,,,,,,,,,,,1a2d0a46-2fe0-472e-8222-19ab429f9f7a,28,,"[71.0, 27.0]",7529,0,,2.1112158,,,Other,,,,"[68.0, 32.0]",Low Pass,5.8309517,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,4,Croatia,785,['2313253b-a416-4440-9ddc-95bc52d9decc'],59,,,,,,,,,,,,,,,Croatia,785,00:00:59.680,Pass,
,,,,,,,,,,,,1.599,,,,,,,,,,,,,,,2b8c26f9-a4af-4da6-962e-013536a48c85,31,,"[69.0, 31.0]",7529,1,,-1.8045396,,,Right Foot,,,,"[64.0, 10.0]",Ground Pass,21.587032,,,Ivan Strinić,5457.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,4,Croatia,785,['ff255f74-b4b8-476e-b621-c35f338cba5c'],0,,,,,,,,,,,,,,,Croatia,785,00:01:00.440,Pass,
,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,81afd9ce-3628-4b11-b560-d02c7e31f684,35,,"[63.0, 15.0]",7529,1,,2.6224465,,,Left Foot,,,,"[56.0, 19.0]",Ground Pass,8.062258,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Ivan Strinić,5457.0,Left Back,4,Croatia,785,"['307e1551-a64d-464a-9ff9-393da4cb0690', 'ea244a89-1a9d-44d8-b7fa-84142b43f5b0']",3,,,,,,,,,,,,,,,Croatia,785,00:01:03.240,Pass,True
,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,5861fbf7-2bc3-4cf6-aa8b-1204cc6a8ab5,38,,"[50.0, 19.0]",7529,1,,1.9359977,,,Right Foot,,,,"[37.0, 53.0]",Ground Pass,36.40055,,,Dejan Lovren,3471.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,4,Croatia,785,['91cebe1e-fe97-42c7-ba45-a1fd6810880c'],4,,,,,,,,,,,,,,,Croatia,785,00:01:04.960,Pass,
,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,5436920f-cbbb-4972-9e0c-bc52501d9b81,41,,"[39.0, 57.0]",7529,1,,-1.6588037,,,Right Foot,,,,"[36.0, 23.0]",Ground Pass,34.132095,,,Domagoj Vida,5468.0,,,,,,1,Regular Play,Dejan Lovren,3471.0,Right Center Back,4,Croatia,785,['34cacb57-c8e2-467d-9aa1-96930c0f7e31'],9,,,,,,,,,,,,,,,Croatia,785,00:01:09.520,Pass,
,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,1e9438ea-68dc-4b45-95b6-61e81881fb91,44,,"[36.0, 23.0]",7529,1,,-0.8379812,,,Right Foot,,,,"[45.0, 13.0]",Ground Pass,13.453624,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Domagoj Vida,5468.0,Left Center Back,4,Croatia,785,['b4d14701-cf0e-414a-818e-ac9c904277e8'],11,,,,,,,,,,,,,,,Croatia,785,00:01:11.960,Pass,
,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,194cbc1b-012e-4132-98d4-ddc76b3069eb,47,,"[40.0, 15.0]",7529,1,,2.0647378,,,Left Foot,,,,"[33.0, 28.0]",Ground Pass,14.764823,,,Domagoj Vida,5468.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,4,Croatia,785,['da259217-7a8a-4879-957e-c7fc9b69ecf1'],14,,,,,,,,,,,,,,,Croatia,785,00:01:14.520,Pass,
,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,cf1c5c17-1163-4a92-8a93-2421a0e7799c,50,,"[31.0, 33.0]",7529,1,,1.2277724,,,Right Foot,,,,"[41.0, 61.0]",Ground Pass,29.732138,,,Luka Modrić,5463.0,,,,,,1,Regular Play,Domagoj Vida,5468.0,Left Center Back,4,Croatia,785,['3246139c-f4b4-4adf-8c75-d9bca7c6b770'],17,,,,,,,,,,,,,,,Croatia,785,00:01:17.480,Pass,
