50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,60ea30ee-a8aa-40f2-acc6-b06d24d2bd82,1,,,,7530,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5eea73ff-17ce-4667-b914-a2d1ea6f127a,2,,,,7530,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5486, 'name': 'Andrew Nabbout'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Australia,792,00:00:00.000,Starting XI,
,,,,,,,,,,,,9.56,,,,,,,,,,,,,,,c961ab26-cec5-43d2-9273-f1e8217bced0,3,,,,7530,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['b63b256c-12e1-4423-ab1e-596b233b96a1'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,9.653,,,,,,,,,,,,,,,b63b256c-12e1-4423-ab1e-596b233b96a1,4,,,,7530,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['c961ab26-cec5-43d2-9273-f1e8217bced0'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,9.933,,,,,,,,,,,,,,,ff70669d-0728-4fb2-9ebd-73b80e5c6c71,1868,,,,7530,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,France,771,['14e687d5-608c-4a66-bb41-e4f6a598e09c'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,9.32,,,,,,,,,,,,,,,14e687d5-608c-4a66-bb41-e4f6a598e09c,1869,,,,7530,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,France,771,['ff70669d-0728-4fb2-9ebd-73b80e5c6c71'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,93e9a150-44e6-4c17-8489-42b30665e69b,5,,,"[61.0, 41.0]",7530,0,,3.1415927,,,Right Foot,,,"[34.0, 41.0]",Ground Pass,27.0,,Trent Sainsbury,5478.0,,,,,Kick Off,1,From Kick Off,Andrew Nabbout,5486.0,Center Forward,2,Australia,792,['c5b4a565-935b-4791-aa97-d06f5c097517'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.929,Pass,
,,,,,,,,,,,,3.16,,,,,,,,,,,,,,,21e3e7b2-4763-498f-8ef7-9d5845cba526,8,,,"[38.0, 41.0]",7530,0,,-0.7492693,,,Right Foot,,,"[81.0, 1.0]",High Pass,58.728188,Out,,,,True,,,,1,From Kick Off,Trent Sainsbury,5478.0,Right Center Back,2,Australia,792,,4,,,,,,,,,,,,,,,,,Australia,792,00:00:04.609,Pass,
,,,,,,,,,,,,0.933,,,,,,,,,,,,,,,6210c14a-d6eb-4188-a54b-f1761a5b7409,9,,,"[36.0, 80.0]",7530,0,,-0.5880026,,,,,,"[42.0, 76.0]",Low Pass,7.2111025,,Corentin Tolisso,5480.0,,,,,Throw-in,1,From Throw In,Benjamin Pavard,5476.0,Right Back,3,France,771,['aa30937a-a7a6-4985-aabd-6b1f52f75924'],15,,,,,,,,,,,,,,,,,France,771,00:00:15.796,Pass,
,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,68913ee0-548a-4dc8-a160-df7baea83494,12,,,"[43.0, 76.0]",7530,0,,2.6011732,,,Right Foot,,,"[38.0, 79.0]",Low Pass,5.8309517,,Benjamin Pavard,5476.0,,,,,,1,From Throw In,Corentin Tolisso,5480.0,Right Center Midfield,3,France,771,"['23fdf798-2d57-4a49-99ad-8d1bd00dc6f0', 'bcc51e42-d186-4e94-b0c3-ce35d8b28837']",16,,,,,,,,,,,,,,,,,France,771,00:00:16.729,Pass,True
