bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.04,,,,,,,,,,,,8fc82cb7-097f-444c-9a40-f1d852687204,17,,,"[29.0, 15.0]",7536,0,,2.4468544,,,Right Foot,,,"[23.0, 20.0]",,Ground Pass,7.81025,,,Jan Vertonghen,3077.0,,,,,,1,Regular Play,Yannick Ferreira Carrasco,5633.0,Left Wing Back,3,Belgium,782,['8d07da1e-e99c-4099-bf80-e779f76efae4'],15,,,,,,,,,,,,,,,,,Belgium,782,00:00:15.813,Pass,
,,,,,,,,,,,,0.999,,,,,,,,,,,,ac9ea540-226a-42c1-bf09-1226b81eaf92,20,,,"[23.0, 20.0]",7536,0,,1.670465,,,Left Foot,,,"[21.0, 40.0]",,Ground Pass,20.09975,,,Anga Dedryck Boyata,5639.0,,,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,3,Belgium,782,['16f8633f-562e-4762-875d-87a17957038b'],18,,,,,,,,,,,,,,,,,Belgium,782,00:00:18.093,Pass,
,,,,,,,,,,,,1.4,,,,,,,,,,,,7f375e53-ff03-4412-a8e9-27d1fdc69753,23,,,"[22.0, 47.0]",7536,0,,0.39060703,,,Right Foot,,,"[39.0, 54.0]",,Ground Pass,18.384777,,,Kevin De Bruyne,3089.0,,,,,,1,Regular Play,Anga Dedryck Boyata,5639.0,Center Back,3,Belgium,782,['bf28b761-8726-4833-a4c3-09d395ee60ed'],20,,,,,,,,,,,,,,,,,Belgium,782,00:00:20.213,Pass,
,,,,,,,,,,,,1.96,,,,,,,,,,,,7c1e21c1-5c61-470a-ab39-9ae6d8588438,26,,,"[47.0, 58.0]",7536,0,,0.64987046,,,Right Foot,,,"[72.0, 77.0]",,Ground Pass,31.400637,,,Thomas Meunier,3176.0,,,,,,1,Regular Play,Kevin De Bruyne,3089.0,Right Center Midfield,3,Belgium,782,['77f09881-e7c9-47de-8224-d238a2c7a826'],23,,,,,,,,,,,,,,,,,Belgium,782,00:00:23.533,Pass,
,,,,,,,,,,,,1.2,,,,,,,,,,,,1b03fdb5-201b-4321-80dd-4ffa9f428e7b,30,,,"[89.0, 75.0]",7536,0,,-1.1479424,,,Right Foot,,,"[98.0, 55.0]",,Ground Pass,21.931713,,Incomplete,Romelu Lukaku Menama,3289.0,,,,,,1,Regular Play,Thomas Meunier,3176.0,Right Wing Back,3,Belgium,782,"['455fce1b-6a83-4df1-a94d-6778dd040235', '5ca88469-164b-4cb6-b0a2-36ce43c0b6c4', 'e7452040-527f-41f1-8a4f-dc1429528cde']",26,,,,,,,,,,,,,,,,,Belgium,782,00:00:26.960,Pass,True
,,,,,,,,,,,,1.333,,,,,,,,,,,,e7452040-527f-41f1-8a4f-dc1429528cde,32,,,"[23.0, 26.0]",7536,0,,-0.5404195,,,Right Foot,,,"[33.0, 20.0]",,Ground Pass,11.661903,,,Aníbal Cesis Godoy,5646.0,,,,,Recovery,1,Regular Play,Fidel Escobar Mendieta,5638.0,Left Center Back,4,Panama,798,"['1b03fdb5-201b-4321-80dd-4ffa9f428e7b', 'c3feb39a-7138-4e4a-82e5-cb59ee364918']",28,,,,,,,,,,,,,,,,,Panama,798,00:00:28.160,Pass,
,,,,,,,,,,,,1.333,,,,,,,,,,,,85066be0-2204-411f-b82d-5560cca0fb88,35,,,"[33.0, 19.0]",7536,0,,1.5182133,,,Left Foot,,,"[34.0, 38.0]",,Ground Pass,19.026299,,,Armando Enrique Cooper Whitaker,5645.0,,,,,,1,Regular Play,Aníbal Cesis Godoy,5646.0,Left Center Midfield,4,Panama,798,['5a6bd229-1e6d-455c-b0d7-966ad6a64b7c'],29,,,,,,,,,,,,,,,,,Panama,798,00:00:29.960,Pass,
,,,,,,,,,,,,0.266,,,,,,,,,,,,3313f500-d338-4787-92f2-6372a420b83f,43,,,"[85.0, 45.0]",7536,0,,1.4288993,,,Right Foot,,,"[86.0, 52.0]",,Ground Pass,7.071068,,,Dries Mertens,5630.0,,,,,,1,Regular Play,Axel Witsel,5642.0,Left Center Midfield,5,Belgium,782,['afd41335-5c57-4107-9e67-9d020c209ead'],32,,,,,,,,,,,,,,,,,Belgium,782,00:00:32.813,Pass,
,,,,,,,,,,,,0.718,,,,,,,,,,,,44adfc73-2f51-4f77-aaf6-6b41cda40597,46,,,"[86.0, 52.0]",7536,0,,-1.7681919,,,Right Foot,,,"[85.0, 47.0]",,Ground Pass,5.0990195,,,Kevin De Bruyne,3089.0,,,,,,1,Regular Play,Dries Mertens,5630.0,Right Attacking Midfield,5,Belgium,782,['0228483f-fb42-4d14-8d9f-9b406492b203'],33,,,,,,,,,,,,,,,,,Belgium,782,00:00:33.215,Pass,
,,,,,,,,,,,,2.88,,,,,,,,,,,,ecb9d18c-f39b-4edf-900c-aaf083146395,49,,,"[86.0, 45.0]",7536,0,,-0.7853982,,,Right Foot,,,"[111.0, 20.0]",,Ground Pass,35.35534,,,Yannick Ferreira Carrasco,5633.0,,,Through Ball,True,,1,Regular Play,Kevin De Bruyne,3089.0,Right Center Midfield,5,Belgium,782,['3df2e0f9-f2cb-46bb-96ab-cb58b7185565'],35,,,,,,,,,,,,,,,,,Belgium,782,00:00:35.053,Pass,
,,,,,,,,,,,,0.987,,,,,,,,,,,,488629b9-3f43-487c-9671-33757f5f3f19,53,,,"[111.0, 20.0]",7536,0,,1.418147,f148311c-8776-448f-ac42-2e5b2516371a,,Left Foot,True,,"[113.0, 33.0]",,Ground Pass,13.152946,,,Romelu Lukaku Menama,3289.0,True,,,,,1,Regular Play,Yannick Ferreira Carrasco,5633.0,Left Wing Back,5,Belgium,782,"['472a0865-70f7-4a46-9271-5cf61c55b856', 'cad95b34-20b9-45f6-80d8-59a98462686c']",38,,,,,,,,,,,,,,,,,Belgium,782,00:00:38.213,Pass,True
,,,,,,,,,,,,3.693,,,,,,,,,,,,5c29a181-7e26-4eee-a977-067d9628de54,58,,,"[7.0, 38.0]",7536,1,,-0.14601226,,,Right Foot,,,"[75.0, 28.0]",,High Pass,68.73136,,Incomplete,Blas Antonio Miguel Pérez Ortega,5631.0,,,,,Goal Kick,1,From Goal Kick,Jaime Manuel Penedo Cano,5636.0,Goalkeeper,6,Panama,798,"['12f2495a-52ae-47a9-bd11-9ef429bb6716', '1ed264f4-0985-434f-8d90-e3f0392982c5']",9,,,,,,,,,,,,,,,,,Panama,798,00:01:09.480,Pass,
,,,,,,,,,,,,1.64,,,,,,,,,,,,12f2495a-52ae-47a9-bd11-9ef429bb6716,60,,,"[49.0, 48.0]",7536,1,True,-0.7853982,,,,,,"[52.0, 45.0]",,High Pass,4.2426405,,Incomplete,Axel Witsel,5642.0,,,,,Recovery,1,From Goal Kick,Anga Dedryck Boyata,5639.0,Center Back,6,Panama,798,"['052b7aa0-4327-4d63-987d-24cc610e6a7b', '5c29a181-7e26-4eee-a977-067d9628de54', '9bfeb72c-09e3-4d7c-9c2a-e526a492e58f', 'd9597dbe-d7e8-4c81-9713-4027948d0ef3']",13,,,,,,,,,,,,,,,,,Belgium,782,00:01:13.173,Pass,True
,,,,,,,,,,,,1.52,,,,,,,,,,,,b941573d-a7f5-49c3-9739-06b96d4f5e48,66,,,"[69.0, 47.0]",7536,1,,1.8736812,,,Right Foot,,,"[64.0, 63.0]",,Ground Pass,16.763054,,,Michael Amir Murillo Bermudez,5641.0,,,,,,1,From Goal Kick,Armando Enrique Cooper Whitaker,5645.0,Right Center Midfield,6,Panama,798,"['cd0d1fcd-9a6d-4afb-8f25-2d2cb1206284', 'e31d97e8-0f09-4f17-92ce-72a655043ea1']",16,,,,,,,,,,,,,,,,,Panama,798,00:01:16.000,Pass,True
,,,,,,,,,,,,1.293,,,,,,,,,,,,b34a91ba-f92b-4908-9eef-bb3910c7cdf9,69,,,"[64.0, 66.0]",7536,1,,-0.16514868,,,Right Foot,,,"[82.0, 63.0]",,Ground Pass,18.248287,,,Edgar Yoel Bárcenas Herrera,5637.0,,,,,,1,From Goal Kick,Michael Amir Murillo Bermudez,5641.0,Right Back,6,Panama,798,['bc172c96-41ad-4902-829e-c7377969abc0'],18,,,,,,,,,,,,,,,,,Panama,798,00:01:18.240,Pass,
,,,,,,,,,,,,1.999,,,,,,,,,,,,46526753-8f85-4c2d-9f84-46bc7b11fe2f,72,,,"[83.0, 66.0]",7536,1,,1.6614562,,,Right Foot,,,"[82.0, 77.0]",,Ground Pass,11.045361,,,Armando Enrique Cooper Whitaker,5645.0,,,,,,1,From Goal Kick,Edgar Yoel Bárcenas Herrera,5637.0,Right Wing,6,Panama,798,['ebbede8b-dffe-4f1c-b857-f48e1c8ad833'],19,,,,,,,,,,,,,,,,,Panama,798,00:01:19.533,Pass,
,,,,,,,,,,,,2.4,,,,,,,,,,,,89970138-c298-4ef0-be8f-ea73b8b4f3d1,77,,,"[81.0, 78.0]",7536,1,,3.0648208,,,Right Foot,,,"[68.0, 79.0]",,Ground Pass,13.038404,,,Michael Amir Murillo Bermudez,5641.0,,,,,,1,From Goal Kick,Armando Enrique Cooper Whitaker,5645.0,Right Center Midfield,6,Panama,798,"['58d3c082-dbda-40db-9af7-661c2ec719a3', '884ce8b4-aab2-4c66-813b-6f2f51f3da0f']",23,,,,,,,,,,,,,,,,,Panama,798,00:01:23.400,Pass,True
,,,,,,,,,,,,1.453,,,,,,,,,,,,b3004e25-c245-4150-bb46-8595e8e83255,81,,,"[81.0, 78.0]",7536,1,,3.050933,,True,Right Foot,,,"[70.0, 79.0]",,Ground Pass,11.045361,,,Edgar Yoel Bárcenas Herrera,5637.0,,,,,,1,From Goal Kick,Michael Amir Murillo Bermudez,5641.0,Right Back,6,Panama,798,['8afb0509-76cc-4713-9c2a-a2baa18eea86'],30,,,,,,,,,,,,,,,,,Panama,798,00:01:30.240,Pass,
,,,,,,,,,,,,1.2,,,,,,,,,,,,af238a72-522c-4691-8022-c3597d91184c,84,,,"[73.0, 78.0]",7536,1,,-2.2455373,,,Right Foot,,,"[69.0, 73.0]",,Ground Pass,6.4031243,,,Gabriel Enrique Gómez Girón,5640.0,,,,,,1,From Goal Kick,Edgar Yoel Bárcenas Herrera,5637.0,Right Wing,6,Panama,798,['103747ab-f1d3-4910-baac-2184cc2247a2'],32,,,,,,,,,,,,,,,,,Panama,798,00:01:32.120,Pass,
,,,,,,,,,,,,2.8,,,,,,,,,,,,d9257461-94b5-4d19-8667-71ec7dce8e48,87,,,"[68.0, 68.0]",7536,1,,-0.93141043,,,Right Foot,,,"[97.0, 29.0]",,High Pass,48.60041,,,José Luis Rodríguez Francis,5628.0,,,,,,1,From Goal Kick,Gabriel Enrique Gómez Girón,5640.0,Center Defensive Midfield,6,Panama,798,['c73eeb54-ab9a-4e49-99dc-d908e2d8b640'],34,,,,,,,,,,,,,,,,,Panama,798,00:01:34.120,Pass,
,,,,,,,,,,,,1.0,,,,,,,,,,,,a86b984d-446e-4293-a8f0-30cd6eb722f3,90,,,"[18.0, 80.0]",7536,1,,-2.0607536,,,,,,"[10.0, 65.0]",,Low Pass,17.0,,,Toby Alderweireld,20005.0,,,,,Throw-in,1,From Throw In,Thomas Meunier,3176.0,Right Wing Back,7,Belgium,782,['8a9714d8-82f8-486b-9708-e709dce83a08'],43,,,,,,,,,,,,,,,,,Belgium,782,00:01:43.853,Pass,
