50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.76,,,,,,,,,,,,0d75800c-7f52-4490-b1ba-8c3ed1d7c8cb,3500,,"[36.0, 23.0]",7565,82,,0.38050637,,,Left Foot,,,,"[56.0, 31.0]",,Low Pass,21.540659,,Neymar da Silva Santos Junior,4320.0,,,Recovery,2,From Goal Kick,Filipe Luís Kasmirski,6320.0,Left Back,154,Serbia,786,"['e5f5f2f2-02e8-4e85-93e7-8faf03cf5794', 'e66bb721-0998-41c0-940e-798550ba7d98']",58,,,,,,,,,,,,,,,,,Brazil,781,00:37:58.660,Pass,True
,,,,,,,,,,,,,,1.28,,,,,,,,,,,,441a2940-5996-4c7c-bd04-f4d610ca3146,3508,,"[56.0, 46.0]",7565,83,,-1.2341216,,,Right Foot,,,,"[63.0, 26.0]",,Ground Pass,21.189621,,Nemanja Radonjić,5833.0,,,,2,From Goal Kick,Antonio Rukavina,5588.0,Right Back,154,Serbia,786,['74b210b1-3ef9-41be-8bd1-8f1287f84227'],4,,,,,,,,,,,,,,,,,Serbia,786,00:38:04.513,Pass,
,,,,,,,,,,,,,,0.36,,,,,,,,,,,,728c6518-f5fb-4232-9ffc-3a4dc1b97ad1,3511,,"[91.0, 26.0]",7565,83,,0.7853982,,True,Right Foot,,,,"[94.0, 29.0]",,Ground Pass,4.2426405,Incomplete,Dušan Tadić,3831.0,,,,2,From Goal Kick,Nemanja Radonjić,5833.0,Left Wing,154,Serbia,786,"['3451e736-bdce-4c1b-b457-35975a848989', 'c194860a-fd96-48a9-aaf4-272508fcb119']",11,,,,,,,,,,,,,,,,,Serbia,786,00:38:11.673,Pass,
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4efe6a7e-4d50-48eb-b9f2-b1ad5425fee7,3517,,"[33.0, 60.0]",7565,83,,0.39479113,,,Right Foot,,,,"[45.0, 65.0]",,Ground Pass,13.0,,Willian Borges da Silva,3472.0,,,,2,From Goal Kick,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,154,Serbia,786,"['0abe7977-71ce-4bd0-b846-b859d1c17d03', '399a56ec-6780-4dd3-bd43-78ff167f3e0c']",14,,,,,,,,,,,,,,,,,Brazil,781,00:38:14.220,Pass,True
,,,,,,,,,,,,,,1.72,,,,,,,,,,,,d36822fc-c242-47eb-91a0-f5bff301e3b2,3523,,"[65.0, 1.0]",7565,83,,2.2318394,,,,,,,"[58.0, 10.0]",,Low Pass,11.401754,,Milos Veljkovic,6321.0,,,Throw-in,2,From Throw In,Nemanja Matić,3381.0,Left Defensive Midfield,155,Serbia,786,['da3a1014-a71c-4b43-867c-aeb283064737'],28,,,,,,,,,,,,,,,,,Serbia,786,00:38:28.873,Pass,
,,,,,,,,,,,,,,1.546,,,,,,,,,,,,2a37ac75-c9da-46a4-ac27-54f63dcfe92c,3526,,"[57.0, 17.0]",7565,83,,1.5707964,,,Right Foot,,,,"[57.0, 37.0]",,Ground Pass,20.0,,Nikola Milenković,5603.0,,,,2,From Throw In,Milos Veljkovic,6321.0,Left Center Back,155,Serbia,786,['af1c1638-fc9e-4365-a6c6-bbad5b058b48'],32,,,,,,,,,,,,,,,,,Serbia,786,00:38:32.033,Pass,
,,,,,,,,,,,,,,1.786,,,,,,,,,,,,0a77d070-3635-449a-bfe8-e958d71a246b,3529,,"[65.0, 42.0]",7565,83,,1.3191063,,,Right Foot,,,,"[74.0, 77.0]",,Ground Pass,36.138622,,Antonio Rukavina,5588.0,,,,2,From Throw In,Nikola Milenković,5603.0,Right Center Back,155,Serbia,786,['11e880d1-3ab0-45de-bfcb-bd3cbfd3b30b'],36,,,,,,,,,,,,,,,,,Serbia,786,00:38:36.193,Pass,
,,,,,,,,,,,,,,1.186,,,,,,,,,,,,29bef3e1-90e0-4b7c-87ec-d48ebde2ba62,3532,,"[72.0, 75.0]",7565,83,,-1.610775,,,Right Foot,,,,"[71.0, 50.0]",,Ground Pass,25.019993,,Sergej Milinković-Savić,5589.0,,,,2,From Throw In,Antonio Rukavina,5588.0,Right Back,155,Serbia,786,['f63a01ec-7847-41ff-8ce0-82d2add49a08'],39,,,,,,,,,,,,,,,,,Serbia,786,00:38:39.393,Pass,
,,,,,,,,,,,,,,1.16,,,,,,,,,,,,62891669-1e96-4bdf-ab41-29b42b08dc61,3535,,"[73.0, 48.0]",7565,83,,-1.9513026,,,Right Foot,,,,"[63.0, 23.0]",,Ground Pass,26.925823,,Milos Veljkovic,6321.0,,,,2,From Throw In,Sergej Milinković-Savić,5589.0,Right Defensive Midfield,155,Serbia,786,['73dd3bc5-baff-4bb2-b53b-967e4e01ed10'],41,,,,,,,,,,,,,,,,,Serbia,786,00:38:41.580,Pass,
,,,,,,,,,,,,,,0.999,,,,,,,,,,,,c47c759e-12dc-4c71-8de5-97ee9d7dced2,3538,,"[63.0, 24.0]",7565,83,,-0.38050637,,,Right Foot,,,,"[73.0, 20.0]",,Ground Pass,10.770329,,Nemanja Matić,3381.0,,,,2,From Throw In,Milos Veljkovic,6321.0,Left Center Back,155,Serbia,786,['86563eba-fea6-4228-b258-f59aee662e81'],43,,,,,,,,,,,,,,,,,Serbia,786,00:38:43.393,Pass,
