50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d54f4555-5486-4a88-975f-2819dd561459,1,,,,7531,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5499, 'name': 'Maximiliano Eduardo Meza'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0ff43122-ed2e-43b9-b837-e3546f8a5836,2,,,,7531,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 5498, 'name': 'Hannes Þór Halldórsson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5508, 'name': 'Birkir Már Sævarsson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5505, 'name': 'Kári Árnason'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5511, 'name': 'Ragnar Sigurðsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5501, 'name': 'Hörður Björgvin Magnússon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5515, 'name': 'Aron Einar Gunnarsson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3720, 'name': 'Johann Berg Guðmunds\xadson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 5509, 'name': 'Birkir Bjarnason'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'jersey_number': 10}]}",Iceland,793,00:00:00.000,Starting XI,
,,,,,,,,,,,,9.093,,,,,,,,,,,,,,6405113f-da44-4345-befa-469762541647,3,,,,7531,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['e8a52ff2-29de-4fd2-96ad-1018af2ea122'],0,,,,,,,,,,,,,,,,,Iceland,793,00:00:00.000,Half Start,
,,,,,,,,,,,,9.333,,,,,,,,,,,,,,e8a52ff2-29de-4fd2-96ad-1018af2ea122,4,,,,7531,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['6405113f-da44-4345-befa-469762541647'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,9.2,,,,,,,,,,,,,,351abe69-51d4-409f-8259-61158a6b9ed0,1726,,,,7531,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,64,Iceland,793,['d18899c7-8789-4f36-ab2f-c26b9b191ef4'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,8.48,,,,,,,,,,,,,,d18899c7-8789-4f36-ab2f-c26b9b191ef4,1727,,,,7531,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,64,Iceland,793,['351abe69-51d4-409f-8259-61158a6b9ed0'],0,,,,,,,,,,,,,,,,,Iceland,793,00:00:00.000,Half Start,
,,,,,,,,,,,,1.133,,,,,,,,,,,,,,94c62f53-a2ff-46bd-a25f-910ee650c0d8,5,,,"[61.0, 41.0]",7531,0,,-2.4592762,,,Left Foot,,,,"[45.0, 28.0]",Ground Pass,20.615528,,Birkir Bjarnason,5509.0,,,,,Kick Off,1,From Kick Off,Johann Berg Guðmunds­son,3720.0,Right Midfield,2,Iceland,793,['ad13eec0-16c2-4d5a-8784-5b3b5af4116f'],0,,,,,,,,,,,,,,,,,Iceland,793,00:00:00.900,Pass,
,,,,,,,,,,,,2.533,,,,,,,,,,,,,,832c0409-8529-4bbd-9f41-bb3852df1815,9,,,"[46.0, 31.0]",7531,0,,0.5565993,,,Right Foot,,,,"[91.0, 59.0]",High Pass,53.0,Incomplete,Kári Árnason,5505.0,,,,,,1,From Kick Off,Birkir Bjarnason,5509.0,Left Midfield,2,Iceland,793,"['23f06411-0fb8-4051-bc0c-144240b9913b', '3831c5a1-8341-4d4c-af8b-cd684e3614f4', 'b9c3bf99-4b8c-4b22-a66b-79315dc0012f']",2,,,,,,,,,,,,,,,,,Iceland,793,00:00:02.660,Pass,True
,,,,,,,,,,,,1.24,,,,,,,,,,,,,,23f06411-0fb8-4051-bc0c-144240b9913b,12,,,"[30.0, 22.0]",7531,0,True,-0.5070985,,,,,,,"[48.0, 12.0]",Low Pass,20.59126,,Ángel Fabián Di María Hernández,2995.0,,,,,Recovery,1,From Kick Off,Faustino Marcos Alberto Rojo,3602.0,Left Center Back,2,Iceland,793,"['07c4fa32-086f-4e2a-b420-ea8414530368', '457f8b6b-e336-467d-9ee4-d59a080ede15', '832c0409-8529-4bbd-9f41-bb3852df1815']",5,,,,,,,,,,,,,,,,,Argentina,779,00:00:05.193,Pass,True
,,,,,,,,,,,,0.64,,,,,,,,,,,,,,c02f695c-a8e3-46e5-be93-c8dbd2e3edee,19,,,"[92.0, 61.0]",7531,0,,-0.7086263,,,Right Foot,,,,"[99.0, 55.0]",Ground Pass,9.219544,Incomplete,Alfreð Finnbogason,5514.0,,,,,,1,From Kick Off,Gylfi Þór Sigurðsson,3944.0,Secondary Striker,2,Iceland,793,"['4b5b0a4e-5766-4151-bbd6-db28f897a507', 'dfb7c551-51ad-46c4-b4a3-805d0b4aa54d']",11,,,,,,,,,,,,,,,,,Iceland,793,00:00:11.980,Pass,
