bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,88faf8f6-0a41-4ae7-b827-81839026621b,1,,,,7547,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4763, 'name': 'Henrik Dalsgaard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5524, 'name': 'Jens Stryger Larsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5520, 'name': 'Lasse Schöne'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5536, 'name': 'Yussuf Yurary Poulsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5522, 'name': 'Nicolai Jørgensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Denmark,776,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c0f2c295-7510-49ff-b667-c802e818518a,2,,,,7547,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5482, 'name': 'Josh Risdon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 5478, 'name': 'Trent Sainsbury'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5488, 'name': 'Mark Milligan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5494, 'name': 'Robbie Kruse'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5486, 'name': 'Andrew Nabbout'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5491, 'name': 'Tom Rogić'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'jersey_number': 23}]}",Australia,792,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,b62832e0-3764-4ea2-a185-f7d3e275fc15,3,,,,7547,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['bfc0c293-249f-490e-af38-72e8abf75ac2'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,bfc0c293-249f-490e-af38-72e8abf75ac2,4,,,,7547,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['b62832e0-3764-4ea2-a185-f7d3e275fc15'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,aa0ce133-8c4c-4afe-8916-db2745062515,1765,,,,7547,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Australia,792,['e6b26ddc-e348-4462-8244-85a006f9bb99'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,e6b26ddc-e348-4462-8244-85a006f9bb99,1766,,,,7547,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Australia,792,['aa0ce133-8c4c-4afe-8916-db2745062515'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,1.32,,,,,,,,,,,,,,4d1585ce-469c-42cc-95b9-000dfdc5bd13,5,,,"[61.0, 41.0]",7547,0,,,-2.567288,,,Right Foot,,,"[44.0, 30.0]",,Ground Pass,20.248457,,Andreas Christensen,3959.0,,,Kick Off,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,2,Denmark,776,['310bfd72-ce40-41ef-b5b7-5a323af82209'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.800,Pass,
,,,,,,,,,,,,3.08,,,,,,,,,,,,,,c012113a-fb27-43c4-bf95-732778d181da,8,,,"[43.0, 32.0]",7547,0,,,0.5214344,,,Right Foot,,,"[90.0, 59.0]",,High Pass,54.20332,,Yussuf Yurary Poulsen,5536.0,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,['a5e3bb92-7a2a-4965-a2d2-b04317d9648e'],3,,,,,,,,,,,,,,,,,Denmark,776,00:00:03.360,Pass,
,,,,,,,,,,,,1.12,,,,,,,,,,,,,,c51c6902-65e6-43eb-8343-ee1bd3cd79a3,12,,,"[91.0, 60.0]",7547,0,,,2.0344439,,,Other,,,"[88.0, 66.0]",,Low Pass,6.708204,,Henrik Dalsgaard,4763.0,,,,1,From Kick Off,Yussuf Yurary Poulsen,5536.0,Right Wing,2,Denmark,776,"['6d509797-69f0-468f-af37-906554f1203d', '6ffbc226-671e-4e8d-95ee-0b769894eaf4']",6,,,,,,,,,,,,,,,,,Denmark,776,00:00:06.560,Pass,True
,,,,,,,,,,,,1.68,,,,,,,,,,,,,,486d60ec-4d89-4b1b-8eb8-f524c23b75dd,17,,,"[87.0, 61.0]",7547,1,,,-0.8050035,,,Right Foot,,,"[112.0, 35.0]",,High Pass,36.069378,Incomplete,Simon Thorup Kjær,5534.0,,,Free Kick,1,From Free Kick,Henrik Dalsgaard,4763.0,Right Back,3,Denmark,776,"['44c551e5-d557-4e59-bcf4-2902541f2166', 'c2250bee-982d-4232-8c61-37d0620786ea']",2,,,,,,,,,,,,,,,,,Denmark,776,00:01:02.600,Pass,
