50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,3.72,,,,,,,,,,,,,b83cc3d5-7bcc-4a09-9292-55734c2b14f2,2105,,"[77.0, 70.0]",8657,40,,0.04647813,,,Left Foot,,,,"[120.0, 72.0]",,Ground Pass,43.046486,Out,Toby Alderweireld,20005.0,,,,1,Regular Play,Thomas Meunier,3176.0,Right Wing Back,63,Belgium,782,['72411be5-bbcc-44ff-82cc-8541f05318a4'],42,,,,,,,,,,,,,,,,,,,Belgium,782,00:40:42.800,Pass,
,,,,,,,,,,,,,0.843,,,,,,,,,,,,,5ad47998-453c-4a6f-a3de-ddd584fcd88c,2108,,"[27.0, 28.0]",8657,40,,-0.7853982,,,Right Foot,,,,"[34.0, 21.0]",,Ground Pass,9.899495,,Fabian Delph,4597.0,,,,1,Regular Play,John Stones,3244.0,Center Back,64,England,768,['57ca83ed-6152-4fdf-bea7-220a3c5f0240'],55,,,,,,,,,,,,,,,,,,,England,768,00:40:55.850,Pass,
,,,,,,,,,,,,,1.545,,,,,,,,,,,,,ce2d964a-5458-40c8-bdca-b23986218d3c,2111,,"[34.0, 24.0]",8657,40,,1.1071488,,,Right Foot,,,,"[38.0, 32.0]",,Ground Pass,8.944272,,John Stones,3244.0,,,,1,Regular Play,Fabian Delph,4597.0,Left Center Midfield,64,England,768,['b7a69c11-6394-4221-9a07-b899c4eebc49'],57,,,,,,,,,,,,,,,,,,,England,768,00:40:57.455,Pass,
,,,,,,,,,,,,,1.706,,,,,,,,,,,,,77b6904e-1399-4324-a698-1f34c3dba150,2114,,"[65.0, 31.0]",8657,41,,-1.2722974,,,Right Foot,,,,"[73.0, 5.0]",,Ground Pass,27.202942,,Danny Rose,3594.0,,,,1,Regular Play,John Stones,3244.0,Center Back,64,England,768,['9e732bb9-de1a-46bf-b43f-d3bf53a54b99'],4,,,,,,,,,,,,,,,,,,,England,768,00:41:04.093,Pass,
,,,,,,,,,,,,,1.426,,,,,,,,,,,,,d945a5e7-b40d-4941-8fbd-2c69343c7ada,2117,,"[75.0, 9.0]",8657,41,,2.4668517,,,Left Foot,,,,"[65.0, 17.0]",,Ground Pass,12.806249,,Fabian Delph,4597.0,,,,1,Regular Play,Danny Rose,3594.0,Left Wing Back,64,England,768,['e225cc51-0587-497d-81a4-ad04f099d9dc'],9,,,,,,,,,,,,,,,,,,,England,768,00:41:09.693,Pass,
,,,,,,,,,,,,,1.2,,,,,,,,,,,,,9d6bb2f8-4977-4ddb-aa45-2f3110a0d9fb,2120,,"[66.0, 15.0]",8657,41,,1.6951513,,,Left Foot,,,,"[65.0, 23.0]",,Ground Pass,8.062258,,John Stones,3244.0,,,,1,Regular Play,Fabian Delph,4597.0,Left Center Midfield,64,England,768,['7a462816-f75d-448a-85c5-1cfd7bbc64d9'],11,,,,,,,,,,,,,,,,,,,England,768,00:41:11.492,Pass,
,,,,,,,,,,,,,1.986,,,,,,,,,,,,,40cf1c73-9f05-4af8-9c1f-f4ff91c5d461,2123,,"[65.0, 43.0]",8657,41,,1.2490457,,,Right Foot,,,,"[76.0, 76.0]",,Ground Pass,34.785053,,Kieran Trippier,3308.0,,,,1,Regular Play,John Stones,3244.0,Center Back,64,England,768,['39c82699-ae7b-4e55-ade4-8fd4dedf81d8'],17,,,,,,,,,,,,,,,,,,,England,768,00:41:17.693,Pass,
,,,,,,,,,,,,,0.8,,,,,,,,,,,,,6540f81b-ed40-45ab-b235-892a2c77d2ee,2126,,"[74.0, 74.0]",8657,41,,-2.9996955,,,Right Foot,,,,"[60.0, 72.0]",,Ground Pass,14.142136,,Phil Jones,3314.0,,,,1,Regular Play,Kieran Trippier,3308.0,Right Wing Back,64,England,768,['53b02a3e-f64e-427c-9f88-e542cafecd35'],21,,,,,,,,,,,,,,,,,,,England,768,00:41:21.200,Pass,
,,,,,,,,,,,,,0.946,,,,,,,,,,,,,3838e96f-7eca-42dc-94e1-1c05db4d12e0,2129,,"[59.0, 73.0]",8657,41,,0.41822433,,,Right Foot,,,,"[68.0, 77.0]",,Ground Pass,9.848858,,Kieran Trippier,3308.0,,,,1,Regular Play,Phil Jones,3314.0,Right Center Back,64,England,768,['73e0af99-e3d8-4ccf-9b91-f0a0c76b08c5'],23,,,,,,,,,,,,,,,,,,,England,768,00:41:23.453,Pass,
,,,,,,,,,,,,,3.84,,,,,,,,,,,,,07f04fe4-366c-47c3-926d-99ea8fd2ac97,2133,,"[68.0, 76.0]",8657,41,,0.025635408,,,Right Foot,,,,"[107.0, 77.0]",,Low Pass,39.012817,Incomplete,Raheem Sterling,3233.0,,,,1,Regular Play,Kieran Trippier,3308.0,Right Wing Back,64,England,768,"['0b1e6ff3-4ecb-4272-a730-301479d4463c', '59f756f7-daa1-42ce-a00b-c62a2b4cfa64', '85668888-0b95-4353-ab1c-ff89b95d9330']",25,,,,,,,,,,,,,,,,,,,England,768,00:41:25.373,Pass,True
,,,,,,,,,,,,,0.84,,,,,,,,,,,,,abccadb7-9da6-4300-a0d6-a85de828744a,2139,,"[104.0, 79.0]",8657,41,,-1.1071488,,,,,,,"[108.0, 71.0]",,Low Pass,8.944272,,Ruben Loftus-Cheek,3504.0,,,Throw-in,1,From Throw In,Kieran Trippier,3308.0,Right Wing Back,65,England,768,['329788d0-a252-4936-8c8c-edb6749bf752'],53,,,,,,,,,,,,,,,,,,,England,768,00:41:53.813,Pass,
,,,,,,,,,,,,,0.48,,,,,,,,,,,,,65c6e815-f25f-4956-a831-a7bcc2f5331a,2143,,"[107.0, 70.0]",8657,41,,2.3561945,,,Right Foot,,,,"[98.0, 79.0]",,Low Pass,12.727922,Out,Kieran Trippier,3308.0,,,,1,From Throw In,Ruben Loftus-Cheek,3504.0,Right Center Midfield,65,England,768,"['46d03535-c7e6-4a35-8193-0bf4f677d872', '497a5cd2-6d30-4b7e-aef7-6d3cf5910700']",54,,,,,,,,,,,,,,,,,,,England,768,00:41:54.933,Pass,True
,,,,,,,,,,,,,1.6,,,,,,,,,,,,,a2a41bc1-0070-4cf3-b015-1dded0c351cf,2146,,"[38.0, 2.0]",8657,42,,0.35470566,,,,,,,"[65.0, 12.0]",,High Pass,28.79236,,Romelu Lukaku Menama,3289.0,,,Throw-in,1,From Throw In,Jan Vertonghen,3077.0,Left Wing Back,66,Belgium,782,['30a2f3b3-6f84-4f7d-a651-c2e66226009d'],15,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:15.773,Pass,
,,,,,,,,,,,,,0.64,,,,,,,,,,,,,ca89c538-f7ea-43f4-ac75-c00493c794e4,2150,,"[51.0, 5.0]",8657,42,,-2.9996955,,,Right Foot,,,,"[44.0, 4.0]",,Ground Pass,7.071068,,Jan Vertonghen,3077.0,,,,1,From Throw In,Romelu Lukaku Menama,3289.0,Center Forward,66,Belgium,782,['a2e206b6-e3f8-4af2-b5ca-13ea5b251933'],18,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:18.893,Pass,
,,,,,,,,,,,,,1.32,,,,,,,,,,,,,772db365-e415-49d6-8b5a-c3771fada772,2154,,"[45.0, 5.0]",8657,42,,1.7894653,,,Left Foot,,,,"[41.0, 23.0]",,High Pass,18.439089,,Youri Tielemans,2954.0,,,,1,From Throw In,Jan Vertonghen,3077.0,Left Wing Back,66,Belgium,782,"['39a5a3a1-d553-4ae5-b54f-f2de38063755', 'ef66e783-3379-4484-bece-13e5faa027b6']",19,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:19.733,Pass,True
,,,,,,,,,,,,,1.987,,,,,,,,,,,,,04112707-560a-46f5-866d-ad7a34eacf01,2157,,"[54.0, 39.0]",8657,42,,1.7681919,,,Right Foot,,,,"[51.0, 54.0]",,Ground Pass,15.297058,,Toby Alderweireld,20005.0,,,,1,From Throw In,Youri Tielemans,2954.0,Right Defensive Midfield,66,Belgium,782,['c36ddc1d-186c-495b-a253-d1f51fd62b69'],22,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:22.852,Pass,
,,,,,,,,,,,,,1.186,,,,,,,,,,,,,a781e7b7-6e78-4ee9-8abe-04e353c14e78,2160,,"[55.0, 56.0]",8657,42,,-1.2793396,,,Right Foot,,,,"[58.0, 46.0]",,Ground Pass,10.440307,,Youri Tielemans,2954.0,,,,1,From Throw In,Toby Alderweireld,20005.0,Right Center Back,66,Belgium,782,['c7265ef2-93d8-4845-93d0-f1e0eedbbe6e'],25,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:25.173,Pass,
,,,,,,,,,,,,,1.186,,,,,,,,,,,,,223a5190-02aa-4788-8806-c0450e31b6be,2163,,"[65.0, 48.0]",8657,42,,-1.3734008,,,Right Foot,,,,"[67.0, 38.0]",,Ground Pass,10.198039,,Eden Hazard,3621.0,,,,1,From Throw In,Youri Tielemans,2954.0,Right Defensive Midfield,66,Belgium,782,['20e012be-a8a3-42e0-8792-94e3d9f302be'],27,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:27.773,Pass,
,,,,,,,,,,,,,1.24,,,,,,,,,,,,,65c629b2-d6d7-4f23-8208-65f1e28fab3a,2167,,"[67.0, 37.0]",8657,42,,-1.2490457,,,Left Foot,,,,"[75.0, 13.0]",,Ground Pass,25.298222,,Jan Vertonghen,3077.0,,,,1,From Throw In,Eden Hazard,3621.0,Left Wing,66,Belgium,782,['5b10f39e-1614-4eec-8ea5-d1ff111bd87a'],30,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:30.133,Pass,
,,,,,,,,,,,,,0.96,,,,,,,,,,,,,c6257f3b-3e40-482e-93e0-1a467e563a24,2170,,"[74.0, 11.0]",8657,42,,1.8925469,,,Left Foot,,,,"[70.0, 23.0]",,Ground Pass,12.649111,,Axel Witsel,5642.0,,,,1,From Throw In,Jan Vertonghen,3077.0,Left Wing Back,66,Belgium,782,['70cbbf64-ca70-42f3-904f-fc5950fc42ff'],34,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:34.013,Pass,
,,,,,,,,,,,,,0.88,,,,,,,,,,,,,e8e46c3e-f182-4926-9728-56343dc882cf,2173,,"[74.0, 27.0]",8657,42,,-1.359703,,,Right Foot,,,,"[77.0, 13.0]",,Ground Pass,14.3178215,,Eden Hazard,3621.0,,,,1,From Throw In,Axel Witsel,5642.0,Left Defensive Midfield,66,Belgium,782,['63867df2-8b79-4227-b842-94f9858d92f1'],38,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:38.053,Pass,
,,,,,,,,,,,,,0.867,,,,,,,,,,,,,018a816d-0c0d-4353-89d3-53a3a8ebd467,2177,,"[87.0, 17.0]",8657,42,,0.5585993,,,Right Foot,,,,"[95.0, 22.0]",,Low Pass,9.433981,Unknown,Romelu Lukaku Menama,3289.0,,,,1,From Throw In,Eden Hazard,3621.0,Left Wing,66,Belgium,782,['29ec7fcd-0fc1-4d73-af74-cc039dbe05c2'],42,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:42.173,Pass,
,,,,,,,,,,,,,0.64,,,,,,,,,,,,,3ee7ba9b-287f-4611-8965-2aaba2daa012,2182,,"[51.0, 76.0]",8657,42,,-0.9272952,,,Right Foot,,,,"[54.0, 72.0]",,Ground Pass,5.0,,Ruben Loftus-Cheek,3504.0,,,,1,Regular Play,Raheem Sterling,3233.0,Left Center Forward,67,England,768,['5b78a4d5-0dec-4803-b95e-0876cfa6421d'],53,,,,,,,,,,,,,,,,,,,England,768,00:42:53.693,Pass,
,,,,,,,,,,,,,0.52,,,,,,,,,,,,,13b538c2-871f-4d06-9407-59e0d2ea1bd3,2190,,"[51.0, 19.0]",8657,42,,-1.5707964,,,Right Foot,,,,"[51.0, 10.0]",,Ground Pass,9.0,,Jan Vertonghen,3077.0,,,,1,Regular Play,Axel Witsel,5642.0,Left Defensive Midfield,68,Belgium,782,"['11c6e55f-7d84-4ae0-82e6-76d0c092ad26', '5ff772df-e5a1-457b-9634-1f1db85557c9']",58,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:58.493,Pass,True
,,,,,,,,,,,,,0.8,,,,,,,,,,,,,11d09bc2-18ba-42e3-8757-28c385fdf4bf,2194,,"[49.0, 10.0]",8657,42,,2.2455373,,,Left Foot,,,,"[45.0, 15.0]",,Ground Pass,6.4031243,,Thomas Vermaelen,6332.0,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Wing Back,68,Belgium,782,"['0e1cf89b-4e0c-4d43-acaf-9cff671dd41f', 'ac1eda81-696b-4169-98c6-7d9e98baf0bd']",59,,,,,,,,,,,,,,,,,,,Belgium,782,00:42:59.973,Pass,True
,,,,,,,,,,,,,0.918,,,,,,,,,,,,,a4919388-6da3-4df5-a7a4-dda4c956e4a3,2197,,"[46.0, 17.0]",8657,43,,1.3734008,,,Left Foot,,,,"[48.0, 27.0]",,Ground Pass,10.198039,,Youri Tielemans,2954.0,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,68,Belgium,782,['a58d7b85-879d-4b80-88e2-3aa17e94f167'],2,,,,,,,,,,,,,,,,,,,Belgium,782,00:43:02.695,Pass,
