bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,1.479,,,,,,,,,,,,fd209342-ee2b-47b5-b19f-416125d145d0,3005,,"[5.0, 35.0]",8651,81,,1.2120256,,,Left Foot,,,,"[14.0, 59.0]",,Ground Pass,25.632011,,Kyle Walker,3205.0,,,,,,2,Regular Play,Jordan Pickford,3468.0,Goalkeeper,151,England,768,['f741dc51-8258-4891-9e80-9f66f481c018'],28,,,,,,,,,,,,,,,,,England,768,00:36:28.680,Pass,
,,,,,,,,,,,4.159,,,,,,,,,,,,c5da7638-200c-4781-8b96-39efbe4b1f4e,3008,,"[16.0, 64.0]",8651,81,,-0.5585993,,,Right Foot,,,,"[80.0, 24.0]",,High Pass,75.47185,,Harry Kane,10955.0,,True,,,,2,Regular Play,Kyle Walker,3205.0,Right Center Back,151,England,768,['c9ef2a5e-451e-4615-ae82-bde7a7bfe1a7'],33,,,,,,,,,,,,,,,,,England,768,00:36:33.720,Pass,
,,,,,,,,,,,0.992,,,,,,,,,,,,0d70c114-0fe4-4629-a643-dfafa05ddf70,3013,,"[67.0, 35.0]",8651,81,,1.2277724,,,Right Foot,,,,"[72.0, 49.0]",,Ground Pass,14.866069,,Jesse Lingard,3293.0,,,,,,2,Regular Play,Harry Kane,10955.0,Left Center Forward,151,England,768,"['8692c40d-673c-407e-86bd-100a6d93027e', '9ec07dd7-37fd-4848-af05-e14afb80ead0']",41,,,,,,,,,,,,,,,,,England,768,00:36:41.487,Pass,True
,,,,,,,,,,,1.04,,,,,,,,,,,,8b9a5fb1-aeca-461a-8198-82e29640cf50,3025,,"[111.0, 74.0]",8651,81,,2.9441972,,,Right Foot,,,,"[96.0, 77.0]",,Ground Pass,15.297058,,Kieran Trippier,3308.0,,,,,,2,Regular Play,Jesse Lingard,3293.0,Right Attacking Midfield,151,England,768,"['97ce8ed7-9c16-414e-b43d-c452fae13607', 'de6a899e-7c4d-4633-a69b-6d5097a2cf19']",55,,,,,,,,,,,,,,,,,England,768,00:36:55.039,Pass,True
,,,,,,,,,,,1.243,,,,,,,,,,,,f32a9e5f-1142-4a32-a400-b43692855b77,3029,,"[93.0, 78.0]",8651,81,,-1.7975951,,,Left Foot,,,,"[90.0, 65.0]",,Ground Pass,13.341664,,Jordan Brian Henderson,3532.0,,,,,,2,Regular Play,Kieran Trippier,3308.0,Right Back,151,England,768,"['79f1a87e-65aa-4ed3-ae75-4e18cca8b9c9', 'eaa72f12-9dde-4866-a377-b76f8dec2d2f']",57,,,,,,,,,,,,,,,,,England,768,00:36:57.197,Pass,True
,,,,,,,,,,,0.883,,,,,,,,,,,,6c552a2b-2d21-4ade-94ba-61d418f78057,3032,,"[95.0, 67.0]",8651,81,,1.0714496,,,Right Foot,,,,"[101.0, 78.0]",,Ground Pass,12.529964,,Jesse Lingard,3293.0,,,,,,2,Regular Play,Jordan Brian Henderson,3532.0,Center Defensive Midfield,151,England,768,['ba37f6c3-bdf2-415e-8236-b1188c045ab8'],59,,,,,,,,,,,,,,,,,England,768,00:36:59.797,Pass,
,,,,,,,,,,,2.399,,,,,,,,,,,,84d8b9c5-bdd4-4389-bfef-deced95741e2,3034,,"[100.0, 78.0]",8651,82,,3.1415927,,,Right Foot,,,,"[83.0, 78.0]",,Ground Pass,17.0,,Kieran Trippier,3308.0,,,,,,2,Regular Play,Jesse Lingard,3293.0,Right Attacking Midfield,151,England,768,['5d7f9b16-eed2-423e-9b45-93b109e8c11c'],0,,,,,,,,,,,,,,,,,England,768,00:37:00.680,Pass,
,,,,,,,,,,,1.439,,,,,,,,,,,,88b4335e-660f-4cb3-8fe0-553ffb874e50,3037,,"[83.0, 78.0]",8651,82,,-2.7886024,,,Right Foot,,,,"[64.0, 71.0]",,Ground Pass,20.248457,,Kyle Walker,3205.0,,,,,,2,Regular Play,Kieran Trippier,3308.0,Right Back,151,England,768,['73699d14-0a3f-49ae-8db2-cc8c11a3fa09'],3,,,,,,,,,,,,,,,,,England,768,00:37:03.440,Pass,
,,,,,,,,,,,4.313,,,,,,,,,,,,81024970-fd08-4743-a75e-5e34b377c7be,3041,,"[62.0, 63.0]",8651,82,,-2.4306834,,,Right Foot,,,,"[26.0, 32.0]",,Ground Pass,47.507893,,Jordan Pickford,3468.0,,,,,,2,Regular Play,Kyle Walker,3205.0,Right Center Back,151,England,768,['bbd623d7-2aef-49ec-bd31-2d5accb89508'],6,,,,,,,,,,,,,,,,,England,768,00:37:06.847,Pass,
,,,,,,,,,,,3.466,,,,,,,,,,,,9d833d89-7cb4-437b-b399-4d38907604cf,3044,,"[30.0, 24.0]",8651,82,,0.5331557,,,Left Foot,,,,"[91.0, 60.0]",,High Pass,70.83079,,Kieran Trippier,3308.0,,,,,,2,Regular Play,Jordan Pickford,3468.0,Goalkeeper,151,England,768,['c4fa3b94-c295-4edd-bd0d-8f0a6e21e05f'],13,,,,,,,,,,,,,,,,,England,768,00:37:13.000,Pass,
