50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.466,,,,,,,,,,,,,8b92eb47-9803-4739-97d0-e7cfeeac97ff,20,,"[47.0, 75.0]",7580,0,,-3.0367157,,,Right Foot,,,"[28.0, 73.0]",,High Pass,19.104973,,,Benjamin Pavard,5476.0,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Right Wing,4,France,771,['3ceac3ef-e169-45be-8edd-3971b31e5c31'],52,,,,,,,,,,,,,,,,,France,771,00:00:52.440,Pass,
,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,deeac56c-e6fe-40ab-b438-0644fcd30aa9,24,,"[26.0, 67.0]",7580,0,,-2.2348425,,,Right Foot,,,"[8.0, 44.0]",,Ground Pass,29.206163,,,Hugo Lloris,3099.0,,,,1,Regular Play,Benjamin Pavard,5476.0,Right Back,4,France,771,['6c79dab9-64a4-4c59-b657-c796350faac8'],54,,,,,,,,,,,,,,,,,France,771,00:00:54.920,Pass,
,,,,,,,,,,,,,,,1.306,,,,,,,,,,,,,aa245e06-3277-4d2c-98a6-9e73cc43ef10,27,,"[8.0, 42.0]",7580,0,,-1.3825748,,,Right Foot,,,"[12.0, 21.0]",,Ground Pass,21.377558,,,Samuel Yves Umtiti,5492.0,,,,1,Regular Play,Hugo Lloris,3099.0,Goalkeeper,4,France,771,['1304e641-9b99-40ce-ab7a-fafc378cf762'],59,,,,,,,,,,,,,,,,,France,771,00:00:59.040,Pass,
,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,36ae94d5-92a8-41b4-bcd1-13e40c6abf69,30,,"[21.0, 25.0]",7580,1,,1.4711276,,,Left Foot,,,"[24.0, 55.0]",,Ground Pass,30.149628,,,Raphaël Varane,5485.0,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,4,France,771,['8e28d88b-dae4-4027-b0aa-87e6136c62cc'],3,,,,,,,,,,,,,,,,,France,771,00:01:03.947,Pass,
,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,cb459852-9775-446c-bba5-5a15b82aab14,33,,"[34.0, 63.0]",7580,1,,0.75092906,,,Right Foot,,,"[49.0, 77.0]",,Ground Pass,20.518284,,,Benjamin Pavard,5476.0,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,4,France,771,['8501dfb4-2867-40fe-8a9d-10ae0a2166e2'],8,,,,,,,,,,,,,,,,,France,771,00:01:08.760,Pass,
,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,9ea20d8a-250c-4873-bc59-13edd4a56335,37,,"[48.0, 78.0]",7580,1,,-0.27829966,,,Right Foot,,,"[62.0, 74.0]",,Ground Pass,14.56022,,,Kylian Mbappé Lottin,3009.0,,,,1,Regular Play,Benjamin Pavard,5476.0,Right Back,4,France,771,['bd988dc3-1b19-43f7-af99-2ca0a91f87c0'],10,,,,,,,,,,,,,,,,,France,771,00:01:10.880,Pass,
,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,5119f338-397b-4cba-81ce-446c26f40f89,43,,"[57.0, 66.0]",7580,1,,-1.9756881,,,Right Foot,,,"[54.0, 59.0]",,Ground Pass,7.615773,,,Paul Pogba,20004.0,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Right Wing,4,France,771,"['1597dd41-c855-4da2-b337-ec37142b5e1a', '2f5c19ea-a52f-40b0-9a50-60c8095bc560']",14,,,,,,,,,,,,,,,,,France,771,00:01:14.480,Pass,True
,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,48c1b820-9f3a-4b7c-88b2-b01817ebfb87,48,,"[53.0, 77.0]",7580,1,,0.5404195,,,Right Foot,,,"[58.0, 80.0]",,Ground Pass,5.8309517,,Out,Benjamin Pavard,5476.0,,,,1,Regular Play,Paul Pogba,20004.0,Right Defensive Midfield,4,France,771,"['23738a3c-05d9-497a-915a-adf8e4881f69', 'f485b8be-bca0-4c47-a068-7871c9f488c5']",17,,,,,,,,,,,,,,,,,France,771,00:01:17.840,Pass,True
,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,dff827f6-b953-47fe-8add-b99172d42a72,51,,"[31.0, 16.0]",7580,1,,-0.7454195,,,Left Foot,,,"[44.0, 4.0]",,Ground Pass,17.691807,,,Nicolás Alejandro Tagliafico,5507.0,,,,1,Regular Play,Faustino Marcos Alberto Rojo,3602.0,Left Center Back,5,Argentina,779,['a9161226-a39a-41d1-a1b4-e8867c5eb769'],28,,,,,,,,,,,,,,,,,Argentina,779,00:01:28.720,Pass,
,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,dddbaae6-f04a-41a0-9be2-339d5d03aa57,54,,"[42.0, 3.0]",7580,1,,2.587285,,,Left Foot,,,"[21.0, 16.0]",,Ground Pass,24.698177,,,Faustino Marcos Alberto Rojo,3602.0,,,,1,Regular Play,Nicolás Alejandro Tagliafico,5507.0,Left Back,5,Argentina,779,['0c80c20e-aba7-4624-bd68-7442b724baca'],31,,,,,,,,,,,,,,,,,Argentina,779,00:01:31.040,Pass,
