ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,3.4,,,,,,,,,,,,,6729c7ad-9053-43b5-b27e-e54762546524,24,,"[7.0, 39.0]",7586,0,,0.33473682,,,Right Foot,,,,"[76.0, 63.0]",,High Pass,73.05477,Incomplete,,,,,Goal Kick,1,From Goal Kick,Robin Olsen,5622.0,Goalkeeper,4,Sweden,790,['a454c90b-4d9c-4d5a-b129-1015b617ed9b'],36,,,,,,,,,,,,,,,,,Sweden,790,00:00:36.352,Pass,
,,,,,,,,,,,,1.573,,,,,,,,,,,,,a454c90b-4d9c-4d5a-b129-1015b617ed9b,25,,"[45.0, 18.0]",7586,0,,3.1415927,,,Head,,,,"[33.0, 18.0]",,High Pass,12.0,,Manuel Obafemi Akanji,5549.0,,,Recovery,1,From Goal Kick,Granit Xhaka,3500.0,Left Center Midfield,4,Sweden,790,"['6729c7ad-9053-43b5-b27e-e54762546524', 'dbad0498-63b8-43ef-80b2-f509e8b09f15']",39,,,,,,,,,,,,,,,,,Switzerland,773,00:00:39.752,Pass,
,,,,,,,,,,,,1.187,,,,,,,,,,,,,0ef200c2-0009-4ecc-adda-2a6c2f2fde95,27,,"[34.0, 14.0]",7586,0,,0.5880026,,,Head,,,,"[40.0, 18.0]",,High Pass,7.2111025,Incomplete,Granit Xhaka,3500.0,,,,1,From Goal Kick,Manuel Obafemi Akanji,5549.0,Left Center Back,4,Sweden,790,"['068d276c-b4a1-4cb3-97de-69d47d962f02', '415f26bc-b7ad-43cb-9b67-7f83dde2096d']",41,,,,,,,,,,,,,,,,,Switzerland,773,00:00:41.325,Pass,
,,,,,,,,,,,,1.24,,,,,,,,,,,,,068d276c-b4a1-4cb3-97de-69d47d962f02,29,,"[81.0, 63.0]",7586,0,,-1.1071488,,,Head,,,,"[84.0, 57.0]",,High Pass,6.708204,,Marcus Berg,11098.0,,,Recovery,1,From Goal Kick,Ola Toivonen,4417.0,Left Center Forward,4,Sweden,790,"['0ef200c2-0009-4ecc-adda-2a6c2f2fde95', '486a1f38-dae5-4619-a3c3-06020e757c90']",42,,,,,,,,,,,,,,,,,Sweden,790,00:00:42.512,Pass,
,,,,,,,,,,,,1.2,,,,,,,,,,,,,5f8a9f36-c76d-4af1-a79b-438429c7d58a,32,,"[84.0, 57.0]",7586,0,,2.629203,,,Other,,,,"[68.0, 66.0]",,High Pass,18.35756,,Mikael Lustig,5612.0,,,,1,From Goal Kick,Marcus Berg,11098.0,Right Center Forward,4,Sweden,790,"['886671dc-65fe-4760-989c-8db0ac19df94', 'bdafb063-1f63-4edc-94ac-7df8e25bfa0e']",43,,,,,,,,,,,,,,,,,Sweden,790,00:00:43.752,Pass,True
,,,,,,,,,,,,1.0,,,,,,,,,,,,,3fe6b30b-6f83-4c8e-b6d4-dfa74c9d2130,34,,"[69.0, 69.0]",7586,0,,-1.19029,,,Right Foot,,,,"[75.0, 54.0]",,Ground Pass,16.155495,,Ola Toivonen,4417.0,,,,1,From Goal Kick,Mikael Lustig,5612.0,Right Back,4,Sweden,790,['b4355d62-a91e-49be-a7dc-f72aa43fb180'],44,,,,,,,,,,,,,,,,,Sweden,790,00:00:44.952,Pass,
,,,,,,,,,,,,3.96,,,,,,,,,,,,,c15e404c-8700-40c3-9b90-966fc55ef336,36,,"[75.0, 54.0]",7586,0,,0.41106454,,,Right Foot,,,,"[114.0, 71.0]",,High Pass,42.544094,Incomplete,Viktor Claesson,5613.0,,,,1,From Goal Kick,Ola Toivonen,4417.0,Left Center Forward,4,Sweden,790,"['860fd518-81dc-4b00-9a44-a5bdb9ebbb2a', 'f3757cbb-a384-4dc5-b2f2-23e2d027828c']",45,,,,,,,,,,,,,,,,,Sweden,790,00:00:45.952,Pass,
,,,,,,,,,,,,1.653,,,,,,,,,,,,,860fd518-81dc-4b00-9a44-a5bdb9ebbb2a,38,,"[7.0, 10.0]",7586,0,,-0.7266424,,,Right Foot,,,,"[16.0, 2.0]",,High Pass,12.0415945,,Ricardo Iván Rodríguez Araya,5544.0,,,Recovery,1,From Counter,Manuel Obafemi Akanji,5549.0,Left Center Back,5,Switzerland,773,"['612d8bc5-6c40-4ce2-bb27-2f6070f6f66d', 'c15e404c-8700-40c3-9b90-966fc55ef336']",49,,,,,,,,,,,,,,,,,Switzerland,773,00:00:49.912,Pass,
,,,,,,,,,,,,1.72,,,,,,,,,,,,,46683c13-c0bd-4cb8-8261-cdeb0c55967e,41,,"[19.0, 3.0]",7586,0,,0.38050637,,,Left Foot,,,,"[54.0, 17.0]",,High Pass,37.696156,,Josip Drmic,5835.0,,,,1,From Counter,Ricardo Iván Rodríguez Araya,5544.0,Left Back,5,Switzerland,773,['41513694-0233-470a-93eb-d237ed7fa012'],52,,,,,,,,,,,,,,,,,Switzerland,773,00:00:52.112,Pass,
,,,,,,,,,,,,2.28,,,,,,,,,,,,,7d20cf31-2e06-4037-a569-ee36931aa41a,48,,"[80.0, 62.0]",7586,1,,-0.8139618,,,Right Foot,,,,"[114.0, 26.0]",,High Pass,49.517673,,Ola Toivonen,4417.0,,,Free Kick,1,From Free Kick,Ludwig Augustinsson,5621.0,Left Back,7,Sweden,790,['d59b8133-aa57-4631-b4dd-d4d56151b2ac'],28,,,,,,,,,,,,,,,,,Sweden,790,00:01:28.112,Pass,
