bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,344e8abf-8b20-42f3-8115-fe94b34fdff0,1,,,,8649,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5267, 'name': 'Néstor Fernando Muslera Micol'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5266, 'name': 'Lucas Torreira Di Pascua'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5247, 'name': 'Nahitan Michel Nández Acosta'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5260, 'name': 'Rodrigo Bentancur Colmán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6351, 'name': 'Cristhian Ricardo Stuani Curbelo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a961f734-3077-44dc-84ea-8a799be93e78,2,,,,8649,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,5356f8ec-ab83-4dfd-ad73-ebc2078e8b38,3,,,,8649,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['039f0799-5602-4c87-ad3d-e2974fc9bf05'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,8.173,,,,,,,,,,,,,039f0799-5602-4c87-ad3d-e2974fc9bf05,4,,,,8649,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['5356f8ec-ab83-4dfd-ad73-ebc2078e8b38'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,5565c12b-5c6c-4dad-9159-64e3e8a6edb4,1709,,,,8649,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,France,771,['3683106e-6631-4841-a22a-bde8d354a2e0'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,3683106e-6631-4841-a22a-bde8d354a2e0,1710,,,,8649,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,France,771,['5565c12b-5c6c-4dad-9159-64e3e8a6edb4'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.883,,,,,,,,,,,,,fa2d3f80-970f-4ce4-b695-33604c5fca52,5,,,"[60.0, 40.0]",8649,0,,,3.1415927,,,Right Foot,,,,"[47.0, 40.0]",,Ground Pass,13.0,,Lucas Torreira Di Pascua,5266.0,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Right Center Forward,2,Uruguay,783,['5ed9121d-b9e8-4a6e-8e4f-d636f8cbab6a'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.090,Pass,
,,,,,,,,,,,,,1.68,,,,,,,,,,,,,5972d652-faa6-48d4-9bf2-5e6ec14fdf2d,8,,,"[49.0, 36.0]",8649,0,,,-2.3239477,,,Right Foot,,,,"[34.0, 20.0]",,Ground Pass,21.931713,,Diego Roberto Godín Leal,5249.0,,,,1,From Kick Off,Lucas Torreira Di Pascua,5266.0,Center Defensive Midfield,2,Uruguay,783,['1fd7c1de-74fc-44e7-8cf1-b559680e4e92'],1,,,,,,,,,,,,,,,,,Uruguay,783,00:00:01.600,Pass,
,,,,,,,,,,,,,2.24,,,,,,,,,,,,,708383b8-a279-4cf7-a061-d6ffdb429e74,12,,,"[33.0, 18.0]",8649,0,,,-0.36172923,,,Left Foot,,,,"[70.0, 4.0]",,High Pass,39.56008,,Cristhian Ricardo Stuani Curbelo,6351.0,,,,1,From Kick Off,Diego Roberto Godín Leal,5249.0,Left Center Back,2,Uruguay,783,['b435b087-babd-4c49-ad0a-d9034aab8fd2'],4,,,,,,,,,,,,,,,,,Uruguay,783,00:00:04.800,Pass,
,,,,,,,,,,,,,1.68,,,,,,,,,,,,,bd931b79-12a6-428e-99cb-614758c7d9c5,16,,,"[55.0, 80.0]",8649,0,,,-3.0548544,,,,,,,"[32.0, 78.0]",,Low Pass,23.086792,,Raphaël Varane,5485.0,,,Throw-in,1,From Throw In,Benjamin Pavard,5476.0,Right Back,3,France,771,['dbc202ff-430d-427c-afc2-c06b5b283f51'],14,,,,,,,,,,,,,,,,,France,771,00:00:14.133,Pass,
