50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,4.679,,,,,,,,,,,,,45478114-68f5-44d5-9640-a1e69bd77d52,2114,,"[42.0, 21.0]",7553,59,,0.5915997,,,Left Foot,,,"[106.0, 64.0]",,High Pass,77.10383,,,Hirving Rodrigo Lozano Bahena,5571.0,,True,,2,Regular Play,José Andrés Guardado Hernández,5563.0,Left Defensive Midfield,123,South Korea,791,['ea52afa2-edf3-40a9-a813-b4e02b367a37'],18,,,,,,,,,,,,,,,,,,Mexico,794,00:14:18.773,Pass,
,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,b7229587-4f21-4c89-98a1-78791566ef31,2121,,"[9.0, 15.0]",7553,59,,-0.17219082,,,Left Foot,,,"[32.0, 11.0]",,Ground Pass,23.345236,,,Min-Woo Kim,5610.0,,,,2,Regular Play,Hee-Chan Hwang,5620.0,Left Wing,123,South Korea,791,['fff0e63e-3bda-408f-945f-8640ab29dfa9'],26,,,,,,,,,,,,,,,,,,South Korea,791,00:14:26.960,Pass,
,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,ac06b45c-4fca-4b6a-bce9-8cbfd20d8d65,2124,,"[45.0, 12.0]",7553,59,,2.3932147,,,Left Foot,,,"[31.0, 25.0]",,Ground Pass,19.104973,,,Sung-Yeung Ki,3605.0,,,,2,Regular Play,Min-Woo Kim,5610.0,Left Back,123,South Korea,791,['626b1469-519f-45e0-9b99-397fd7d4b55f'],34,,,,,,,,,,,,,,,,,,South Korea,791,00:14:34.880,Pass,
,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,16ace9ff-ffb5-47b1-b367-cf3e63915333,2127,,"[31.0, 26.0]",7553,59,,0.57907426,,,Right Foot,,,"[57.0, 43.0]",,Ground Pass,31.06445,,,Se-Jong Ju,5988.0,,,,2,Regular Play,Sung-Yeung Ki,3605.0,Left Defensive Midfield,123,South Korea,791,['73d41b9c-5689-455b-9f39-56cfe319b999'],37,,,,,,,,,,,,,,,,,,South Korea,791,00:14:37.640,Pass,
,,,,,,,,,,,,,,1.013,,,,,,,,,,,,,0273eda8-f9a9-464b-94b6-4ffb749520ff,2130,,"[66.0, 46.0]",7553,59,,0.3529904,,,Right Foot,,,"[85.0, 53.0]",,Ground Pass,20.248457,,Incomplete,Heung-Min Son,3083.0,,,,2,Regular Play,Se-Jong Ju,5988.0,Right Defensive Midfield,123,South Korea,791,"['253a2fbd-4962-472d-8ae6-52d0a23561bc', 'ebef64cc-e942-4037-8f51-24dbe826af0b']",41,,,,,,,,,,,,,,,,,,South Korea,791,00:14:41.360,Pass,
,,,,,,,,,,,,,,2.799,,,,,,,,,,,,,2751fcf2-d09c-449d-97e4-090518134853,2134,,"[49.0, 27.0]",7553,59,,0.29544082,64f1e00e-bc1b-4eba-9e34-7f67dd9d4c44,,Left Foot,,,"[95.0, 41.0]",,High Pass,48.08326,,,Hirving Rodrigo Lozano Bahena,5571.0,True,,,2,From Counter,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,124,Mexico,794,['b1829eb3-e302-433e-9a15-c3997df57bdc'],45,,,,,,,,,,,,,,,,,,Mexico,794,00:14:45.693,Pass,
,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,d1eefa58-9a38-4f05-8fb6-16a31ae56409,2143,,"[98.0, 25.0]",7553,59,,2.961739,,,Right Foot,,,"[87.0, 27.0]",,Ground Pass,11.18034,,,Miguel Arturo Layún Prado,5556.0,,,,2,From Counter,Hirving Rodrigo Lozano Bahena,5571.0,Left Wing,124,Mexico,794,['b8cc89c8-9c28-4f28-9deb-ef14a5e8fb0a'],52,,,,,,,,,,,,,,,,,,Mexico,794,00:14:52.613,Pass,
,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,3ca67b8f-7776-43f9-996d-887a25c44170,2146,,"[87.0, 26.0]",7553,59,,-0.39479113,,,Right Foot,,,"[99.0, 21.0]",,Ground Pass,13.0,,,Hirving Rodrigo Lozano Bahena,5571.0,,,,2,From Counter,Miguel Arturo Layún Prado,5556.0,Right Wing,124,Mexico,794,['eb786ebf-fe12-4ba9-9228-5e01c7499ba9'],53,,,,,,,,,,,,,,,,,,Mexico,794,00:14:53.653,Pass,
,,,,,,,,,,,,,,0.559,,,,,,,,,,,,,81895cb1-a5ab-4b36-b265-32664058b741,2150,,"[98.0, 20.0]",7553,59,,1.4601392,,,Right Foot,,,"[99.0, 29.0]",,Ground Pass,9.055386,,,Javier Hernández Balcázar,3058.0,,,,2,From Counter,Hirving Rodrigo Lozano Bahena,5571.0,Left Wing,124,Mexico,794,"['21161c2d-934c-4959-b999-90388f76aa75', '691b936e-5f25-4f9f-b2f3-7ba80a813bd8']",57,,,,,,,,,,,,,,,,,,Mexico,794,00:14:57.133,Pass,True
,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,104a60fe-596a-444c-b242-2bd16af1f1d9,2157,,"[42.0, 32.0]",7553,60,,-0.09065989,,,Right Foot,,,"[53.0, 31.0]",,Ground Pass,11.045361,,,Sung-Yeung Ki,3605.0,,,,2,Regular Play,Jae-Sung Lee,5623.0,Center Attacking Midfield,125,South Korea,791,"['11d2041c-b158-40cd-baf8-ce134af104ac', 'c9937f20-0413-4cef-b782-f56cb45a297b']",34,,,,,,,,,,,,,,,,,,South Korea,791,00:15:34.400,Pass,True
