bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,46ae5bf2-1cd5-4116-b88f-e223b4b22b5a,1,,,,7554,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3504, 'name': 'Ruben Loftus-Cheek'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,06c697b4-556c-47bc-a67f-49c4e41a675b,2,,,,7554,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5641, 'name': 'Michael Amir Murillo Bermudez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5634, 'name': 'Erick Javier Davis Grajales'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5645, 'name': 'Armando Enrique Cooper Whitaker'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5631, 'name': 'Blas Antonio Miguel Pérez Ortega'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Panama,798,00:00:00.000,Starting XI,
,,,,,,,,,,,8.093,,,,,,,,,,,,,,,f8723e4b-f739-475c-b67c-01c925ae6246,3,,,,7554,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['ebedddcc-05ef-4c37-b0be-2776b1d9de50'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,8.653,,,,,,,,,,,,,,,ebedddcc-05ef-4c37-b0be-2776b1d9de50,4,,,,7554,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['f8723e4b-f739-475c-b67c-01c925ae6246'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,9fc3e0c5-c5d0-4694-9dfc-3a0066196ec0,1378,,,,7554,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,62,England,768,['2faba634-96ed-4364-9396-5a25ed27b73b'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,2faba634-96ed-4364-9396-5a25ed27b73b,1379,,,,7554,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,62,England,768,['9fc3e0c5-c5d0-4694-9dfc-3a0066196ec0'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1778af2b-383b-4362-a013-217ee1acb680,5,,,"[60.0, 41.0]",7554,0,,,-3.0791738,,,Right Foot,,,,"[44.0, 40.0]",,Ground Pass,16.03122,,John Stones,3244.0,,,,,Kick Off,1,From Kick Off,Jesse Lingard,3293.0,Right Center Midfield,2,England,768,['0ad5718a-fb29-4acc-8026-0df4c40494c8'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.050,Pass,
,,,,,,,,,,,1.28,,,,,,,,,,,,,,,241d4a64-c7c0-4847-bbcc-8fe6d50e248a,8,,,"[44.0, 40.0]",7554,0,,,-1.4659194,,,Right Foot,,,,"[46.0, 21.0]",,Ground Pass,19.104973,,Harry Maguire,3336.0,,,,,,1,From Kick Off,John Stones,3244.0,Center Back,2,England,768,['a6e15823-e4d0-4642-a9bc-29fd32249721'],2,,,,,,,,,,,,,,,,,England,768,00:00:02.283,Pass,
,,,,,,,,,,,1.16,,,,,,,,,,,,,,,06e95f74-5651-4fa4-a7bc-ea6b6c594fc2,11,,,"[46.0, 21.0]",7554,0,,,-0.9048271,,,Right Foot,,,,"[57.0, 7.0]",,Ground Pass,17.804493,,Ashley Young,3612.0,,,,,,1,From Kick Off,Harry Maguire,3336.0,Left Center Back,2,England,768,['dce336eb-62a1-442e-9943-bded4eb4b3e9'],5,,,,,,,,,,,,,,,,,England,768,00:00:05.243,Pass,
,,,,,,,,,,,1.68,,,,,,,,,,,,,,,fa70145d-d3df-4cbb-b674-d83ad065b9e7,15,,,"[57.0, 10.0]",7554,0,,,1.6983058,,,Right Foot,,,,"[52.0, 49.0]",,Ground Pass,39.319206,,Kyle Walker,3205.0,,,,,,1,From Kick Off,Ashley Young,3612.0,Left Midfield,2,England,768,"['0ee5dfb0-3e6d-45bd-b84c-288a71314dc4', 'b439b6fa-b0dc-458d-8469-22cd3e87bf64']",8,,,,,,,,,,,,,,,,,England,768,00:00:08.363,Pass,True
