50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[95.0, 6.0]",,,,,,,1.693,,,,,,,,,,,,6553deb0-828e-46a7-b2d2-5d4ca594f2d1,2319,,,"[97.0, 5.0]",7579,67,,,,,,,,,,,,,,,,,,,2,Regular Play,Raphaël Adelino José Guerreiro,5209.0,Left Back,128,Portugal,780,"['c72f467c-b16c-44f2-b878-b9747d38b053', 'fd1c0a95-6997-47be-81b4-7d25fa95db7b']",59,,,,,,,,,,,,,,,,,Portugal,780,00:22:59.479,Carry,
,,,,,,"[84.0, 13.0]",,,,,,,2.921,,,,,,,,,,,,99823abf-5dcb-46cd-b9c6-8ffb2e844f79,2322,,,"[83.0, 13.0]",7579,68,,,,,,,,,,,,,,,,,,,2,Regular Play,João Mário Naval da Costa Eduardo,4272.0,Right Center Midfield,128,Portugal,780,"['67b758ce-1a35-4b86-8bb7-67b768119ec5', 'b62636c6-7d5c-4f2a-80cc-727d38402187']",2,,,,,,,,,,,,,,,,,Portugal,780,00:23:02.478,Carry,
,,,,,,"[79.0, 28.0]",,,,,,,1.04,,,,,,,,,,,,ab82b0b7-46dd-4c2e-a1bf-503351367841,2325,,,"[79.0, 28.0]",7579,68,,,,,,,,,,,,,,,,,,,2,Regular Play,William Silva de Carvalho,5214.0,Left Center Midfield,128,Portugal,780,"['61e05528-5acb-4e5f-95b4-b4d895349bb1', 'd49faa54-afdb-4703-940e-67b73631832b']",6,,,,,,,,,,,,,,,,,Portugal,780,00:23:06.319,Carry,
,,,,,,"[109.0, 69.0]",,,,,,,4.92,,,,,,,,,,,,b8446589-7791-44a9-8ab8-55c3f1e118fa,2328,,,"[101.0, 78.0]",7579,68,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Andrade Quaresma Bernardo,5215.0,Right Midfield,128,Portugal,780,"['7113dbd6-59ac-41b9-83eb-768c80bc982d', 'a37a686d-26c0-4b81-8f25-4717a9abc4f3']",9,,,,,,,,,,,,,,,,,Portugal,780,00:23:09.639,Carry,
,,,,,,"[110.0, 72.0]",,,,,,,3.773,,,,,,,,,,,,22d09ed1-c835-4d08-a57b-513ac734e2b8,2338,,,"[103.0, 78.0]",7579,68,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Andrade Quaresma Bernardo,5215.0,Right Midfield,129,Portugal,780,"['501b71e9-62a2-442c-8ca9-6b4b06a4948f', '93623271-f29d-49d0-80bb-7b635af1cb6f', 'b768e5bb-e31e-4784-aceb-8a628e3a3c9d']",58,,,,,,,,,,,,,,,,,Portugal,780,00:23:58.599,Carry,True
,,,,,,"[102.0, 66.0]",,,,,,,4.2,,,,,,,,,,,,6797faa1-dd64-4162-9c6c-a703e7032c1f,2342,,,"[110.0, 72.0]",7579,69,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Andrade Quaresma Bernardo,5215.0,Right Midfield,129,Portugal,780,"['2d0ab083-f1c7-4966-ad82-2503d6a0649c', '501b71e9-62a2-442c-8ca9-6b4b06a4948f', 'b3cb981c-846d-4b04-9c0c-394b0216a7e2', 'c1b1ce86-924b-4832-8373-059529524587']",2,,,,,,,,,,,,,,,,,Portugal,780,00:24:02.372,Carry,True
,,,,,,"[101.0, 62.0]",,,,,,,0.507,,,,,,,,,,,,8fd7e2d5-493d-493a-aeb6-30ced2630fcf,2345,,,"[102.0, 66.0]",7579,69,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Andrade Quaresma Bernardo,5215.0,Right Midfield,129,Portugal,780,"['646e541a-0778-47ed-be6c-9317d1eb5d4d', 'b3cb981c-846d-4b04-9c0c-394b0216a7e2', 'c1b1ce86-924b-4832-8373-059529524587']",6,,,,,,,,,,,,,,,,,Portugal,780,00:24:06.572,Carry,True
,,,,,,"[99.0, 21.0]",,,,,,,1.0,,,,,,,,,,,,f506aca5-bd65-41a9-8bb1-118df54a89cf,2351,,,"[96.0, 21.0]",7579,69,,,,,,,,,,,,,,,,,,,2,Regular Play,Raphaël Adelino José Guerreiro,5209.0,Left Back,129,Portugal,780,"['3f47a0e5-aea5-4b9d-81a5-839bd3ce3625', '8b9942ba-5f34-44c0-b408-98cc08f98905']",11,,,,,,,,,,,,,,,,,Portugal,780,00:24:11.639,Carry,
,,,,,,"[106.0, 36.0]",,,,,,,0.6,,,,,,,,,,,,0f57656f-7896-46f3-b7f3-1c143e7b529b,2355,,,"[108.0, 36.0]",7579,69,,,,,,,,,,,,,,,,,,,2,Regular Play,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Forward,129,Portugal,780,"['1d8ca1a7-8cf5-4688-867f-7355ba65e4d5', '818f687d-087b-4199-812b-6c40a74a099b', '98640dde-bee4-469c-adcb-41a70fe29219']",15,,,,,,,,,,,,,,,,,Portugal,780,00:24:15.199,Carry,True
,,,,,,"[103.0, 40.0]",,,,,,,0.96,,,,,,,,,,,,72d25979-5ecc-4ff6-b01f-65bdf06b6d23,2358,,,"[106.0, 36.0]",7579,69,,,,,,,,,,,,,,,,,,,2,Regular Play,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Forward,129,Portugal,780,"['1d8ca1a7-8cf5-4688-867f-7355ba65e4d5', '818f687d-087b-4199-812b-6c40a74a099b', 'e610d1c6-25f8-4879-8cde-85b252ccba2e']",15,,,,,,,,,,,,,,,,,Portugal,780,00:24:15.799,Carry,True
